number	run	sample	population	sex
1	sample1	ERR188021	NA20508	TSI	female
2	sample2	ERR188022	NA12812	CEU	male
3	sample3	ERR188023	HG00315	FIN	female
4	sample4	ERR188024	NA12749	CEU	female
5	sample5	ERR188025	HG00377	FIN	female
6	sample6	ERR188026	NA20510	TSI	male
7	sample7	ERR188027	NA07056	CEU	female
8	sample8	ERR188028	HG00155	GBR	male
9	sample9	ERR188029	HG00355	FIN	female
10	sample10	ERR188030	NA19119	YRI	male
11	sample11	ERR188031	HG00350	FIN	female
12	sample12	ERR188032	NA12275	CEU	female
13	sample13	ERR188033	HG00336	FIN	male
14	sample14	ERR188034	HG00273	FIN	male
15	sample15	ERR188035	HG00123	GBR	female
16	sample16	ERR188036	HG00236	GBR	female
17	sample17	ERR188037	NA19236	YRI	male
18	sample18	ERR188038	HG00345	FIN	male
19	sample19	ERR188039	NA12144	CEU	male
20	sample20	ERR188040	HG00096	GBR	male
21	sample21	ERR188041	HG00157	GBR	male
22	sample22	ERR188042	NA19204	YRI	female
23	sample23	ERR188043	HG00384	FIN	female
24	sample24	ERR188044	NA18498	YRI	male
25	sample25	ERR188045	HG00321	FIN	male
26	sample26	ERR188046	HG00320	FIN	female
27	sample27	ERR188047	NA06994	CEU	male
28	sample28	ERR188048	NA12489	CEU	female
29	sample29	ERR188049	NA11931	CEU	female
30	sample30	ERR188050	NA20518	TSI	male
31	sample31	ERR188051	NA12830	CEU	female
32	sample32	ERR188052	NA20541	TSI	female
33	sample33	ERR188053	HG00242	GBR	male
34	sample34	ERR188054	NA20752	TSI	male
35	sample35	ERR188055	NA19171	YRI	male
36	sample36	ERR188056	HG00331	FIN	female
37	sample37	ERR188057	HG00262	GBR	female
38	sample38	ERR188058	NA12005	CEU	male
39	sample39	ERR188059	HG00125	GBR	female
40	sample40	ERR188060	NA18517	YRI	female
41	sample41	ERR188061	NA12761	CEU	female
42	sample42	ERR188062	NA11992	CEU	male
43	sample43	ERR188063	NA20509	TSI	male
44	sample44	ERR188064	NA19144	YRI	male
45	sample45	ERR188065	HG00149	GBR	male
46	sample46	ERR188066	NA19118	YRI	female
47	sample47	ERR188067	NA11831	CEU	male
48	sample48	ERR188068	NA20759	TSI	male
49	sample49	ERR188069	NA19096	YRI	male
50	sample50	ERR188070	HG00263	GBR	female
51	sample51	ERR188071	HG00114	GBR	male
52	sample52	ERR188072	NA19137	YRI	female
53	sample53	ERR188073	HG00145	GBR	male
54	sample54	ERR188074	NA19257	YRI	female
55	sample55	ERR188075	HG00349	FIN	female
56	sample56	ERR188076	NA12006	CEU	female
57	sample57	ERR188077	NA11893	CEU	male
58	sample58	ERR188078	HG00372	FIN	male
59	sample59	ERR188079	NA20778	TSI	male
60	sample60	ERR188080	HG00250	GBR	female
61	sample61	ERR188081	NA12814	CEU	male
62	sample62	ERR188082	HG00110	GBR	female
63	sample63	ERR188083	HG00285	FIN	female
64	sample64	ERR188084	HG00152	GBR	male
65	sample65	ERR188085	NA18520	YRI	female
66	sample66	ERR188086	NA11892	CEU	female
67	sample67	ERR188087	HG00121	GBR	female
68	sample68	ERR188088	NA20504	TSI	female
69	sample69	ERR188089	HG00358	FIN	male
70	sample70	ERR188090	HG00186	FIN	male
71	sample71	ERR188091	HG00256	GBR	male
72	sample72	ERR188092	NA12546	CEU	male
73	sample73	ERR188093	NA19150	YRI	male
74	sample74	ERR188094	NA20806	TSI	male
75	sample75	ERR188095	HG00137	GBR	female
76	sample76	ERR188096	NA18933	YRI	female
77	sample77	ERR188097	NA18511	YRI	female
78	sample78	ERR188098	HG00337	FIN	female
79	sample79	ERR188099	NA12843	CEU	female
80	sample80	ERR188100	NA12762	CEU	male
81	sample81	ERR188101	NA10847	CEU	female
82	sample82	ERR188102	HG00383	FIN	female
83	sample83	ERR188103	NA19184	YRI	male
84	sample84	ERR188104	NA19146	YRI	male
85	sample85	ERR188105	NA20768	TSI	female
86	sample86	ERR188106	HG00247	GBR	female
87	sample87	ERR188107	NA12342	CEU	male
88	sample88	ERR188108	NA20754	TSI	male
89	sample89	ERR188109	NA19121	YRI	male
90	sample90	ERR188110	NA20760	TSI	female
91	sample91	ERR188111	HG00255	GBR	female
92	sample92	ERR188112	HG00239	GBR	female
93	sample93	ERR188113	HG00324	FIN	female
94	sample94	ERR188114	NA20534	TSI	male
95	sample95	ERR188115	HG00382	FIN	male
96	sample96	ERR188116	HG00151	GBR	male
97	sample97	ERR188117	HG00268	FIN	female
98	sample98	ERR188118	HG00181	FIN	male
99	sample99	ERR188119	HG00119	GBR	male
100	sample100	ERR188120	NA19256	YRI	male
101	sample101	ERR188121	HG00311	FIN	male
102	sample102	ERR188122	NA11894	CEU	female
103	sample103	ERR188123	HG00313	FIN	female
104	sample104	ERR188124	HG00351	FIN	male
105	sample105	ERR188125	NA20826	TSI	female
106	sample106	ERR188126	NA20766	TSI	female
107	sample107	ERR188127	HG00334	FIN	female
108	sample108	ERR188128	NA19092	YRI	male
109	sample109	ERR188129	NA19197	YRI	female
110	sample110	ERR188130	HG00261	GBR	female
111	sample111	ERR188131	NA19213	YRI	male
112	sample112	ERR188132	NA20797	TSI	female
113	sample113	ERR188133	HG00135	GBR	female
114	sample114	ERR188134	NA12827	CEU	male
115	sample115	ERR188135	NA07346	CEU	female
116	sample116	ERR188136	HG00103	GBR	male
117	sample117	ERR188137	NA20812	TSI	male
118	sample118	ERR188138	NA20539	TSI	male
119	sample119	ERR188139	NA18917	YRI	male
120	sample120	ERR188140	NA12716	CEU	male
121	sample121	ERR188141	HG00343	FIN	female
122	sample122	ERR188142	NA12287	CEU	female
123	sample123	ERR188143	NA18487	YRI	male
124	sample124	ERR188144	HG00139	GBR	male
125	sample125	ERR188145	NA20519	TSI	male
126	sample126	ERR188146	HG00180	FIN	female
127	sample127	ERR188147	NA20804	TSI	female
128	sample128	ERR188148	NA12282	CEU	male
129	sample129	ERR188149	HG00182	FIN	male
130	sample130	ERR188150	HG00366	FIN	male
131	sample131	ERR188151	NA18489	YRI	female
132	sample132	ERR188152	NA12751	CEU	female
133	sample133	ERR188153	NA20765	TSI	male
134	sample134	ERR188154	HG00251	GBR	male
135	sample135	ERR188155	NA20790	TSI	female
136	sample136	ERR188156	HG00335	FIN	male
137	sample137	ERR188157	NA12872	CEU	male
138	sample138	ERR188158	NA18502	YRI	female
139	sample139	ERR188159	HG00245	GBR	female
140	sample140	ERR188160	NA20513	TSI	male
141	sample141	ERR188161	NA11918	CEU	female
142	sample142	ERR188162	NA18508	YRI	female
143	sample143	ERR188163	HG00174	FIN	female
144	sample144	ERR188164	HG00159	GBR	male
145	sample145	ERR188165	NA18510	YRI	male
146	sample146	ERR188166	HG00108	GBR	male
147	sample147	ERR188167	HG00106	GBR	female
148	sample148	ERR188168	HG00346	FIN	female
149	sample149	ERR188169	HG00338	FIN	male
150	sample150	ERR188170	NA19131	YRI	female
151	sample151	ERR188171	NA20783	TSI	male
152	sample152	ERR188172	NA12154	CEU	male
153	sample153	ERR188173	NA20785	TSI	male
154	sample154	ERR188174	NA19198	YRI	male
155	sample155	ERR188175	HG00359	FIN	female
156	sample156	ERR188176	NA07357	CEU	male
157	sample157	ERR188177	NA12234	CEU	female
158	sample158	ERR188178	NA19114	YRI	female
159	sample159	ERR188179	NA20774	TSI	female
160	sample160	ERR188180	HG00177	FIN	female
161	sample161	ERR188181	NA12413	CEU	male
162	sample162	ERR188182	NA18912	YRI	female
163	sample163	ERR188183	NA19185	YRI	female
164	sample164	ERR188184	NA19147	YRI	female
165	sample165	ERR188185	HG00260	GBR	male
166	sample166	ERR188186	HG00115	GBR	male
167	sample167	ERR188187	HG00176	FIN	female
168	sample168	ERR188188	NA19099	YRI	female
169	sample169	ERR188189	HG00133	GBR	female
170	sample170	ERR188190	HG00171	FIN	female
171	sample171	ERR188191	NA20770	TSI	male
172	sample172	ERR188192	NA20786	TSI	female
173	sample173	ERR188193	NA19141	YRI	male
174	sample174	ERR188194	HG00284	FIN	male
175	sample175	ERR188195	NA20792	TSI	male
176	sample176	ERR188196	NA12717	CEU	female
177	sample177	ERR188197	HG00341	FIN	male
178	sample178	ERR188198	HG00373	FIN	female
179	sample179	ERR188199	NA20585	TSI	female
180	sample180	ERR188200	NA18519	YRI	male
181	sample181	ERR188201	NA20588	TSI	male
182	sample182	ERR188202	NA06989	CEU	female
183	sample183	ERR188203	NA20542	TSI	female
184	sample184	ERR188204	NA20524	TSI	male
185	sample185	ERR188205	HG00310	FIN	male
186	sample186	ERR188206	HG00100	GBR	female
187	sample187	ERR188207	NA19222	YRI	female
188	sample188	ERR188208	NA20538	TSI	male
189	sample189	ERR188209	NA19214	YRI	female
190	sample190	ERR188210	NA20816	TSI	male
191	sample191	ERR188211	NA19175	YRI	male
192	sample192	ERR188212	HG00231	GBR	female
193	sample193	ERR188213	NA06986	CEU	male
194	sample194	ERR188214	NA18486	YRI	male
195	sample195	ERR188215	HG00361	FIN	female
196	sample196	ERR188216	NA12873	CEU	female
197	sample197	ERR188217	NA11832	CEU	female
198	sample198	ERR188218	HG00325	FIN	male
199	sample199	ERR188219	HG00117	GBR	male
200	sample200	ERR188220	NA12400	CEU	female
201	sample201	ERR188221	NA19113	YRI	male
202	sample202	ERR188222	HG00265	GBR	male
203	sample203	ERR188223	NA18908	YRI	male
204	sample204	ERR188224	NA20528	TSI	male
205	sample205	ERR188225	NA19152	YRI	female
206	sample206	ERR188226	NA20532	TSI	male
207	sample207	ERR188227	NA12874	CEU	male
208	sample208	ERR188228	NA12829	CEU	male
209	sample209	ERR188229	NA12044	CEU	female
210	sample210	ERR188230	HG00278	FIN	male
211	sample211	ERR188231	HG00097	GBR	female
212	sample212	ERR188232	NA19160	YRI	male
213	sample213	ERR188233	NA11993	CEU	female
214	sample214	ERR188234	NA19116	YRI	female
215	sample215	ERR188235	NA11930	CEU	male
216	sample216	ERR188236	HG00118	GBR	female
217	sample217	ERR188237	HG00234	GBR	male
218	sample218	ERR188238	HG00269	FIN	female
219	sample219	ERR188239	NA20520	TSI	male
220	sample220	ERR188240	HG00306	FIN	female
221	sample221	ERR188241	HG00356	FIN	female
222	sample222	ERR188242	HG00258	GBR	female
223	sample223	ERR188243	NA19098	YRI	male
224	sample224	ERR188244	NA12718	CEU	female
225	sample225	ERR188245	HG00128	GBR	female
226	sample226	ERR188246	NA11840	CEU	female
227	sample227	ERR188247	HG00104	GBR	female
228	sample228	ERR188248	HG00178	FIN	female
229	sample229	ERR188249	NA20802	TSI	female
230	sample230	ERR188250	HG00272	FIN	female
231	sample231	ERR188251	NA20756	TSI	female
232	sample232	ERR188252	NA20544	TSI	male
233	sample233	ERR188253	NA20808	TSI	female
234	sample234	ERR188254	NA20506	TSI	female
235	sample235	ERR188255	HG00323	FIN	female
236	sample236	ERR188256	NA12777	CEU	male
237	sample237	ERR188257	HG00143	GBR	male
238	sample238	ERR188258	NA20530	TSI	female
239	sample239	ERR188259	NA20582	TSI	female
240	sample240	ERR188260	HG00369	FIN	male
241	sample241	ERR188261	NA19108	YRI	female
242	sample242	ERR188262	NA12283	CEU	female
243	sample243	ERR188263	HG00281	FIN	female
244	sample244	ERR188264	HG00274	FIN	female
245	sample245	ERR188265	NA20814	TSI	male
246	sample246	ERR188266	HG00282	FIN	female
247	sample247	ERR188267	HG00266	FIN	female
248	sample248	ERR188268	NA19095	YRI	female
249	sample249	ERR188269	NA18916	YRI	female
250	sample250	ERR188270	HG00342	FIN	male
