SRR5026767	SRR5026768	SRR5026771	SRR5026772
5_8S_rRNA	0	0	0	0
5S_rRNA	0	4.43491	0	0
7SK	0.648691	0	0	0
A1BG	2.77073	3.37828	3.0265	3.92709
A1BG-AS1	5.31014	3.571602	5.45215	4.921253
A1CF	0.0289051	0.141902100114224	0.101934800858995	0.026283100136498
A2M	0.0758915	0.0663376	0.0186875	0.0162711
A2M-AS1	2.02042	1.01265	1.3295	0.658087
A2ML1	0.50858	0.295748	0.291915	0.17530901
A2ML1-AS1	0	0	0	0
A2ML1-AS2	0	0	0	0.202505
A2MP1	0.138739	0.116638	0.1371161	0.2110808
A3GALT2	0	0	0.0516398	0.0892697
A4GALT	0.6918906	0.7753891	0.555300209304	0.6570673
A4GNT	0.0282188	0	0.0558383	0.0242479
AA06	0	0	0	0
AAAS	52.79034	48.13721	53.61144	42.47181
AACS	48.4198	45.4099	57.0217	48.9593
AACSP1	2.898802	2.4521163	2.296793	2.37695
AADAC	0	0.0296481	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0.111723	0	0.290846
AADACL3	0	0	0	0
AADACL4	0.0318271	0.0803603	0	0
AADACP1	0	0	0	0
AADAT	35.94833	26.730789	38.00067	35.353136
AAED1	6.01734	5.01736	6.72763	5.82248
AAGAB	56.4039	51.8228	54.2942	60.25087
AAK1	3.038394	0.8849329	4.455025	2.581045
AAMDC	26.676884	31.423637	22.039755	21.928745
AAMP	99.26899	106.63903	127.69175	115.5185
AANAT	0.0474341	0.0196871	0.0934618	0
AAR2	43.061978	29.2868066	44.686162	32.5380836
AARD	0.073539	0.0902875	0.195938	0.120059
AARS	125.802	117.433	137.256	121.392
AARS2	9.80257	7.09393	10.99	7.21984
AARSD1	62.7645	65.654	69.534	65.3357
AARSP1	0	0	0	0
AASDH	7.667033	5.997402	6.495568491	5.426363
AASDHPPT	41.3339	30.4195	34.3892	34.1968
AASS	2.058433	1.187549	4.72771	3.18214
AATBC	0.2270516	0.06520871	0.1194291803	0.0617877
AATF	51.7133	55.565	62.9363	65.15
