SRR5026767	SRR5026768	SRR5026771	SRR5026772
5_8S_rRNA	0	0	0	0
5S_rRNA	0	2.08405	0	0
7SK	2	0	0	0
A1BG	104.687	152.1	116.643	175.634
A1BG-AS1	221.6784	175.2189	229.5446	236.8582
A1CF	5.00127	9.0000400233929	8.000100148086	5.0731700267203
A2M	8	8.24593	2	2
A2M-AS1	87	51.7541	58	33
A2ML1	51.2412	29.13651	22.1025	23.317996
A2ML1-AS1	0	0	0	0
A2ML1-AS2	0	0	0	1.12121
A2MP1	6.32822	3	5	13.99997
A3GALT2	0	0	1	2
A4GALT	32.99999	44.00002	28.00000951999	37.00002
A4GNT	1	0	2	1
AA06	0	0	0	0
AAAS	2192.9994	2364.0014	2267.0041	2079.9961
AACS	3574	3973	4280.99	4229
AACSP1	164.27855	169.99974	133.0056	165
AADAC	0	1	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	1.36714	0	3.52571
AADACL3	0	0	0	0
AADACL4	1	3	0	0
AADACP1	0	0	0	0
AADAT	1433.6237	1247.2898	1518.7416	1603.9423
AAED1	316.925	318	360.862	356.136
AAGAB	2777	3041	2726	3454.99721
AAK1	215.7155	74.0561	319.0887	210.7676
AAMDC	238.71419	335.31972	200.73856	233.9049
AAMP	4277.002	5404.004	5582.998	5841.006
AANAT	1	1	2	0
AAR2	2356.25764	1892.12796	2487.5171	2096.0303
AARD	3.19909	4.69826	8.6432	6.09188
AARS	9764	10753	10819	11028
AARS2	908.735	779.995	1033.94	786.783
AARSD1	1686.29	2096.69	1899.33	2054.03
AARSP1	0	0	0	0
AASDH	477.9996	446.0004	398.9997536	388.0005
AASDHPPT	2080.75	1849.86	1750.96	1969.88
AASS	129.0136	88.4835	299.049	230.0157
AATBC	19.00004	4	13.99998948	5
AATF	2295	2905	2850	3375
AATK	100	127.7838	101.619	94.6597
AATK-AS1	0	0	0	0
AB015752.3	0	2.00578	1.00226	0
AB019438.66	0	0	0	0
AB019440.50	0	0	0	0
AB019441.29	22.7863	24.8902	12.4788	18.7434
ABALON	61.4737	25.0746	116.398	61.1027
ABAT	1254.99649	842	1393.99913	1046.00024
ABC11-4932300O16.1	0	0	0	0
ABC12-47043100G14.2	0	0	0	0
ABC12-47964100C23.1	0	0	0	0
ABC12-49244600F4.4	4.37857	6.32261	4.2278	4
ABC7-42391500H16.4	2.03646	0.471683	0	0
ABC7-42404400C24.1	56.80246	17.8633	0	0
ABC7-42418200C9.1	1.45679	7.22723	0.00093575	7.58654
ABC7-481722F1.1	0	0	0	0
ABC7-481722F1.2	0	0.000160788	0.957787	0
ABCA1	101	63	20	18
ABCA10	20.0393	13.0108	7.00682	12.1844
ABCA11P	355.472	343.5043	294.6039	358.5101
ABCA12	40	22.000039	16.00003	11
ABCA13	9.06103	10.4229	6.28804	10.0467
ABCA17P	47	58	30.0477	51.1857
ABCA2	4164.00287505143	3572.99507552	2860.00401075726	2208.999247154
ABCA3	1495.00250009895	1475.06	1389.20630501882	1154.814
ABCA4	13	6	16.99998	7
ABCA5	273.9997	219.9995	271.9997	321.9999
ABCA6	0	0	0	0
ABCA7	685.0004054	800.00034	715	750
ABCA8	0	0	0	1
ABCA9	7.28806	10.42436	6.52698	5.22183
ABCA9-AS1	0	0	1.23551	0
ABCB1	0	0	1	1.05238
ABCB10	846	725.996	751	772
ABCB10P1	0	0	0	0
ABCB10P3	0	1.00393	0	0
ABCB10P4	0	0.00054569	0	0
ABCB11	78	32	7	13
ABCB4	7	3	3	16.9476
ABCB5	13.96265	7.54264	32.28886	47.35951
ABCB6	2690	3170	3180	3321
ABCB7	852.0006	780.000555813	682.9996	695.999
ABCB8	1224.00001	1548.9998	1488	1531.0002
ABCB9	406.9087	432.0464	339.9098262	332.84691158
ABCC1	2093.0004	1625.00000031385	6232.998	4828.0024
ABCC10	379	248.0004	498.8639	282.9999
ABCC11	6	7	7	5
ABCC12	0	0	1	0
ABCC13	1	1	0	1
ABCC2	5	13	7	8
ABCC3	21	17	7	6
ABCC4	2679.1848	2005.4015	9002.3441	7714.0157
ABCC5	941.0493202	653.0327	514.0649	444.0004
ABCC5-AS1	1	0	0	0
ABCC6	136.3949	126.2268	98.2224	93.1381
ABCC6P1	58.8563	48.71	10.52628	20.64729
ABCC6P2	30.18283	29.2987	15.4638	16.05218
ABCC8	291	230	251.000000219981	154
ABCC9	300.194	275.074	165.47	183.95
ABCD1	1830.9975	1936.9969	1472.9999	1256.0011
ABCD1P2	0	0	0	1.00192
ABCD1P3	0	0	0	0
ABCD1P4	0	0	0	0
ABCD1P5	0	0	0	0
ABCD2	5	0	0	1
ABCD3	2054.5346	1852.06537	1429.2414	1712.0293
ABCD4	837.99983	880.00007	746.00006	785.00045
ABCE1	4546.76	4153.96	4100.97	4260.94
ABCF1	3526.002	4129.005	4160.999	4369
ABCF2	4196.086	3343.7112	5147.547	4201.758
ABCF2P1	0	1.00947	1.00944	0
ABCF2P2	0	0	0	0
ABCF3	2233.995	2643	2922	2979
ABCG1	118	105.00004	80.9999	86
ABCG2	48	36	15	20
ABCG4	35	25	21	12
ABCG5	1	0	1	1
ABCG8	0	1	0	0
ABHD1	9.00369	7	11	12.00206
ABHD10	3717.9995	4018.0046	3244.0031	3653.0011
ABHD11	1200.1259	1457.2986	1564.0521	1613.7038
ABHD11-AS1	22	30	36	42
ABHD12	2083.003	2485.005	2890.002	3091.002
ABHD12B	1.06883	0	1.07469	1.42401
ABHD13	245	249	293	299
ABHD14A	736.8429	893.94158	650.0988	574.33625
ABHD14A-ACY1	27.4629	53.6814	81.4399	45.0154
ABHD14B	1480.00004	1664.8362	1199.9999	1089.9997
ABHD15	495.665	511.606	383.94	413.488
ABHD15-AS1	0	0	0	0
ABHD16A	1514.9962	1503.9964	1572.0013	1426
ABHD16B	0	0	0	0
ABHD17A	525.1113	873.0543	696.2891	814.8409
ABHD17AP1	0	0	0	0
ABHD17AP3	0	2.5068	0	1.15919
ABHD17AP4	0	0	0	0
ABHD17AP5	1.31659	0	1.3277	0
ABHD17AP6	3.5718	2.43836	2.38348	0
ABHD17AP7	0	0	0	0
ABHD17AP8	0	0	0	0
ABHD17AP9	0	0	0	0
ABHD17B	548.463	513.171	678.6675	776.5889
ABHD17C	593.0004	622.0002	405.99979	489
ABHD18	425.9431	384.6046	339.6608	305.6636
ABHD2	29486.1902	19956.40702	48875.4214	37084.5255
ABHD3	273.9998	300.0004	478.9999	536.9998
ABHD4	2556.00481	2187	4149	3258
ABHD5	657	527	723	612
ABHD6	630	571	621	556
ABHD8	427.35	586.484	432.646	509.146
ABI1	983.89410869471	889.678459034109	891.88978	919.10492967
ABI2	1293.4741	1062.317713	865.799800172881	859.2477
ABI3	36.00005	51	25	23.99997
ABI3BP	4	8	2.999998	4
ABL1	2289	1785.996	2626.999	1862.997
ABL2	661.335	515.32524	596.1165	518.393776
ABLIM1	1850.19168016174	1222.5098	1024.0519	827.1288
ABLIM2	66.000003714	63.99997	32.999958	28.999967
ABLIM3	2	1	1	4.0000023
ABO	0	0	0	0
ABR	1660.89394	1320.5839	1436.44093	1191.07441
ABRA	2.03305	0	2	0
ABRACL	916	1104	784	1165
ABT1	552	658	650	741
ABT1P1	0	0	0	0
ABTB1	119	145.9998	108	151
ABTB2	647	515	353	308
AC000003.1	0	0	0	0
AC000029.1	2	1	0	0
AC000032.2	0	0	1	0
AC000035.3	0	0	0	0
AC000036.4	3.00053	4.00042	7	1
AC000041.10	0	0	0	0
AC000041.8	0	0	0	0
AC000067.1	0	0	0	0
AC000068.10	12.0558	11	9.0164	8
AC000068.5	127.426	115.315	82.0128	70.7272
AC000068.9	30.0617	51.5651	29	15.473
AC000077.2	0	0	0	0
AC000078.5	4	0	6	3
AC000081.2	0	1	0	0
AC000089.3	18.7236	21.6045	10.292	15.2586
AC000095.11	2	3	5	1
AC000095.9	0	2.3578	0	1.81582
AC000099.1	1	0	0	0
AC000111.3	0	0	0	0
AC000111.4	0	0	0	0
AC000111.5	0	0	0	0
AC000111.6	0	0	0	0
AC000120.7	4.94416	3.28813	8.04877	4.82998
AC000123.2	70.0185	43	69	40
AC000123.3	13	11.2945	7	10.4984
AC000123.4	13	16.7055	7	11.5016
AC000124.1	1	2	1	0
AC000354.1	0	0	0	0
AC000362.1	0	0	0	0
AC000367.1	6	8.00499	6	5
AC000370.2	0	0	0	0
AC000374.1	0	0	0	0
AC000403.1	0	0	0	0
AC000403.4	1	2	1	0
AC001226.7	1	1	2	1
AC002044.1	3.00972	4.01628	1.00342	6.00787
AC002044.3	2.15741	3.97791	5.36304	1.16525
AC002044.4	2.15029	0	0	0
AC002056.3	0	0	0	0
AC002056.5	0	0	0	0
AC002059.10	5	4	1	3
AC002064.4	0	0	4	2
AC002064.5	6	2	9	5
AC002064.7	1	0	0	0
AC002066.1	0.845695	0	1	0
AC002069.5	0	0	0	0
AC002069.6	0	0	0	0
AC002070.1	0	0	0	0
AC002072.1	0	0	0	0
AC002075.3	0	0	0	0
AC002075.4	3.21114	2.16414	1.07143	3.40007
AC002076.10	1.54365	0	0	0
AC002115.5	0	0	0	0
AC002115.9	1	1	1	1
AC002116.7	11.6096	22.8712	15	16
AC002116.8	60.0093	79.1229	72.1381	85.6867
AC002117.1	0	6.44593	0	0
AC002127.2	0	0	0	0
AC002127.4	1	1	0	0
AC002128.5	5	2	3	5
AC002306.1	4.11406	2.19795	1.09859	4.42571
AC002310.10	2.04944	0	0	0
AC002310.11	10.8295	11.5054	24.9206	10.6004
AC002310.12	277.436	343.089	215.37	281.17
AC002310.13	0	0	0	0
AC002310.14	30	21	22	46
AC002310.17	0	2.01011	1.0041	1.00473
AC002310.7	8.29572	3.90243	1.535	1.4058
AC002314.4	0	0	0	0
AC002331.1	0	0	0	0
AC002366.1	0	0	0	1
AC002366.3	0	0	0	0
AC002368.4	0	0	0	0
AC002383.2	0	0	0	0
AC002386.1	0	0	0	0
AC002389.1	0	0	0	0
AC002395.1	24.8994	30.193	33.7816	35.7594
AC002398.11	15.1702	18.8757	11.696	14.2886
AC002398.12	7.71793	2.04138	0.71298	0
AC002398.13	33.4516	46.7672	26.9605	42.5221
AC002398.9	42.4169	98.2785	100.067	127.021
AC002400.1	0	0	0	0
AC002401.1	1.02706	0	0	0
AC002429.1	0	0	0	0
AC002429.4	0	0	0	0
AC002429.5	3.00018	9.34733	4.0111	2.00027
AC002451.3	0	0	0	0
AC002454.1	0	0	0	0
AC002456.2	72.00004	78	126.99995	179.00019
AC002463.3	3.00679	0	0	0
AC002464.1	0	0	0	0
AC002465.2	0	0	0	0
AC002467.7	87	103	157	173.339
AC002472.11	0	1.10998	0	3.00445
AC002480.2	1	0	0	0
AC002480.3	0	0	0	0
AC002480.4	0	0	0	0
AC002480.5	0	0	0	0
AC002486.2	0	0	0	0
AC002486.3	0	0	0	0
AC002511.2	3	2	2	0
AC002511.3	5	2	1	1
AC002519.6	0	0	2	0
AC002519.8	3.00281	3.07717	0	4.00576
AC002523.1	0	0	0	0
AC002530.1	0.0456381	0.048621	0.1037	0.101272
AC002539.1	0	0	0	1
AC002539.2	0	0	0	0
AC002542.2	0	0	0	0
AC002543.2	1	1	1	0
AC002550.5	13.3032	7.86071	0	0
AC002550.6	10	19	10	11
AC002551.1	0	2	5.2611	2.69095
AC002553.4	0	0	1	0
AC002558.1	0	0	0	0
AC002978.1	0	0	0	0
AC002979.1	2.52908	2.44389	6.67265	0.991164
AC002981.1	0	0	0	0
AC002984.2	0	0	1	1
AC002985.3	0	0	3.30598	0
AC003001.1	0	0	0	0
AC003002.4	0	0	0	0
AC003002.6	0	0	0	0
AC003003.5	7.08801	4.09447	11.3297	6.08589
AC003005.2	2	1	2.2684	4
AC003005.4	0	1.24977	0	1.22315
AC003006.1	0	0	0	0
AC003006.7	0	0	0	0
AC003009.1	0	0	0	0
AC003045.1	0	0	0	0
AC003075.4	6.01239	8.91551	15.03487	14.43944
AC003080.4	0	0	0	1.00002
AC003084.2	0	0	0	4
AC003088.1	6	2	7	3
AC003090.1	4	7	5	15.00001
AC003092.1	0	0	0	0
AC003092.2	0	0	0	0
AC003101.1	2	0	0	0
AC003104.1	3	1	0	1
AC003658.1	0	0	0	0
AC003664.1	6.85034	6.88679	1	3.04434
AC003666.1	0	0	0	0
AC003681.1	0	0	0	0
AC003682.16	1	0	0	0
AC003682.17	0	0	0	0
AC003688.1	0	0	0	1
AC003956.1	0	4	3	0
AC003958.2	0	0	0	0
AC003958.6	0	0	0	0
AC003968.1	0	0	0	0
AC003973.1	0	0	0	0
AC003973.3	6.03862	6.07274	1.00854	6.08474
AC003973.4	1.23431	3.519	0	0
AC003973.5	0	0	0	0
AC003984.1	0	0	0	0
AC003985.1	0	0	0	0
AC003986.5	0	0	0	0
AC003986.6	0	0	0	0
AC003986.7	0	0	0	0
AC003988.1	1	0	1	0
AC003989.3	0	0	0	0
AC003989.4	0	0	0	0
AC003991.3	16.8597	21.9887	14.2418	23.9981
AC004000.1	0	0.284323	0.288356	0
AC004000.2	0	0	0	0
AC004004.2	0	0	0	0
AC004006.2	0	0	0	0
AC004009.1	0	0	0	0
AC004009.2	0	0	0	1
AC004009.3	0	0	0	0
AC004012.1	0	0	0	0
AC004014.3	0	0	0	0
AC004016.1	0	0	0	0
AC004019.10	0	2	0	1.00122
AC004019.13	13.4191	10.6633	12.0103	10.7707
AC004022.7	0	0	0	0
AC004022.8	0	0	0	0
AC004051.2	0	0	0	0
AC004052.1	0	0	0	0
