SRR7629063	SRR7629064	SRR7629065	SRR7629066
5_8S_rRNA	0	0	0	0
5S_rRNA	0	0	0	0
7SK	0	0	0	1.012335
A1BG	2.9347	2.35158	1.03732	2.13779
A1BG-AS1	6.71072	6.62245	5.1524	5.64
A1CF	0	0.034760600393939	0.037354810192963	0.0172616
A2M	0	0.0126098	0.0280884	0.0151588
A2M-AS1	0.56294	0.64854	0.401566	0.290192
A2ML1	0.127663	0.0917833	0.0662963	0.0860618
A2ML1-AS1	0	0	0	0
A2ML1-AS2	0.496675	0.396785	0	0
A2MP1	0.0414846	0.0303759	0.0171837	0
A3GALT2	0	0	0	0
A4GALT	14.51752	16.43772	22.78008	25.00434
A4GNT	0.152158	0.0370777	0.0421044	0
AA06	0	0	0	0
AAAS	43.60867	44.14631	47.16035	50.48589
AACS	33.5089	32.7212	32.6331	31.6322
AACSP1	0.147716	0.150549	0.098835	0.289949
AADAC	0.1612223	0.1178777	0.0490531	0.1455703
AADACL2	0	0	0	0.0597886
AADACL2-AS1	0.21879	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0.0728868	0.0798051
AADAT	5.08236	4.805933	4.695753265213	3.71083
AAED1	5.28345	5.34728	5.30111	4.69796
AAGAB	104.8493	96.2058	98.8109	90.13889
AAK1	4.74439	5.098846	3.839276	3.264244
AAMDC	38.49712	33.551409	33.24187	33.539313
AAMP	134.86311	132.80808	121.68598	129.44813
AANAT	0.355423	0.314319	0.1491689	0.2643507
AAR2	22.773088	20.710338	20.657533	20.14335
AARD	3.9033	4.58672	6.70948	5.53039
AARS	136.017	133.75	168.402	176.333
AARS2	10.8513	11.2313	12.6516	13.3633
AARSD1	17.8826	14.0351	20.2761	21.9741
AARSP1	0	0	0	0
AASDH	4.530451	4.482311	3.615041	3.7064850102424
AASDHPPT	17.7324	17.3611	14.8893	14.8526
AASS	0.667915	0.590926	0.184081	0.199081000690243
AATBC	0.218092	0.1826444	0.07401818	0.352651
AATF	35.7556	34.4238	37.793	43.3616
AATK	0.376308	0.38421000104576	0.180625	0.373071
AATK-AS1	0.0509179	0.0731184	0	0.314552
AB015752.3	0.430124	0.866149	1.273	1.8056
AB019438.66	0	0	0	0
AB019440.50	0	0	0	0
AB019441.29	2.92316	3.03083	5.12526	2.93783
ABALON	2.11235	2.41201	1.13258	1.48299
ABAT	50.9987	50.4627598	61.463255	55.668465
ABC11-4932300O16.1	0	0	0	0
ABC12-47043100G14.2	0	0	0	0
ABC12-47964100C23.1	0	0	0	0
ABC12-49244600F4.4	0	0	0	0.11281
ABC7-42391500H16.4	0	2.10076	0	0
ABC7-42404400C24.1	0.456454	0.675673	0.217006	0.31772
ABC7-42418200C9.1	0.0987839	0	0.194067	0.326661
ABC7-481722F1.1	0	0	0	0
ABC7-481722F1.2	0	0	0	0
ABCA1	1.255136	1.21059	0.587641	0.557843
ABCA10	0.301719	0.265176	0.093922	0.162608
ABCA11P	6.488064	5.513378	6.471208	4.086668
ABCA12	2.886225	2.641944	3.970711	3.638422
ABCA13	0.0843906	0.0598539	0.0710973	0.109416
ABCA17P	0.470344	0.289686	0.246889	0.422236
ABCA2	68.58196859	68.76707536	46.8906011	52.46960377
ABCA3	26.21262	26.82019	23.16319	24.33968
ABCA4	0.288308	0.193831	0.044615	0.0477588
ABCA5	22.47324	20.31546	17.496437	16.97965
ABCA6	0	0.0241165	0	0
ABCA7	3.531934	3.66854	2.87277902	3.244121751
ABCA8	0	0	0	0
ABCA9	0.2591269	0.2979677	0.1980974	0.2569795
ABCA9-AS1	0	0	0	0
ABCB1	0	0	0	0
ABCB10	9.65041	9.79194	11.1166	9.20809
