SRR7629063	SRR7629064	SRR7629065	SRR7629066
5_8S_rRNA	0	0	0	0
5S_rRNA	0	0	0	0
7SK	0	0	0	0.75
A1BG	64.2373	72.0671	26.0751	52.0656
A1BG-AS1	149.9172	197.894	139.0918	138.5102
A1CF	0	5.0002300575449	2.000029025058	2.03036
A2M	0	1.01907	2	1
A2M-AS1	14	21.9809	12	8
A2ML1	8.2385	8.12466	5.17067	4
A2ML1-AS1	0	0	0	0
A2ML1-AS2	1.20297	1.32227	0	0
A2MP1	2	2	1	0
A3GALT2	0	0	0	0
A4GALT	389.0005	609.9998	717	742
A4GNT	3	1	1	0
AA06	0	0	0	0
AAAS	963.9999	1346.0023	1254.002	1246.0001
AACS	1413	1909	1631	1498
AACSP1	5	7	4	11
AADAC	1.999997	1.999999	1	2.000002
AADACL2	0	0	0	1
AADACL2-AS1	1.26089	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	1	1
AADAT	123.5281	163.4128	140.7549077362	99.0274
AAED1	171.852	238.223	204.996	169.803
AAGAB	2647.997	3393.99	3106.999	2654.0012
AAK1	193.5416	299.0939	192.6954	154.6464
AAMDC	184.55703	213.12751	191.4098	178.83475
AAMP	3049.999	4129.9981	3284.9985	3290.9988
AANAT	4	7.42258	3.01599	4.25142
AAR2	698.24315	875.1056	759.99995	701
AARD	103.719	167.395	210.55	162.507
AARS	5922	8023	8710	8555
AARS2	538.287	770.489	747.284	746.203
AARSD1	261.147	281.492	356.428	360.079
AARSP1	0	0	0	0
AASDH	172.99951	221.9999	164	155.000000405315
AASDHPPT	587.926	783	586.978	543.925
AASS	24	29	8	8.0000000281498
AATBC	9	12	4.999998	14
AATF	939	1242	1171	1258
AATK	27	40.000000105032	15	30
AATK-AS1	1	2	0	7
AB015752.3	2.01019	5.50139	7.28782	9.47122
AB019438.66	0	0	0	0
AB019440.50	0	0	0	0
AB019441.29	16.5959	23.8336	34.7357	18.716
ABALON	50.0371	79.0634	31.4464	39.167
ABAT	3026.9954	4121.99845	4431.0046	3727.00107
ABC11-4932300O16.1	0	0	0	0
ABC12-47043100G14.2	0	0	0	0
ABC12-47964100C23.1	0	0	0	0
ABC12-49244600F4.4	0	0	0	0.880889
ABC7-42391500H16.4	0	1.6077	0	0
ABC7-42404400C24.1	30.9906	54.58849	4.0984	24.0256
ABC7-42418200C9.1	3.49574	0	8.2686	12.8079
ABC7-481722F1.1	0	0	0	0
ABC7-481722F1.2	0	0	0	0
ABCA1	141.00016	213	91	80
ABCA10	22.0058	26.2836	8.25415	13.14
ABCA11P	129.30947	149.86888	155.7411	91.3873
ABCA12	262.99993	384.9995	509.0002	435.9997
ABCA13	17.5388	16.9411	17.6566	25.1387
ABCA17P	19.0752	16.0573	12.0572	19.0899
ABCA2	7703.001658	10793.997933	6124.99899	6589.997787
ABCA3	2205.9243	3130.9408	2266.9405	2322.9673
ABCA4	27	25	5	5
ABCA5	1693	2078.004	1579.0027	1416.005
ABCA6	0	2	0	0
ABCA7	324.9994	470	307.99963	331.9998549
ABCA8	0	0	0	0
ABCA9	4.54782	10.85727	4.26454	6.56201
ABCA9-AS1	0	0	0	0
ABCB1	0	0	0	0
ABCB10	447	624	607	473
ABCB10P1	0	0	0	0
ABCB10P3	0	0	0	0
ABCB10P4	0	0	0	0
ABCB11	0	0	0	0
ABCB4	14.9999557236	15	10	5
ABCB5	8.43476	13.71844	16.08901	9.28006
ABCB6	827	1054	876	886
ABCB7	311	405.00050151088	380.000000089201	312.9997
ABCB8	888.9999	1184.0003	891.0001	895.9992
ABCB9	319.10930313125	473.000408275	282.000307786451	293.5698
