hek293t	hct116	mcf7	c42b	pct_peaks
TSPAN6	1	0	0	0	0.25
TNMD	NA	NA	NA	NA	NA
DPM1	1	0	0	0	0.25
SCYL3	1	1	1	1	1
C1orf112	0	0	0	0	0
FGR	NA	NA	NA	NA	NA
CFH	NA	NA	NA	NA	NA
FUCA2	1	1	1	1	1
GCLC	0	1	0	1	0.5
NFYA	1	1	1	1	1
STPG1	1	1	1	1	1
NIPAL3	0	0	0	0	0
LAS1L	1	1	1	1	1
ENPP4	0	0	0	0	0
SEMA3F	1	1	1	1	1
CFTR	NA	NA	NA	NA	NA
ANKIB1	0	0	0	0	0
CYP51A1	1	1	1	1	1
KRIT1	1	1	1	1	1
RAD52	1	1	1	1	1
BAD	0	0	0	0	0
LAP3	1	1	1	1	1
CD99	1	1	1	1	1
HS3ST1	NA	0	NA	NA	0
AOC1	NA	NA	NA	NA	NA
WNT16	NA	0	NA	NA	0
HECW1	NA	1	NA	NA	1
MAD1L1	1	1	1	1	1
LASP1	0	1	0	0	0.25
SNX11	0	1	0	0	0.25
TMEM176A	NA	NA	NA	NA	NA
M6PR	0	0	0	0	0
KLHL13	0	0	0	0	0
CYP26B1	1	1	0	NA	0.666666666666667
ICA1	0	0	1	1	0.5
DBNDD1	0	1	1	1	0.75
ALS2	1	1	1	0	0.75
CASP10	0	0	NA	0	0
CFLAR	1	1	1	1	1
TFPI	0	0	0	0	0
NDUFAF7	0	0	0	0	0
RBM5	1	1	1	1	1
MTMR7	0	NA	0	NA	0
SLC7A2	1	1	0	0	0.5
ARF5	1	1	1	1	1
SARM1	1	NA	1	1	1
POLDIP2	1	1	1	1	1
PLXND1	1	1	1	NA	1
AK2	1	1	1	1	1
CD38	NA	NA	NA	NA	NA
FKBP4	1	1	1	1	1
KDM1A	1	1	1	1	1
RBM6	1	1	1	1	1
CAMKK1	1	1	1	1	1
RECQL	1	1	1	0	0.75
VPS50	0	0	0	0	0
HSPB6	NA	NA	NA	NA	NA
ARHGAP33	0	1	0	1	0.5
NDUFAB1	1	1	1	1	1
PDK4	1	NA	1	NA	1
SLC22A16	NA	NA	NA	NA	NA
ZMYND10	NA	0	NA	NA	0
ABCB5	NA	NA	NA	NA	NA
ARX	NA	NA	NA	NA	NA
SLC25A13	1	1	1	1	1
ST7	0	0	1	1	0.5
CDC27	1	1	1	1	1
SLC4A1	NA	NA	NA	NA	NA
CALCR	NA	NA	0	NA	0
HCCS	1	1	0	0	0.5
DVL2	1	1	1	1	1
PRSS22	NA	0	0	NA	0
UPF1	1	1	1	1	1
SKAP2	0	0	1	0	0.25
SLC25A5	0	0	0	0	0
CCDC109B	1	1	1	NA	1
HOXA11	0	0	NA	0	0
POLR2J	0	0	0	0	0
DHX33	1	1	1	1	1
MEOX1	NA	NA	NA	NA	NA
THSD7A	NA	NA	NA	NA	NA
LIG3	1	1	0	1	0.75
RPAP3	1	1	1	1	1
ACSM3	0	0	NA	0	0
AC004381.6	0	0	1	0	0.25
CIAPIN1	1	1	0	1	0.75
SPPL2B	1	1	1	0	0.75
FAM214B	0	0	0	0	0
COPZ2	NA	NA	1	NA	1
PRKAR2B	1	1	1	1	1
MSL3	1	1	1	1	1
CREBBP	1	1	1	1	1
BZRAP1	NA	NA	NA	0	0
MPO	NA	NA	NA	NA	NA
PON1	NA	NA	NA	NA	NA
GCFC2	1	1	1	1	1
WDR54	0	0	0	0	0
CROT	0	NA	0	0	0
ABCB4	NA	NA	NA	NA	NA
KMT2E	0	1	1	1	0.75
RHBDD2	1	1	1	1	1
SOX8	0	1	NA	1	0.666666666666667
IBTK	1	1	1	1	1
ZNF195	1	1	1	1	1
MYCBP2	1	1	1	1	1
FBXL3	1	1	1	1	1
ITGAL	NA	NA	0	NA	0
PDK2	1	1	1	1	1
ITGA3	1	1	1	NA	1
ZFX	1	1	1	1	1
LAMP2	1	1	1	1	1
ITGA2B	0	0	NA	NA	0
ASB4	NA	NA	NA	NA	NA
GDE1	1	1	1	1	1
C19orf60	1	1	1	1	1
CRLF1	0	0	0	NA	0
OSBPL7	0	0	0	0	0
TMEM98	1	1	NA	1	1
YBX2	NA	NA	0	0	0
KRT33A	NA	NA	NA	NA	NA
MAP3K14	1	1	1	1	1
ABCC8	NA	NA	NA	NA	NA
CACNG3	NA	NA	NA	NA	NA
TMEM132A	0	1	0	1	0.5
AP2B1	0	1	0	0	0.25
TAC1	NA	NA	NA	NA	NA
ZNF263	1	1	1	1	1
CX3CL1	NA	NA	NA	NA	NA
SPATA20	1	1	1	1	1
CACNA1G	NA	0	NA	NA	0
TNFRSF12A	0	0	0	0	0
DLX6	1	NA	NA	NA	1
MAP3K9	1	1	1	1	1
RALA	1	1	1	1	1
BAIAP2L1	1	1	1	1	1
KDM7A	1	1	1	1	1
ETV1	0	0	NA	NA	0
AGK	1	1	1	1	1
ALDH3B1	NA	1	0	1	0.666666666666667
TTC22	NA	NA	NA	NA	NA
PHTF2	1	1	1	1	1
CCL26	NA	NA	NA	NA	NA
FARP2	1	1	1	1	1
USH1C	0	0	NA	NA	0
GGCT	1	1	1	1	1
DBF4	1	1	1	1	1
TBXA2R	NA	NA	NA	NA	NA
IFRD1	1	1	1	1	1
LGALS14	NA	NA	NA	NA	NA
COX10	0	0	0	0	0
GTF2IRD1	0	0	0	1	0.25
PAF1	0	1	0	0	0.25
VPS41	0	0	0	0	0
ARHGAP44	1	1	1	1	1
ELAC2	1	1	1	1	1
SCIN	NA	NA	NA	NA	NA
ARSD	NA	1	1	1	1
PNPLA4	0	1	1	1	0.75
MYH13	NA	NA	NA	NA	NA
