7485_IG1_20200906	7485_IG3_20200906	7485_ZX2_20200906	7485_ZX3_20200906	7481_IG1_20200906	7481_IG3_20200906	7481_ZX2_20200906	7481_ZX3_20200906	7486_IG1_20200906	7486_IG3_20200906	7486_ZX2_20200906	7486_ZX3_20200906
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	4.96499	2.95858	3.52244	15.66762	2.67365	16.69807	26.72442	2.75532	3.61142	2.31921	0	0
7SK	1.508175	0	0	0	0	0	0	0	0	0	0	0.847019
A1BG	4.56832	4.39153	3.91604	3.81874	4.30372	3.99311	3.74031	2.88593	6.38549	4.69786	4.76627	4.5818
A1BG-AS1	12.57997	11.26955	11.71367	12.07141	8.73873	6.5991	8.44307	7.83827	9.35816	8.75451	11.47761	11.07154
A1CF	0.034118200379061	0.13087950466025	0.050007500239881	0.039373200266945	0	0	0.0572894	0	0	0	0.041131500285996	0.0091750102317
A2M	1.74332	1.41061	1.26136	1.85094	18.7386	18.3607	20.5119	19.2671	15.8387	15.8258	18.4701	18.2995
A2M-AS1	0.105838	0.053376	0.0321261	0.213005	0.436513	0.47211	0.362894	0.606292	0.22288	0.271631	0.149461	0.142995
A2ML1	0.0296588	0.0288712	0.0181123	0	0.0253052	0.0155972	0	0	0	0	0.0209312	0
A2ML1-AS1	0	0	0	0	0	0	0	0.243252	0	0	0	0
A2ML1-AS2	0	0	0.337536	0.984348	0.337822	0	0	0	0	0.371076	0.401624	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0.122406	0	0	0	0	0	0	0	0	0	0.0811439
A4GALT	13.460257	9.814483	11.549457	12.203722	9.413978	8.699181	8.024542	8.150706	14.869928	13.172234	15.688223	16.584571
A4GNT	0.0315995	0.0957009	0.154201	0.182255	0.0807253	0.0332012	0.0311406	0.0722252	0.444233	0.202887	0.17873	0.256776
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	23.760402	24.135789	24.721877	24.706307	23.60186	23.559622	24.504102	23.562996	20.96279	22.944439	23.537104	25.853293
AACS	15.9657	15.784	12.2725	11.2566	19.5632	19.0092	14.676	12.527	19.6108	18.9367	14.3643	15.5357
AACSP1	0	0.0187697	0	0	0	0	0	0.0211048	0	0.023852	0.0262082	0.0251065
AADAC	0	0	0	0.0469282	0	0.0424925	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0.11923	0.439274	0	0	0	0.117888	0.14907	0.130264	0	0.160412	0	0.167829
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0
