7485_IG1_20200906	7485_IG3_20200906	7485_ZX2_20200906	7485_ZX3_20200906	7481_IG1_20200906	7481_IG3_20200906	7481_ZX2_20200906	7481_ZX3_20200906	7486_IG1_20200906	7486_IG3_20200906	7486_ZX2_20200906	7486_ZX3_20200906
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	2.11163	1.1689	1.28084	4.8114	0.957854	6.5899	10.88398	1	1.13411	0.870469	0	0
7SK	2.333334	0	0	0	0	0	0	0	0	0	0	0.955332
A1BG	156.961	146.995	109.634	112.596	115.435	128.989	130.44	86.907	156.935	124.354	114.583	115.428
A1BG-AS1	455.3099	409.4365	349.2903	384.8778	251.9044	225.5747	312.4069	250.198	244.6826	251.0976	294.6057	300.2524
A1CF	5.0000000564397	8.000190702088	6.0001200292254	5.0001900344324	0	0	2	0	0	0	3.1247070301502	1.0000400256559
A2M	169	135	100	155	1420.98	1687.95	2018	1627.91	1087.99	1197	1264.99	1310.99
A2M-AS1	4	2	1	7	13.0228	17.0501	14	20.0915	6.01388	8	4.00803	4.00775
A2ML1	2.00554	3.01619	1.00196	0	2.09706	1.00009	0	0	0	0	1	0
A2ML1-AS1	0	0	0	0	0	0	0	1	0	0	0	0
A2ML1-AS2	0	0	1.0722	3.28911	1.04712	0	0	0	0	1.07153	1.08335	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	2	0	0	0	0	0	0	0	0	0	1
A4GALT	586.9998	418.0002	408.9996	455.0004	320.99982	354.00025	353.0005	312.00046	461.9999	443.9996	477.9998	529.0002
A4GNT	1	3	4	5	2	1	1	2	10	5	4	6
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	886	886.00053	747.99988	798	686	831.00045	924.0008	767.99988	554	660.99942	615	704.0001
AACS	1093	1064	684	664	1045	1225	1015	747	955	1004	691	783
AACSP1	0	1	0	0	0	0	0	1	0	1	1	1
AADAC	0	0	0	1	0	1	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	1.02357	3.70436	0	0	0	1.01627	1.31651	1	0	1.0539	0	1.06413
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	302.6916	310.0807	170.5933	182.6262	119.0266	161.6148	98.53005	83.0609	114.0001	130.042	89.9315	91.16685
AAED1	552.233	541.592	453.177	477.27	515.888	699.335	703.346	574.483	405.398	450.127	404.161	407.38
AAGAB	1141	1131	906.9992	988	947	1160	1113	907.0001	810.0009	973	764.001	927.9994
AAK1	1903.8303	1892.3801	1392.5836	1472.3495	1263.0628	1618.0516	1527.2435	1284.4398	1066.3239	1163.9791	1078.8177	1188.7451
AAMDC	294.12857	288.94683	208.0056	242.67499	251.80029	259.79715	255.2124	231.14903	263.75022	259.5831	252.24441	263.66921
AAMP	2241.9986	1997.9962	1484.0047	1542.0005	1559.9949	1815.005	1659.0029	1384.0002	1446.995	1493.9953	1176.9998	1224.9998
AANAT	1	1	0	0	0	0	0	0	0	0	0	2.0000046
AAR2	1276.00926	1240.2436	987.99957	1046.6967	931.0386	1084.33227	962.4194	889.0279	897.0003	880.99953	801	805.00192
AARD	14.6409	5.6815	20.2544	6.25254	9.37498	11.02	5.13774	3.5224	9.20974	16.5645	12.3779	20.8088
AARS	5185	5024	3702	3855	3296	4106	4109	3669	2879	3210	2595	2925
AARS2	459.142	418.131	419.645	396.773	308.669	341.552	335.844	286.779	281.494	306.779	288.306	318.215
AARSD1	704.582	676.129	750.836	764.784	521.832	617.22	760.53	639.33	468.518	557.373	594.433	668.862
AARSP1	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	250.0003	226.9997	209.9998	214.0001	248.999700040563	317.9996	320.0002	216.0001	206.00002681067	263.0001	229.999834	259.9999
AASDHPPT	1195.84	1172	742.986	745	786	1056.98	727.957	608	746.94	1065.86	771.853	695
AASS	306.0134	355.016	242.0021	285.005	328.008	420.041	349.9997	313.006	231.0071	214.0036	159.0031	180.0001
AATBC	5	7	5	1	4.999999	7	7	6	3	3	3	3
AATF	1972	1981	1401	1463	1409	1693	1365	1125	1269	1386	1011	1067
AATK	5	3	2	1	1	1	2	1	4	2	1	6
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	0	2.37258	0	3	0	1	0	1.0004	2	1.03754	1.00585	0
AB019438.66	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0	0
