7496_IG1_20201218	7496_IG3_20201218	7496_ZFX2_ZFY1_20201218	7496_ZFX3_ZFY2_20201218	7497_IG1_20201218	7497_IG3_20201218	7497_ZFX2_ZFY1_20201218	7497_ZFX3_ZFY2_20201218	7506_IG1_20201218	7506_IG3_20201218	7506_ZFX2_ZFY1_20201218	7506_ZFX3_ZFY2_20201218
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	3.24279	8.95365	2.81183	4.54127	4.12834	2	9.21389	2.20227	19.7427	2	1.33779	5.49155
7SK	0	0	1.5	0	0	0	0	0	0	0	1	0
A1BG	195.861	268.624	200.822	241.08	195.309	198.412	170.715	246.306	468.811	268.907	261.133	266.907
A1BG-AS1	542.7223	670.9201	494.8082	473.8616	397.1048	589.4595	484.8067	571.6063	582.5371	331.8088	377.9623	430.0409
A1CF	0	5.0889400189488	0	1.0000000274909	1.00002	4.0002500442798	1.00002	0	0	1.00015	2.000092	3.000003
A2M	529	487	1142	435	34	16	7	7	637.93	352	441	463
A2M-AS1	1	0	5	0	2	0	2	0	19.07	13	18	13
A2ML1	0	1.00023	4.09867	1.10638	8	0	2.0012	0	0	2	0	4.00681
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	2.1305	0	2.14342	1.06691	0	1.09435	0	0	2.0953	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	1242.0002	1362.9955	1188.001	1326.0002	1131.9999	1467.998	1697.9987	1668.995	1723.0011	1169.9982	1206.0004	1336.997
A4GNT	1	0	1	0	0	2	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1822.001	2172.99739	1763.9996	1947.9973	868	1164	1303.9999	1564.9967	2350.99982	1523.00268	1542.00043	1712.00109
AACS	2123	2700	1780	1879	1082	1611	1476	1779	3777	2343	2282	2241
AACSP1	2	0	1.00153	0	0	2	1.0008	1.00149	0	1	3	2
AADAC	0	0	0	1	0	0	0	0	2	0	0	4
AADACL2	1	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	2.02144	6.04592	2.02597	0	3	0	0	0	0	0	3.0836	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	1	0	0	0	0
AADAT	383.447	518.641	351.665	368.379	210.8803	313.256	193.532	250.162	569.423	484.117	355.1481	337.1
AAED1	1312.1	1752.61	2124.96	1813.05	823.236	992.117	1245.5	1300.07	1424.36	929.721	1057.4	1306.46
AAGAB	2539.004	3196.992	2912.99	2936	1546	2015.996	2674.996	2769	3608.999	2393.004	2583.004	2793.996
AAK1	2332.9697	3179.971	2756.289	2560.446	1669.8964	2174.9412	1337.0805	1282.8856	1868.323	1199.1771	1215.7891	1497.392
AAMDC	640.1735	876.02404	661.53658	826.92413	446.63026	668.98141	771.14327	846.70011	1223.18223	709.121284	739.731698427	791.76065
AAMP	2938.0025	3914.0015	2803.9982	3082.001	2544.0006	3590.004	3809.001	4209.002	5169.995	3506.9957	3257.9956	3518.0028
AANAT	1	1	0	5	0	2	9	1	0	0	0	5
AAR2	1809.00124	2532.9993	2161.8945	2103.4207	1303.0853	1788.5368	1806.001	2208.8763	3423.9984	2257.0032	2252.99681	2394.0395
AARD	22.9269	43.0495	38.473	11.7525	53.8756	112.308	57.8431	149.571	86.079	49.0794	38.3502	55.697
AARS	8059	10017	10787	7687	4891	6190	5351	6076	8806	5480	6431	6460
AARS2	673.44	745.783	645.435	710.197	293.636	375.006	348.815	376.969	763.549	600.387	616.593	627.531
AARSD1	1050.55	1388.48	1339.98	1325.24	781.821	1113.61	1407.8	1636.7	1366.45	937.915	1011.35	1071.01
AARSP1	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	571.9992	731.9994	709.9995	617.0001	268.000351312	281.99960161836	335.0003	344.9995972705	723.0001	443.0003108336	558	517.0003
AASDHPPT	1838.9	2577.75	2223.93	1931	1345	1550.86	1840.78	1939.8	2526.6	1766.7	1709.92	1801.86
AASS	442	583.0075	480.936	380.002	277.0069	313.005	300	234.876	415.0003	238.0621	333.003	342.008
AATBC	11	5	15	2	9	16	1	12	10	2	11	6
AATF	3114	4112	2853	3304	1833	2688	2244	2535	4280	2993	2598	2725
AATK	9	4	12	15	3	4	5	4	11	13	7	7
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	1.14024	0	1.0677	0	4.01513	0	3	2.00163	0	0	0	0
AB019438.66	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	11.7118	10.6417	19.2864	11.7746	3.19112	10.6491	4.2255	8.47344	4.23338	10.5836	12.6682	6.36086
ABALON	123.72	120.346	93.2436	139.081	139.945	176.148	150.921	157.409	109.846	89.5546	77.8596	108.806
ABAT	294	416	583	366.00006	364	542.99975	678.00021	531.99973	1474	727.0002	1237.00273	1232
ABC11-4932300O16.1	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-49244600F4.4	1.61918	5.29061	0.756701	3.36424	0	8.36077	4	0	0.48736	0	0	0
ABC7-42391500H16.4	0	0	2.19274	0	4.21194	0	0	0.152218	0.127741	0	0	0
ABC7-42404400C24.1	147.3462	190.5203	224.744	86.729	39.9277	119.0979	96.2889	93.2754	345.084	261.742	288.364	337.45
ABC7-42418200C9.1	8.29859	20.1619	12.1876	4.51105	0	11.2652	18.7167	27.078	0	4.05965	1.03775	5.19536
ABC7-481722F1.1	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.2	0	1.80079	3.50776	0	0	0	0	0	0	0	0	0
ABCA1	669	956	857	868.99976	869.99992	1174.00147	662.99988	868.99972	2567.00491	1620	1994.00062	2038.00328
ABCA10	0	0	2	3.01595	3	3.06105	1	1	0	0	0	4.05428
ABCA11P	156.63936	226.1233	180.798	109.13552	80.2378	101.74825	70.0428	100.91602	207.94138	144.235	132.4924	150.84
ABCA12	8	4	6	2	4	0	2	4	23.99999	16	14	10
ABCA13	31.5985	38.8072	59.5025	47.6198	16.521	43.0312	39.3894	42.0192	121.351	81.0449	62.5	104.468
ABCA17P	7	1	6	1	0	0	1	1	3	1	0	3
ABCA2	3568.99638047045	4524.00500403046	3062.99681578	2682.00304906669	2238.99541748	2936.000686	1342.9987	1530.99946030805	2828.000056351	1493.0039	1781.00401660393	1970.996
ABCA3	66	56.01827	67.0203	70.1214	54	75.0358	63.0713	84.99996	258	149.2584	192.04	218.0665
ABCA4	23	17	21	11	12	6	6	11	5	6	3	9
ABCA5	166.0004	254	277	146.0002	76	64.00004	56	61	177.9996	108	106.99971	118.00042
ABCA6	36.00004	65.99997	102	57.00001	134.99955	145	199.9997	214.0004	69	32.00001	53.99999	74
ABCA7	329	380.99996	323.99995	330.000000011731	25.0000000232071	53	38	45	332.9999	147	346.000000094114	331.9995
ABCA8	51.5902	57.999967749	99.99993	66	210.53464	190	380.9998	302.8988	368.00023459	212	333.960200298281	400.8774
ABCA9	16.92224	43.79914	16.9441	22.6516	27.20322	35.2635	31.5995	40.06959	23.54843	17.67008	7.30901	20.55693
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	2	15	5	8.0000000294442	0	0	0	0	0	5	1	0
ABCB10	1394.86	1767.68	1145.44	1154.7	701	866	1006	1054	2002.78	1273.85	964.934	1144.76
ABCB10P1	0	4.68192	1.49604	0	0	0	0	0	9.64068	5.98706	0	7.25853
ABCB10P3	16.0886	0	0	29.1336	0	0	0	0	17.7557	0	0	14.984
ABCB10P4	0.0502067	20.6362	44.0609	0.165476	0	0	0	0	1.82253	10.1612	6.06631	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	6	8	13	2	6	3	0	1	19	9	20	6
ABCB5	10.18951	31.32104	29.51052	14.74256	14.11682	28.50579	20.73295	30.54716	8.28367	7.15287	8.01749	21.02409
ABCB6	435	634	529	408	385	433	647	637	662	410	438	462
ABCB7	758.9997	934.0006	916.9999	950.9996	589.99966	677	873.9998	901.9999	1082	633	744	804.00024
ABCB8	1138.9995	1403.0006	976	1155.0003	778.9997	1016.0000366423	950.9991	1207.0004	1545.0001	1082.9998	1073.0001	1124.9999
ABCB9	125.89251	199.19181	108.618	133.79521	49	90.79268	166.3043411584	133.68433	264.127323943	172.2383	170.9299	217.903759246
ABCC1	5993.00000166739	7830.000016661	7658.00000063827	6408.001	3941.0022	5325.9968	4424.004	4561	7781	4459	5374.003	5978.9979
ABCC10	1399.003	1738.997	1246.948	1308.0012	1042.9996	1463.979	1391.9752	1584.9977	1603.002	1052	1025.9999	1083.001
ABCC11	7	8	14	5	2	5	11	14	20	7	14	34
ABCC12	0	0	0	1	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	63	84	73	75.99999	32	50.00003	24	21	88	62	60	97
ABCC3	660	792	1290	868	461	586	698	714	1011	534	845	938
ABCC4	2395.1175	3094.8375	3060.6967	3389.2718	1501.2622	1982.6736	2694.5013	2712.9985	3735.9988	2571.999	2657.02754	2885.6116
ABCC5	974.109243	1400.99932	1118.0966192973	1001.023862694	710.0354	991.1272	637.00026	776.0005	917.0008395	642.1397	629.0004	650.2857
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	48.2189	57.234	37.1665	42.81644	31.1493	47.1114	24.3742	22.31032	18.2218	15.66139	23.8029	36.35491
ABCC6P1	6.59005	0	0	0	0	0	0	2.76333	2.73986	7.34601	2	3.31903
ABCC6P2	1.40995	4	0.653275	1.64817	0	0	5	0	19.1915	0	4	16.6891
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	6636.1494	8773.2349	8922.125	7694.598	1396.721	1845.5934	1806.7703	1849.48490006439	8938.939	5579.5057	6430.772	7076.82
ABCD1	1257.00122	1732.99777	983.99991	1031.00402	986.9997	1240.9962	1093.0007	1228.0031	2006.9774	1275	1333.003	1379.99535
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	1.02124	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	1	1	1	0	0	0	0	0	2	1	2
ABCD3	3873.3765	5084.2585	4802.2465	4198.0133	2656.9986	3369.4353	3977.052	4184.4123	5344.9975	3771.068	3675.0007	4299.354
ABCD4	452.0003	677	577.9996	572.0003	320	328	394	423.99973	725.00024	414	591.000000745308	588
ABCE1	5466.69	7345.75	7703.58	7332.69	3710.94	4762.51	6270.87	6567.65	6990.27	5294.22	4991.95	5986.86
ABCF1	4694.9988751	5801	5005	5039	3619.0000198809	5030.000020763	3304.00000261125	3683.002	4883	3222.0008	3415.000006748	3798.997
ABCF2	6069.39	7455.63	6361.13	6586.92	3919.85	5895.6	5436.77	6386.37	8963.12	6065.34	6139.99	6714.1
ABCF2P1	0	0	1.013	0	0	6.06328	0	0	0	2.03714	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	2273.99987	3157.004	2525.000362483	2575.00000073774	1558.0009766	1977.0000529508	2184.996	2394.005	3834.0048	2238.00316	2553.99852211	2722.998
ABCG1	0	3	0	2	4	19	9	3	6	1	1	2
ABCG2	4	4	10	6	9	7	31.00000440987	24	47	18	20	38
ABCG4	8	9	5	4	4	2	1	4	26.00004	16.00005	7	5.999998
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	1.00075	9.00849	9.01465	2.00143	2.00205	2	5.00387	7	4	7	7
ABHD10	1412.0013	1799.0012	1481.0006	1460	865	1098.9978	1432	1475	1962.9976	1344.997	1457.9984	1552
ABHD11	316.10605	375.52193	249.35740059255	374.15996	176.34325	390.27800440569	233.82889	322.646	528.0191385	382.78517	358.4984797082	355.06476
ABHD11-AS1	55	79	39	43	6	2	4	1	70	19	35	29
ABHD12	4119.996	5664	3588.997	3835.004	2541.003	3097.996	3340.001	3664.995	4273.996	2537.998	2458.995	2747.002
ABHD12B	4	11.8985	5.97442	1.08584	4	8.33714	1.06377	1	4.37803	1	2.29068	1
ABHD13	679	1030	1248	951	546	635	921	848	1021	699	749	781
ABHD14A	425.00034	535.00021	544.293	445.00017	258.00041	371.55202	344.9997	412.99958	538.0002	306.00007	442.20991	418.99974
ABHD14A-ACY1	0	0	42.1765	0	0	12.1549	0	0	0	0	6.34761	0
ABHD14B	2329.00328	2937.00397	2883.26075	2754.94003	1196.00018	1632.9279	1857.00487	2208.00081	2642.53383	1600.0003	2175.88519	2333.74199
ABHD15	826.94	1132.2	820.755	929.402	818.333	1165.19	1002.65	1201.51	1289.25	812.728	752.973	859.936
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	1139.002	1561.9972	1265.99928	1197.9982	1046.0008	1303.9965	1774.0022	1925.0021	1917.9958	1284.0023	1348.0049	1308.0043
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	2037.8853	2502.6114	1619.99900053428	1957.5501	1352.8634	1683.389804	2002.5200540072	2264.9964	2804.708	1798.86400344	1882.995355	1839.59740074186
ABHD17AP1	0	0	0	0	1.52462	0	1.49084	0	0	0	0	0
ABHD17AP3	0	2.22417	0	0	1.13813	0	0	0	0	0	0	2.2743
ABHD17AP4	0	0	0	2.45385	0.747501	0	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	0.456634	0	4.72094	0	3.54215	0	0	0
ABHD17AP6	1.11728	1.15739	0	0	2.27019	5.60684	2.26783	0	5.74579	1.14026	0	1.12994
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	601.56	839.28	760.1085	644.788	516.53	687.944	862.3	860.851	893.499	570.864	587.163	603.607
ABHD17C	651.0002	1010.0001	1011.9999	775.0003	368.0003	542.9997	651.0004	679	895.99955	548.0005	619.0001	700.0002
ABHD18	318.3036	419.969	438.8105	459.1408	232.1548	255.6363	347.5001	269.3430662524	339.6343	210.3744	275.0213	264.4087
