Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	285.854863113121	-0.0447234685686174	0.143618122076675	-0.311405468348488	0.755492397293991	0.953204223561532	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	283.07215005453	-0.132541334245322	0.11468795709912	-1.15566915304605	0.24781651020009	0.741090473383969	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A4GALT	1524.37730928789	0.124192296205905	0.233717073451345	0.53137879219491	0.59515631480121	0.916944984313542	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	2385.00410687713	0.0511145470059574	0.0503244632663991	1.01569979465803	0.309772365847867	0.790293065953733	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	3116.39172031795	-0.0813288244980275	0.0678840677838323	-1.19805467104606	0.230895733994119	0.72704181694129	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AAED1	533.43728632955	-0.513578275162864	0.156001311018426	-3.29214076349783	0.000994278325685963	0.0629300541297511	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	3509.41031212828	0.0326826541492331	0.0764290821698467	0.427620654616827	0.668927325817344	0.93556517286345	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	783.282295791061	0.149487369202553	0.116243950915968	1.28597976948166	0.198450122179515	0.697178325041534	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	213.203665207838	-0.116097056360809	0.0962216965307947	-1.20655798584526	0.227602415228145	0.724610768570568	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	5160.28545072164	0.0274932438038656	0.0430608173211511	0.638474732117106	0.523164697213841	0.890946853481115	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
