baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
ZFX	1061.78399209699	-2.3144899705459	0.0954881301717173	-24.2385097119792	8.74040563282027e-130	1.2991738932624e-125	ENSG00000005889	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ENSG00000005889
ANKRD52	7662.65461618974	-1.08567125453746	0.0661750089027796	-16.4060613294735	1.73075513548192e-60	1.28629721669016e-56	ENSG00000139645	ANKRD52	protein_coding	chr12	56237807	56258391	chr12:56237807	ANKRD52	protein_coding	chr12	56237807	56258384	chr12:56237807	ENSG00000139645
CPNE3	6227.20107869135	-0.85000286155426	0.0620949680377225	-13.6887559236344	1.18521136755414e-42	5.87232725577492e-39	ENSG00000085719	CPNE3	protein_coding	chr8	86484830	86561498	chr8:86484830	CPNE3	protein_coding	chr8	86514435	86561498	chr8:86514435	ENSG00000085719
DIS3L	730.7467503352	-1.23561189037691	0.0952869301656836	-12.9672756612942	1.87579596299203e-38	6.97045779847838e-35	ENSG00000166938	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	ENSG00000166938
MVB12B	280.062052334895	-1.84206782313776	0.145192431129242	-12.6870788567351	6.97386143171479e-37	2.07318952642017e-33	ENSG00000196814	MVB12B	protein_coding	chr9	126326849	126507041	chr9:126326849	MVB12B	protein_coding	chr9	126326829	126507041	chr9:126326829	ENSG00000196814
SLC3A2	15378.5110427411	0.752079010669983	0.0596163706429018	12.6153102337425	1.73871600935949e-36	4.30737912718657e-33	ENSG00000168003	SLC3A2	protein_coding	chr11	62856102	62888875	chr11:62856102	SLC3A2	protein_coding	chr11	62856004	62888880	chr11:62856004	ENSG00000168003
DLAT	1011.82806170089	-1.04183904038256	0.0863076660844587	-12.0712224956129	1.49890873717939e-33	2.80190732674977e-30	ENSG00000150768	DLAT	protein_coding	chr11	112024814	112064390	chr11:112024814	DLAT	protein_coding	chr11	112025408	112064404	chr11:112025408	ENSG00000150768
GBAS	670.745656619159	-1.15175399036533	0.0954171451772406	-12.0707236443294	1.50802331902571e-33	2.80190732674977e-30	ENSG00000146729	GBAS	protein_coding	chr7	55951793	56000181	chr7:55951793	NIPSNAP2	protein_coding	chr7	55951793	56000181	chr7:55951793	ENSG00000146729
EML1	1439.90283230891	-0.897344744610868	0.0744055567459445	-12.0601845326529	1.71398451866499e-33	2.83074065393738e-30	ENSG00000066629	EML1	protein_coding	chr14	99737693	99942060	chr14:99737693	EML1	protein_coding	chr14	99737693	99942060	chr14:99737693	ENSG00000066629
HERPUD1	5016.77758061413	0.812664539941482	0.0678661457959683	11.974520291526	4.83224471132016e-33	7.18264853890628e-30	ENSG00000051108	HERPUD1	protein_coding	chr16	56932048	56944863	chr16:56932048	HERPUD1	protein_coding	chr16	56932142	56944864	chr16:56932142	ENSG00000051108
SF3B1	11513.9839131549	-0.646671084395605	0.0551783930774971	-11.7196432938409	1.01096774951878e-31	1.36609314807701e-28	ENSG00000115524	SF3B1	protein_coding	chr2	197389784	197435091	chr2:197389784	SF3B1	protein_coding	chr2	197388515	197435079	chr2:197388515	ENSG00000115524
TTC8	770.708575013298	-1.09855774914531	0.0946125223558683	-11.6111242126416	3.61826826915412e-31	4.4818282960589e-28	ENSG00000165533	TTC8	protein_coding	chr14	88824153	88881078	chr14:88824153	TTC8	protein_coding	chr14	88824153	88881078	chr14:88824153	ENSG00000165533
NSMAF	1603.69790612567	-0.883095127456196	0.0768903433848176	-11.4851239906228	1.56710474815147e-30	1.79180345973257e-27	ENSG00000035681	NSMAF	protein_coding	chr8	58583504	58659844	chr8:58583504	NSMAF	protein_coding	chr8	58583508	58659853	chr8:58583508	ENSG00000035681
TMEM189	3498.03137667661	-0.922355587502731	0.0808513883127798	-11.408036482126	3.81237991817236e-30	4.04765822169385e-27	ENSG00000240849	TMEM189	protein_coding	chr20	50118254	50153734	chr20:50118254	PEDS1	protein_coding	chr20	50118254	50153734	chr20:50118254	ENSG00000240849
