gene_id	TPM_encode	SRR5931685	SRR5931686	SRR5931687	gene_name.107	median_TPM
ENSG00000000003	4.1	10.624326	10.99439	11.876096	TSPAN6	10.809358
ENSG00000000419	40.27	169.7049	166.851	179.6458	DPM1	168.27795
ENSG00000000457	3.91	5.81012	5.97773000309327	6.013761138	SCYL3	5.89392500154664
ENSG00000000460	5.01	7.46003	7.722891	8.057504	C1orf112	7.5914605
ENSG00000001036	34.91	45.9266	45.3755	52.0566	FUCA2	45.65105
ENSG00000001084	16.08	24.281566	23.530563	24.538174	GCLC	23.9060645
ENSG00000001167	11.31	16.93381	15.64525	16.24907	NFYA	15.94716
ENSG00000001460	1.33	1.11084	1.05355	1.2647782	STPG1	1.1878091
ENSG00000001461	3.49	4.363707	4.830349	4.934714	NIPAL3	4.597028
ENSG00000001497	14.15	15.61799	14.467996	15.630939	LAS1L	15.042993
ENSG00000001561	1.74	6.45117	6.47936	7.58156	ENPP4	6.465265
ENSG00000001617	17.37	9.4995572137	9.892259	10.154075	SEMA3F	10.023167
ENSG00000001629	26.11	24.3848	25.407	25.6422	ANKIB1	25.5246
ENSG00000001630	38.38	63.4461	64.2033	72.5678	CYP51A1	63.8247
ENSG00000001631	13.21	15.60489	15.50423	15.48958	KRIT1	15.496905
ENSG00000002016	3.75	4.488732	4.618711	4.178203	RAD52	4.3334675
ENSG00000002330	18.49	19.19122	19.53095	19.90197	BAD	19.361085
ENSG00000002549	16.68	25.193024	26.05353	27.260626	LAP3	25.623277
ENSG00000002586	35.87	34.163711	33.7204716	36.264509	CD99	35.0168555
ENSG00000002822	21.32	7.664178	6.6900671	7.541845	MAD1L1	7.6030115
ENSG00000002834	29.42	30.902854	30.403185	30.788352	LASP1	30.5957685
ENSG00000002919	12.1	14.186689	13.449141	16.954027	SNX11	13.817915
ENSG00000003056	33.43	41.07491	42.86241	45.91801	M6PR	41.96866
ENSG00000003096	1.58	1.40735	1.6298297227	2.030291	KLHL13	1.60491486135
ENSG00000003137	6.44	9.252926	9.20848	10.266862	CYP26B1	9.230703
ENSG00000003147	10.82	36.270641	32.903898	35.798037	ICA1	34.3509675
ENSG00000003249	30.63	38.151638	37.001292	36.132998	DBNDD1	36.567145
ENSG00000003393	6.46	8.1478	8.05532	8.38485	ALS2	8.10156
ENSG00000003402	17.88	13.1761518	13.5562903	13.4898072	CFLAR	13.52304875
ENSG00000003436	29.8	6.201742	6.04261	6.055622	TFPI	6.128682
ENSG00000003509	6.24	8.792103	8.10086	8.779258	NDUFAF7	8.440059
ENSG00000003756	27.51	29.28291	28.25325	27.68522	RBM5	27.969235
ENSG00000003987	0.55	1.309545	1.111047	1.256588	MTMR7	1.1838175
ENSG00000003989	82.4	76.2219	83.153162	85.348176	SLC7A2	82.776581
ENSG00000004059	74.93	70.5077	67.7141	70.672	ARF5	70.58985
ENSG00000004139	5.11	1.05499	0.9968	0.903677	SARM1	1.025895
ENSG00000004142	32.63	38.28721	36.4628	39.9858	POLDIP2	37.375005
ENSG00000004399	93.89	20.059869	20.008738	20.103507	PLXND1	20.081688
ENSG00000004455	39.85	76.348713	71.682786	70.408195	AK2	71.0454905
ENSG00000004478	81.94	106.1468	101.4773	118.7373	FKBP4	103.81205
ENSG00000004487	29.6	33.25286	33.30179	35.34942	KDM1A	33.277325
ENSG00000004534	15.3	23.784536	22.836299	23.983332	RBM6	23.3104175
ENSG00000004660	1.49	1.180161	1.11719605017	1.310892	CAMKK1	1.2455265
ENSG00000004700	6.95	11.11211	11.5714	12.57407	RECQL	11.341755
ENSG00000004766	6.74	8.513573	8.852659	9.34723	VPS50	8.683116
ENSG00000004777	21.94	3.82878	3.6218126	3.9371149	ARHGAP33	3.88294745
ENSG00000004779	53.06	100.007514	108.828401	124.047242	NDUFAB1	104.4179575
ENSG00000004799	0.32	1.60218	1.43933	1.82618	PDK4	1.520755
ENSG00000004864	11.87	17.56384	15.91283	17.84423	SLC25A13	16.738335
ENSG00000004866	5.34	6.366486	6.0432243	7.247281	ST7	6.20485515
ENSG00000004897	35.73	42.35478	40.78554	42.18206	CDC27	41.4838
ENSG00000004948	8.63	35.4339926	36.28580503	41.9312738283097	CALCR	35.859898815
ENSG00000004961	9.41	21.565961	21.055289	23.03631	HCCS	21.310625
ENSG00000004975	32.33	8.56367	9.12531	8.84024	DVL2	8.982775
ENSG00000005001	8.47	11.63717	11.26679	12.233982	PRSS22	11.45198
ENSG00000005007	36.03	26.94523	26.07548	27.06676	UPF1	27.005995
ENSG00000005020	6.66	9.17514	9.88911	10.5691	SKAP2	9.532125
ENSG00000005022	249.53	363.513	370.96	417.243	SLC25A5	367.2365
ENSG00000005059	6.65	7.32799	6.83857	8.17014	MCUB	7.08328
ENSG00000005075	44.83	67.249279	68.093122	71.330074	POLR2J	67.6712005
ENSG00000005100	8.61	9.491485	9.0309638	9.2627	DHX33	9.1468319
ENSG00000005156	7.21	6.49831	6.08962	6.2777	LIG3	6.388005
ENSG00000005175	11.69	23.79918	23.24126	23.88572	RPAP3	23.52022
ENSG00000005189	5.53	5.784069	6.357238	6.27386	REXO5	6.0289645
ENSG00000005194	14.91	12.565705	14.11533	14.633521	CIAPIN1	14.3744255
ENSG00000005206	29.08	8.6500747	9.496039	9.6306728	SPPL2B	9.5633559
ENSG00000005238	2.14	2.6254669	2.2041737	2.6759563	FAM214B	2.4148203
ENSG00000005243	1.04	2.35964	2.02892	2.9191	COPZ2	2.19428
ENSG00000005249	2.27	2.72597	2.8198	3.27332	PRKAR2B	2.772885
ENSG00000005302	5.01	5.851486	5.402664	5.509611	MSL3	5.4561375
ENSG00000005339	28.22	20.36493	17.48209	17.26414	CREBBP	18.92351
ENSG00000005436	5.82	9.50577	8.69463	10.7857568	GCFC2	9.1002
ENSG00000005448	19.33	12.74232	15.38759	14.48154	WDR54	14.934565
ENSG00000005469	5.02	21.85582	22.1756	24.20987	CROT	22.01571
ENSG00000005483	27.08	27.74471	28.363507124	27.301217	KMT2E	27.5229635
ENSG00000005486	27.58	26.1521	23.75294	27.0944	RHBDD2	26.62325
ENSG00000005700	9.23	24.801235	24.094247	26.088184	IBTK	24.447741
ENSG00000005801	8.92	18.438326	18.030902	16.813106	ZNF195	17.422004
ENSG00000005810	9.99	4.688149	5.07866	5.61918	MYCBP2	5.34892
ENSG00000005812	8.33	12.0176	12.125	12.856	FBXL3	12.0713
ENSG00000005844	0.51	1.83316	1.449463	1.623827	ITGAL	1.536645
ENSG00000005882	11.95	5.986787	5.74832	6.217561	PDK2	6.102174
ENSG00000005884	34.55	15.864557	15.9896146	16.68432	ITGA3	16.3369673
ENSG00000005889	11.19	9.814398	9.351542	9.385204	ZFX	9.599801
ENSG00000005893	61.12	83.52514	84.83092	92.65161	LAMP2	84.17803
ENSG00000006007	23.19	27.755	27.4166	29.5879	GDE1	27.5858
ENSG00000006015	37.14	25.57012	24.08922	27.9965	REX1BD	26.78331
ENSG00000006016	6.02	3.01852	2.73521	3.06535	CRLF1	3.041935
ENSG00000006025	19.61	7.114444	6.377791	6.600897	OSBPL7	6.8576705
ENSG00000006047	15.36	9.96023	9.79209	9.99453	YBX2	9.97738
ENSG00000006062	3.54	5.962024	5.717635	5.293347	MAP3K14	5.505491
ENSG00000006118	74.25	20.61246	21.07817	22.17125	TMEM132A	21.62471
ENSG00000006125	34.12	29.54625	26.75291	29.093304	AP2B1	29.319777
ENSG00000006194	11.83	11.587451	11.861889	11.867459	ZNF263	11.8459445
ENSG00000006282	30.9	23.71458	24.26652	23.609121	SPATA20	23.99055
ENSG00000006327	57.09	131.843538	129.37429	140.52021	TNFRSF12A	130.608914
ENSG00000006432	5.96	7.458881	6.732091	6.575588	MAP3K9	6.6538395
ENSG00000006451	9.11	21.3397	22.3634	23.7665	RALA	21.85155
ENSG00000006453	6.97	12.7725	12.4081	12.6441	BAIAP2L1	12.5261
ENSG00000006459	3.77	3.77819	3.91733	3.97119	KDM7A	3.84776
ENSG00000006530	7.89	10.4438497	9.9530128	10.078108	AGK	10.0155604
ENSG00000006534	1.57	1.802257	1.432499	1.893139	ALDH3B1	1.6861285
