Gene	gene_id.107	gene_type.107	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Balaton.consensus.calls	Carrel_hybrids	Carrel_SNPs	Cotton_AI	Cotton_DNAm	Balaton_only_methylation_data	num_inf_females	pct_females_escape	Cotton_XCI_status	Cotton_AR	Cotton_AR_SD	Cotton_p.val	Cotton_p.adj	Cotton_myCall	total_count	Tuk_Skew_AR	Tuk_skew_padj	Y014	Y035	Y117	Tuk_SC_inf_samples	Tuk_SC_sig_samples	Tuk_SC_pct_sig	Tuk_AR	Tuk_myCall	Garieri_XCI_status	num_inf_samples	num_sig_samples	pct_sig_samples	Garieri_AR	Garieri_myCall	Sauteraud_AR	Sauteraud_XCI.status	Sauteraud_AR_p.adj	Sauteraud_myCall	SanRoman_LCL_AR	SanRoman_LCL_padj	SanRoman_LCL_myCall	SanRoman_fib_AR	SanRoman_fib_padj	SanRoman_fib_myCall	Avg_AR	num_studies_XCI_calls	num_studies_Esc	pct_studies_Esc	num_studies_Subject	pct_studies_Subject	Final_XCI_Call	Diff_from_Balaton
ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ABCB7	ENSG00000131269	protein_coding	Mostly S	0.22	NA	S	S or S+U and VE and U	FALSE	35	0.0571428571428571	subject	0.0344914285714286	0.0947546719985153	0.253698831235839	0.398220556633354	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00302548860667999	Subject	0.0226110721997785	S	0.20533283232237	Subject	NA	NA	NA	NA	NA	NA	0.0200426631259624	3	0	0	3	1	Subject	FALSE
ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ABCD1	ENSG00000101986	protein_coding	Mostly S	0.33	NA	S	NA	FALSE	25	0.08	subject	0.02776	0.0627964303656399	0.289827735396901	0.407723763354962	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0889262219981184	0.102212970792065	Subject	0.0977949941654588	0.209446624463956	Subject	0.0714937387211924	3	0	0	3	1	Subject	FALSE
ACE2	ENSG00000130234	protein_coding	chrX	15494566	15607236	ACE2	ENSG00000130234	protein_coding	E	NA	NA	E	NA	FALSE	5	0.8	escape	0.43294	0.233641890507674	0.0225994352964224	0.116470780121542	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43294	1	0	0	1	1	Subject	TRUE
ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ACOT9	ENSG00000123130	protein_coding	S	0.22	S	S	all F S or S+U	FALSE	45	0.0444444444444444	subject	0.0181066666666667	0.039468390113885	0.270469906409008	0.402629679283988	Subject	30	0	1	0	NA	0	2	0	0	0	Subject	inactivated gene	4	0	0	0.00404833595184145	Subject	0.00999239645198032	S	0.0887682352028078	Subject	0.102585984758133	0.150075202169044	Subject	0.14601203788715	0.0483170137318515	Escape	0.0467909036192952	6	1	0.166666666666667	5	0.833333333333333	Subject	FALSE
ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ACSL4	ENSG00000068366	protein_coding	S	0	NA	S	all F S	FALSE	46	0.0217391304347826	subject	0.0188608695652174	0.0463318679780792	0.276158030638106	0.402629679283988	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	5	0	0	0.00205268186653789	Subject	0.056900848689537	S	0.0617488105581949	Subject	NA	NA	NA	NA	NA	NA	0.0259381333737641	3	0	0	3	1	Subject	FALSE
ACTRT1	ENSG00000123165	protein_coding	chrX	128050962	128052403	ACTRT1	ENSG00000123165	protein_coding	No call	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
ADGRG2	ENSG00000173698	protein_coding	chrX	18989307	19122637	ADGRG2	ENSG00000173698	protein_coding	Mostly S	0	NA	VE	too much U	FALSE	45	0.266666666666667	variable escape	0.119248888888889	0.141258360367581	0.0166519123122614	0.0933857244538986	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.119248888888889	1	0	0	1	1	Subject	FALSE
ADGRG4	ENSG00000156920	protein_coding	chrX	136300963	136416890	ADGRG4	ENSG00000156920	protein_coding	E	NA	NA	E	NA	FALSE	14	0.857142857142857	escape	0.362728571428571	0.239136425268318	0.00275683707459427	0.0220016804991658	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.362728571428571	1	1	1	0	0	Escape	FALSE
AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	AFF2	ENSG00000155966	protein_coding	Mostly S	NA	NA	VE	all F S	FALSE	44	0.454545454545455	variable escape	0.203215909090909	0.195241458072606	0.00114158238131355	0.0102990584401114	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.203215909090909	1	1	1	0	0	Escape	TRUE
AFF2-IT1	ENSG00000223516	lncRNA	chrX	148546878	148547397	AFF2-IT1	ENSG00000223516	sense_intronic	No call	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
