baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
ZFY	774.635432032704	-1.71803436919547	0.120201161527984	-14.2929930739104	2.41981596917284e-46	3.70401230401286e-42	ENSG00000067646	ZFY	protein_coding	chrY	2935281	2982506	chrY:2935281	ZFY	protein_coding	chrY	2935281	2982506	chrY:2935281	ENSG00000067646
ADCY3	1790.77607619067	-0.851213216737014	0.0706197371732728	-12.0534747198007	1.8594281009671e-33	1.42311329707517e-29	ENSG00000138031	ADCY3	protein_coding	chr2	24819169	24919839	chr2:24819169	ADCY3	protein_coding	chr2	24819169	24920237	chr2:24819169	ENSG00000138031
TNFAIP2	509.589165461924	-0.899395238080436	0.0832969573375251	-10.7974560755686	3.53872293992327e-27	1.80557440138018e-23	ENSG00000185215	TNFAIP2	protein_coding	chr14	103123442	103137439	chr14:103123442	TNFAIP2	protein_coding	chr14	103121476	103137439	chr14:103121476	ENSG00000185215
FBXO44	304.443300917056	-1.13016802496345	0.107016286365124	-10.5607105549101	4.53218019888578e-26	1.73435205760862e-22	ENSG00000132879	FBXO44	protein_coding	chr1	11654375	11663327	chr1:11654375	FBXO44	protein_coding	chr1	11654375	11663327	chr1:11654375	ENSG00000132879
BLVRA	1591.72697372001	-0.670838407721425	0.0637458433320012	-10.523641584402	6.7224076360268e-26	2.05799787369325e-22	ENSG00000106605	BLVRA	protein_coding	chr7	43758680	43807342	chr7:43758680	BLVRA	protein_coding	chr7	43758680	43807342	chr7:43758680	ENSG00000106605
ACSL1	2103.75474600663	-0.584514617181609	0.0565210112098388	-10.3415456424081	4.57104677418738e-25	1.1661502162081e-21	ENSG00000151726	ACSL1	protein_coding	chr4	184755595	184826818	chr4:184755595	ACSL1	protein_coding	chr4	184755595	184826818	chr4:184755595	ENSG00000151726
DIS3L	1018.97329774271	-0.791518659814023	0.0775490666332818	-10.2066819650712	1.85086100933982e-24	4.04730420999495e-21	ENSG00000166938	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	ENSG00000166938
TMEM200B	483.518999821271	-0.809087072723154	0.08737845492868	-9.25957174893452	2.05253782985938e-20	3.9272745702072e-17	ENSG00000253304	TMEM200B	protein_coding	chr1	29119428	29123935	chr1:29119428	TMEM200B	protein_coding	chr1	29119429	29123903	chr1:29119429	ENSG00000253304
HSPA12A	856.428643688498	-0.557634293176967	0.0626480154203714	-8.90106876387405	5.53114766330906e-19	9.40725303136354e-16	ENSG00000165868	HSPA12A	protein_coding	chr10	116671192	116742574	chr10:116671192	HSPA12A	protein_coding	chr10	116671192	116850251	chr10:116671192	ENSG00000165868
RAB36	167.441100083101	-1.13796068972374	0.129634817580615	-8.77820257675826	1.66107884710494e-18	2.54261339126353e-15	ENSG00000100228	RAB36	protein_coding	chr22	23145326	23164350	chr22:23145326	RAB36	protein_coding	chr22	23145366	23165663	chr22:23145366	ENSG00000100228
FBXO6	205.057389419153	-1.39054394638803	0.164851421544819	-8.43513470103728	3.30821560745715e-17	4.60353239121332e-14	ENSG00000116663	FBXO6	protein_coding	chr1	11664124	11674354	chr1:11664124	FBXO6	protein_coding	chr1	11664200	11674354	chr1:11664200	ENSG00000116663
