Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	A1BG	273.18554492112	-0.285902037484199	0.111269979430917	-2.5694445073723	0.0101861704613172	0.302965708517304	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	A1BG-AS1	411.273429575735	-0.116069657282136	0.0658335940759477	-1.76307641883009	0.0778876018026126	0.597342826942161	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A2M	A2M	1862.28432761422	0.365975632984468	0.391507200738906	0.934786467001753	0.349898355208555	0.845544259760969	ENSG00000175899	protein_coding	chr12	9067664	9116229	chr12:9067664	A2M	protein_coding	chr12	9067664	9116229	chr12:9067664	ENSG00000175899
A4GALT	A4GALT	1569.48766452561	0.0195850730547	0.116267212591385	0.16844880528383	0.86623021553847	0.980921996133336	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	AAAS	1896.72542304002	0.00097549635454038	0.080316058329749	0.0121457199821154	0.990309355805259	0.998911306306975	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	AACS	2122.17435727074	-0.0739740918040633	0.0504085102177337	-1.46749212552684	0.142242229812446	0.691304815728542	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AADAT	AADAT	751.267373817581	-0.088132090225559	0.0728531906838765	-1.20972176233132	0.226385676305145	0.768427353365128	ENSG00000109576	protein_coding	chr4	170060222	170091699	chr4:170060222	AADAT	protein_coding	chr4	170060222	170091699	chr4:170060222	ENSG00000109576
AAED1	AAED1	1463.01059443976	0.0981781169498658	0.08360643836256	1.17428895277318	0.240279306690243	0.777988467095564	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	AAGAB	3049.92441293022	-0.0323897351605301	0.0410696059800482	-0.788654636138101	0.43031388844017	0.877396175142771	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	AAK1	1305.05299207645	0.12074663129144	0.0809522622701826	1.49157822036451	0.135809751330281	0.683509660892178	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	AAMDC	531.464339362975	-0.117969260507791	0.0815606130327441	-1.44639987515089	0.148065076862603	0.698425213958211	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	AAMP	4640.94341872122	-0.0255695775712789	0.0429755110203224	-0.594980186720466	0.551856715114682	0.914393817258332	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
AAR2	AAR2	2416.58803860398	-0.0642681621604207	0.0351343105635037	-1.8292136982241	0.067367601150684	0.576123547204919	ENSG00000131043	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARS	AARS	13066.5147643441	-0.0674044896812269	0.0922872762977261	-0.730376844840177	0.465159868063389	0.886068181959144	ENSG00000090861	protein_coding	chr16	70252295	70289543	chr16:70252295	AARS1	protein_coding	chr16	70251983	70289707	chr16:70251983	ENSG00000090861
AARS2	AARS2	937.496064890919	-0.104709116145127	0.0884121369820238	-1.18432966015081	0.236282592239045	0.776997006552147	ENSG00000124608	protein_coding	chr6	44299654	44313326	chr6:44299654	AARS2	protein_coding	chr6	44298731	44313347	chr6:44298731	ENSG00000124608
AARSD1	AARSD1	1342.65345542795	-0.108928330251356	0.0560465437887656	-1.94353340790999	0.0519517429391307	0.530858399571727	ENSG00000266967	protein_coding	chr17	42950526	42964498	chr17:42950526	AARSD1	protein_coding	chr17	42950526	42964498	chr17:42950526	ENSG00000266967
AASDH	AASDH	844.006349036439	-0.0230446553168272	0.0614735720285692	-0.374870933254332	0.707756457230892	0.957039513979895	ENSG00000157426	protein_coding	chr4	56338287	56387508	chr4:56338287	AASDH	protein_coding	chr4	56338287	56387508	chr4:56338287	ENSG00000157426
AASDHPPT	AASDHPPT	2909.13360259993	0.0581833137989768	0.0321737974641884	1.80840679014464	0.070543211909964	0.583557823778286	ENSG00000149313	protein_coding	chr11	106075501	106098710	chr11:106075501	AASDHPPT	protein_coding	chr11	106075501	106098699	chr11:106075501	ENSG00000149313
AASS	AASS	578.819294143495	-0.0432827171449911	0.0800300895306647	-0.54083054759556	0.588624385397703	0.923911014073002	ENSG00000008311	protein_coding	chr7	122075647	122144280	chr7:122075647	AASS	protein_coding	chr7	122064583	122144308	chr7:122064583	ENSG00000008311
AATF	AATF	2935.94556660207	-0.0165279207939267	0.0698353796518631	-0.236669734972734	0.812913015961237	0.973352433690219	ENSG00000275700	protein_coding	chr17	36948875	37056871	chr17:36948875	AATF	protein_coding	chr17	36948925	37056871	chr17:36948925	ENSG00000275700
ABALON	ABALON	128.035822647648	0.0186144301243386	0.101007005858359	0.184288505199743	0.853787131012778	0.97938295832833	ENSG00000281376	antisense	chr20	31721507	31723409	chr20:31721507	ABALON	lncRNA	chr20	31721507	31723409	chr20:31721507	ENSG00000281376
ABAT	ABAT	590.071631887601	-0.139217897601205	0.154796033062837	-0.899363471056731	0.368459089643609	0.854819163657667	ENSG00000183044	protein_coding	chr16	8674565	8784575	chr16:8674565	ABAT	protein_coding	chr16	8674596	8784575	chr16:8674596	ENSG00000183044
ABC7-42404400C24.1	ABC7-42404400C24.1	306.808840835652	-0.230616460731142	0.336769269345208	-0.684790691203913	0.493476010309002	0.894485789991348	ENSG00000277758	protein_coding	chr10	47750864	47763592	chr10:47750864	SYT15B	protein_coding	chr10	47744717	47763592	chr10:47744717	ENSG00000277758
ABCA1	ABCA1	1791.59130315782	0.424266604390789	0.255005064885908	1.66375755940617	0.0961608884394449	0.629339808320582	ENSG00000165029	protein_coding	chr9	104781002	104928237	chr9:104781002	ABCA1	protein_coding	chr9	104781006	104928155	chr9:104781006	ENSG00000165029
ABCA2	ABCA2	2120.21984617096	0.0540380908463989	0.133271401256594	0.405474020209008	0.685129111351862	0.952086744926436	ENSG00000107331	protein_coding	chr9	137007227	137028922	chr9:137007227	ABCA2	protein_coding	chr9	137007234	137028915	chr9:137007234	ENSG00000107331
ABCA5	ABCA5	427.063503057473	0.208551988259419	0.159177616597646	1.31018413717412	0.190133550690177	0.741901314428709	ENSG00000154265	protein_coding	chr17	69244311	69327244	chr17:69244311	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ENSG00000154265
ABCA8	ABCA8	470.627039072887	-0.382737288572129	0.376855347677826	-1.01560795390207	0.309816115707968	0.824753177268497	ENSG00000141338	protein_coding	chr17	68867292	68955392	chr17:68867292	ABCA8	protein_coding	chr17	68867289	68955392	chr17:68867289	ENSG00000141338
ABCB10	ABCB10	1807.142078167	0.10620156653149	0.0759213683046931	1.39883630791893	0.16186207573613	0.714569186880184	ENSG00000135776	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
ABCB4	ABCB4	280.088943130968	0.0320944470643977	0.315533649116585	0.101714816008543	0.91898304166794	0.989229206426578	ENSG00000005471	protein_coding	chr7	87401697	87480435	chr7:87401697	ABCB4	protein_coding	chr7	87401696	87480435	chr7:87401696	ENSG00000005471
ABCB6	ABCB6	864.640816644738	-0.0670041334408543	0.0880828174009129	-0.760694712294249	0.446839433844832	0.881498874402761	ENSG00000115657	protein_coding	chr2	219209768	219218990	chr2:219209768	ABCB6	protein_coding	chr2	219209772	219218994	chr2:219209772	ENSG00000115657
ABCB7	ABCB7	1002.63247706212	0.0441824598432099	0.0399705125724594	1.105376363716	0.268996541200593	0.796085239248085	ENSG00000131269	protein_coding	chrX	75053172	75156732	chrX:75053172	ABCB7	protein_coding	chrX	75051048	75156732	chrX:75051048	ENSG00000131269
ABCB8	ABCB8	1582.34466174207	-0.05310427776961	0.0727218806950317	-0.730237959498178	0.465244743345624	0.886068181959144	ENSG00000197150	protein_coding	chr7	151028422	151047782	chr7:151028422	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ENSG00000197150
