baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
3099.583943613	-1.6731159129031	0.0305299444258968	-54.8024552407601	0	0	ENSG00000162909	CAPN2	protein_coding	chr1	223701593	223776018	chr1:223701593	CAPN2	protein_coding	chr1	223701593	223776018	chr1:223701593	ENSG00000162909
5166.04835809983	-1.23404656231166	0.0323208878283112	-38.1810849029558	0	0	ENSG00000084207	GSTP1	protein_coding	chr11	67583595	67586660	chr11:67583595	GSTP1	protein_coding	chr11	67583742	67586656	chr11:67583742	ENSG00000084207
1002.20359029219	-2.41290226511097	0.0559941844394994	-43.0920155238275	0	0	ENSG00000170500	LONRF2	protein_coding	chr2	100273291	100322733	chr2:100273291	LONRF2	protein_coding	chr2	100271875	100322501	chr2:100271875	ENSG00000170500
3668.67044516527	-1.11153572811168	0.028341612221797	-39.2192130572171	0	0	ENSG00000123131	PRDX4	protein_coding	chrX	23664262	23686399	chrX:23664262	PRDX4	protein_coding	chrX	23664262	23686397	chrX:23664262	ENSG00000123131
10569.7745740454	-0.870437262531904	0.0195960340771236	-44.4190522993656	0	0	ENSG00000102054	RBBP7	protein_coding	chrX	16839283	16870414	chrX:16839283	RBBP7	protein_coding	chrX	16839283	16870362	chrX:16839283	ENSG00000102054
13982.6288192411	-0.916431949536265	0.0260255229088936	-35.2128160015988	1.27296457444058e-271	3.37816509954876e-268	ENSG00000173674	EIF1AX	protein_coding	chrX	20124518	20141844	chrX:20124518	EIF1AX	protein_coding	chrX	20124525	20141838	chrX:20124525	ENSG00000173674
3195.05418753393	-1.27262930135025	0.0384095009946993	-33.1331901845295	9.89100552629469e-241	2.14760705445475e-237	ENSG00000102172	SMS	protein_coding	chrX	21940573	21994835	chrX:21940573	SMS	protein_coding	chrX	21940709	21994837	chrX:21940709	ENSG00000102172
4672.55382785902	-0.967804699997687	0.0292348429496386	-33.1044945808286	2.56067466634207e-240	5.09659614424284e-237	ENSG00000131828	PDHA1	protein_coding	chrX	19343893	19361705	chrX:19343893	PDHA1	protein_coding	chrX	19343893	19361718	chrX:19343893	ENSG00000131828
1525.1637268939	-1.41513398395187	0.0435213405357783	-32.5158638619715	6.36349141826002e-232	1.16912022333633e-228	ENSG00000012174	MBTPS2	protein_coding	chrX	21839636	21885424	chrX:21839636	MBTPS2	protein_coding	chrX	21839617	21885423	chrX:21839617	ENSG00000012174
3082.98486401743	-1.12894100509434	0.0353169460689242	-31.9659860422561	3.23972675337464e-224	5.15850891850666e-221	ENSG00000047634	SCML1	protein_coding	chrX	17737449	17754988	chrX:17737449	SCML1	protein_coding	chrX	17737449	17754988	chrX:17737449	ENSG00000047634
1627.3526075649	-1.2548349797468	0.0409570403987382	-30.6378333866491	3.83827233575478e-206	5.39254685100983e-203	ENSG00000102098	SCML2	protein_coding	chrX	18239314	18354727	chrX:18239314	SCML2	protein_coding	chrX	18239313	18354688	chrX:18239313	ENSG00000102098
3683.65080043513	-0.806791450323221	0.0265939799027703	-30.3373715883412	3.68723202962e-202	4.892547210858e-199	ENSG00000123684	LPGAT1	protein_coding	chr1	211743457	211830772	chr1:211743457	LPGAT1	protein_coding	chr1	211743457	211830763	chr1:211743457	ENSG00000123684
2229.76581385685	-1.24522029982522	0.0419206206677538	-29.7042429236518	6.7684547118776e-194	8.50830380728867e-191	ENSG00000102931	ARL2BP	protein_coding	chr16	57245098	57253635	chr16:57245098	ARL2BP	protein_coding	chr16	57245259	57253635	chr16:57245259	ENSG00000102931
4964.09554172	-0.720648483079101	0.0244484689247553	-29.476221406626	5.80904195833248e-191	6.93715790664064e-188	ENSG00000147065	MSN	protein_coding	chrX	65588377	65741931	chrX:65588377	MSN	protein_coding	chrX	65588377	65741931	chrX:65588377	ENSG00000147065
11780.3531409313	-0.57108854872877	0.0195799894883403	-29.16694868855	5.09349843659142e-187	5.52968712088861e-184	ENSG00000173812	EIF1	protein_coding	chr17	41688885	41692668	chr17:41688885	EIF1	protein_coding	chr17	41688885	41692668	chr17:41688885	ENSG00000173812
1991.3657523963	-1.17678851042648	0.0434563913684151	-27.0797568175851	1.70514209265098e-161	1.50835606447689e-158	ENSG00000101911	PRPS2	protein_coding	chrX	12791355	12824222	chrX:12791355	PRPS2	protein_coding	chrX	12791355	12824222	chrX:12791355	ENSG00000101911
2056.284215689	1.07423248441082	0.0402712391843026	26.6749299542177	9.19812418071569e-157	7.84599992615049e-154	ENSG00000048740	CELF2	protein_coding	chr10	11005321	11336675	chr10:11005321	CELF2	protein_coding	chr10	10798397	11336675	chr10:10798397	ENSG00000048740
12830.4675433533	-0.513883820091107	0.0194033409591874	-26.4842957288645	1.47017326417736e-154	1.21081442212455e-151	ENSG00000105887	MTPN	protein_coding	chr7	135926761	135977353	chr7:135926761	MTPN	protein_coding	chr7	135926760	135977359	chr7:135926760	ENSG00000105887
3058.9440609511	-0.806634296327297	0.0306993638079952	-26.2752772784568	3.6765434637125e-152	2.83259884152611e-149	ENSG00000002586	CD99	protein_coding	chrX	2691179	2741309	chrX:2691179	CD99	protein_coding	chrX	2691187	2741309	chrX:2691187	ENSG00000002586
719.821897775225	-1.48964856063929	0.0578117156587522	-25.7672436056439	2.06598300460226e-146	1.54199806506001e-143	ENSG00000197603	C5orf42	protein_coding	chr5	37106228	37249428	chr5:37106228	CPLANE1	protein_coding	chr5	37106228	37249376	chr5:37106228	ENSG00000197603
3227.21613227694	-0.943705667544364	0.0368371764636167	-25.618295378215	9.54190728033213e-145	6.70290922010154e-142	ENSG00000116641	DOCK7	protein_coding	chr1	62454726	62688368	chr1:62454726	DOCK7	protein_coding	chr1	62454298	62688386	chr1:62454298	ENSG00000116641
