Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	A1BG	253.501343425238	-0.00846764085713976	0.125590915929852	-0.0674223990998623	0.946245437855811	0.987043591905035	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	A1BG-AS1	383.347667787126	-0.0729500514264731	0.0497424633074125	-1.46655486230418	0.142497186553316	0.515179059269943	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A2M	A2M	1603.52698473005	0.770386983528508	0.249824151253843	3.08371700518949	0.00204431956188878	0.0495283096094983	ENSG00000175899	protein_coding	chr12	9067664	9116229	chr12:9067664	A2M	protein_coding	chr12	9067664	9116229	chr12:9067664	ENSG00000175899
A4GALT	A4GALT	1536.475319553	0.0164338840039228	0.080762349033138	0.203484472661632	0.838756380832444	0.955559121273471	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	AAAS	2047.04072531847	0.0642024985880435	0.0538041446168211	1.1932630663544	0.232766362281878	0.632800277833466	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	AACS	2198.94609566295	-0.00307034469978363	0.0325440699588878	-0.094344213973923	0.924835728847386	0.980721918370445	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AADAT	AADAT	730.783456513231	-0.0522258157096285	0.0430500725565025	-1.21314117742968	0.225075849020664	0.626013897632397	ENSG00000109576	protein_coding	chr4	170060222	170091699	chr4:170060222	AADAT	protein_coding	chr4	170060222	170091699	chr4:170060222	ENSG00000109576
AAED1	AAED1	1538.54410835367	0.0188366522474394	0.0583293438886427	0.322936124284214	0.746743617575065	0.924664465345501	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	AAGAB	2941.41262585659	-0.0101422034412095	0.0245414519558673	-0.413268271960769	0.679410072949534	0.901692807389988	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	AAK1	1317.22063036215	0.00312859814993951	0.0604399151504324	0.0517637746868533	0.958716920446488	0.990231195086501	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	AAMDC	505.356674335959	0.036264547683638	0.0431129391152726	0.841152295061031	0.40026262166391	0.767622522869857	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	AAMP	4644.48397093662	0.0769412011668438	0.0271016117336501	2.83898986979108	0.00452565936443738	0.0842432269342067	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
AAR2	AAR2	2500.31055706303	0.0510200984625519	0.0235884723056873	2.16292508481995	0.0305469420603442	0.25402040562931	ENSG00000131043	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARS	AARS	13264.5768310248	-0.0519168601895249	0.0607736785671082	-0.85426555399632	0.392957868375461	0.763720385316873	ENSG00000090861	protein_coding	chr16	70252295	70289543	chr16:70252295	AARS1	protein_coding	chr16	70251983	70289707	chr16:70251983	ENSG00000090861
AARS2	AARS2	868.219935316007	-0.0481630283212336	0.0576080155723818	-0.836047342417462	0.403128270149989	0.769416047429178	ENSG00000124608	protein_coding	chr6	44299654	44313326	chr6:44299654	AARS2	protein_coding	chr6	44298731	44313347	chr6:44298731	ENSG00000124608
AARSD1	AARSD1	1264.18376567435	-0.0852134716127258	0.0352199742029078	-2.41946433923539	0.0155433846922311	0.17650929399758	ENSG00000266967	protein_coding	chr17	42950526	42964498	chr17:42950526	AARSD1	protein_coding	chr17	42950526	42964498	chr17:42950526	ENSG00000266967
AASDH	AASDH	814.188644621336	-0.0240481110112954	0.039261360126076	-0.612513446657786	0.540198104179498	0.845621656707154	ENSG00000157426	protein_coding	chr4	56338287	56387508	chr4:56338287	AASDH	protein_coding	chr4	56338287	56387508	chr4:56338287	ENSG00000157426
AASDHPPT	AASDHPPT	2973.24681729361	0.0211915252157884	0.023544922602989	0.900046501452429	0.368095504510181	0.749167449763017	ENSG00000149313	protein_coding	chr11	106075501	106098710	chr11:106075501	AASDHPPT	protein_coding	chr11	106075501	106098699	chr11:106075501	ENSG00000149313
AASS	AASS	540.391182909069	-0.147788675670415	0.0616142304217633	-2.39861270129917	0.0164573111907844	0.182763507249505	ENSG00000008311	protein_coding	chr7	122075647	122144280	chr7:122075647	AASS	protein_coding	chr7	122064583	122144308	chr7:122064583	ENSG00000008311
AATF	AATF	2947.24510182892	0.054543221966418	0.0392420922493827	1.389916256753	0.164554308443854	0.551601810048044	ENSG00000275700	protein_coding	chr17	36948875	37056871	chr17:36948875	AATF	protein_coding	chr17	36948925	37056871	chr17:36948925	ENSG00000275700
ABALON	ABALON	111.500168357619	-0.150568062932256	0.0700072119653286	-2.15075073989271	0.0314958790992695	0.258541031413432	ENSG00000281376	antisense	chr20	31721507	31723409	chr20:31721507	ABALON	lncRNA	chr20	31721507	31723409	chr20:31721507	ENSG00000281376
ABAT	ABAT	566.72271418933	-0.105686783510037	0.108260569325525	-0.976226008864331	0.328952477134738	0.720466806339905	ENSG00000183044	protein_coding	chr16	8674565	8784575	chr16:8674565	ABAT	protein_coding	chr16	8674596	8784575	chr16:8674596	ENSG00000183044
ABC7-42404400C24.1	ABC7-42404400C24.1	281.070106457941	-0.0601684417197505	0.204041336963687	-0.294883588860519	0.768082808995908	0.932284797125704	ENSG00000277758	protein_coding	chr10	47750864	47763592	chr10:47750864	SYT15B	protein_coding	chr10	47744717	47763592	chr10:47744717	ENSG00000277758
ABCA1	ABCA1	1957.06945416019	-0.0175470460328952	0.159135832830501	-0.110264581651983	0.912199545689328	0.977057150788882	ENSG00000165029	protein_coding	chr9	104781002	104928237	chr9:104781002	ABCA1	protein_coding	chr9	104781006	104928155	chr9:104781006	ENSG00000165029
ABCA2	ABCA2	2080.66676695366	0.133697199719647	0.0855320019482804	1.56312487343031	0.118023226188716	0.476384504897549	ENSG00000107331	protein_coding	chr9	137007227	137028922	chr9:137007227	ABCA2	protein_coding	chr9	137007234	137028915	chr9:137007234	ENSG00000107331
ABCA5	ABCA5	439.722045525465	0.019950792791369	0.111536761386413	0.178871903248567	0.858038284914864	0.962364129193094	ENSG00000154265	protein_coding	chr17	69244311	69327244	chr17:69244311	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ENSG00000154265
ABCA8	ABCA8	402.391100798996	0.0194163760164399	0.25379620550156	0.0765038073680757	0.93901828501316	0.985321184719514	ENSG00000141338	protein_coding	chr17	68867292	68955392	chr17:68867292	ABCA8	protein_coding	chr17	68867289	68955392	chr17:68867289	ENSG00000141338
ABCB10	ABCB10	2042.99879594394	0.196624504972781	0.0454259682637371	4.32846040465676	1.50155320856462e-05	0.00119919283343495	ENSG00000135776	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
ABCB4	ABCB4	281.271963878158	-0.158307550118938	0.186994771462694	-0.846588109820602	0.397224743641515	0.766065829987209	ENSG00000005471	protein_coding	chr7	87401697	87480435	chr7:87401697	ABCB4	protein_coding	chr7	87401696	87480435	chr7:87401696	ENSG00000005471
ABCB6	ABCB6	811.954467434803	-0.137034096703859	0.0553286911229321	-2.47672760592491	0.013259305318259	0.160319284321972	ENSG00000115657	protein_coding	chr2	219209768	219218990	chr2:219209768	ABCB6	protein_coding	chr2	219209772	219218994	chr2:219209772	ENSG00000115657
ABCB7	ABCB7	993.800900312535	0.0132793657407603	0.0272132108298379	0.487974970090636	0.625567570293419	0.881769587700291	ENSG00000131269	protein_coding	chrX	75053172	75156732	chrX:75053172	ABCB7	protein_coding	chrX	75051048	75156732	chrX:75051048	ENSG00000131269
ABCB8	ABCB8	1612.39472712887	0.0553125851114512	0.0652044114329952	0.848295136722322	0.39627362534832	0.76572621873578	ENSG00000197150	protein_coding	chr7	151028422	151047782	chr7:151028422	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ENSG00000197150
ABCB9	ABCB9	255.77782524209	0.0378859705913883	0.0690126703645774	0.548971230807992	0.583025193263168	0.863329899545224	ENSG00000150967	protein_coding	chr12	122920951	122981649	chr12:122920951	ABCB9	protein_coding	chr12	122920951	122981649	chr12:122920951	ENSG00000150967
