baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
100937.93385618	1.3244345307381	0.028726359072948	46.1052000142037	0	0	ENSG00000167996	FTH1	protein_coding	chr11	61959718	61967660	chr11:61959718	FTH1	protein_coding	chr11	61959718	61967634	chr11:61959718	ENSG00000167996
6003.39507507324	-1.34077109241008	0.0358071291697632	-37.4442498881557	7.45095515686613e-307	7.00613313400123e-303	ENSG00000149639	SOGA1	protein_coding	chr20	36777442	36863686	chr20:36777442	SOGA1	protein_coding	chr20	36777447	36863538	chr20:36777447	ENSG00000149639
1588.53231828508	-2.25200416046196	0.0605645861877086	-37.1835143640262	1.26042508893658e-302	7.90118474084714e-299	ENSG00000101160	CTSZ	protein_coding	chr20	58995185	59007247	chr20:58995185	CTSZ	protein_coding	chr20	58985686	59008238	chr20:58985686	ENSG00000101160
2604.1248984688	-1.77953634405167	0.048485873459752	-36.7021612084364	6.74577081624576e-295	2.53721931940635e-291	ENSG00000139645	ANKRD52	protein_coding	chr12	56237807	56258391	chr12:56237807	ANKRD52	protein_coding	chr12	56237807	56258384	chr12:56237807	ENSG00000139645
4370.01373197523	1.57563091030268	0.0453297402174667	34.7593192183251	1.0022658203124e-264	3.14143516946583e-261	ENSG00000106853	PTGR1	protein_coding	chr9	111549722	111599855	chr9:111549722	PTGR1	protein_coding	chr9	111549722	111599893	chr9:111549722	ENSG00000106853
8792.03020086523	-1.20314031049086	0.0351500574158097	-34.2286869195758	9.05355608945026e-257	2.43230251168859e-253	ENSG00000180776	ZDHHC20	protein_coding	chr13	21372573	21459370	chr13:21372573	ZDHHC20	protein_coding	chr13	21348784	21459370	chr13:21348784	ENSG00000180776
6303.43182228024	-1.19073342137444	0.035466323684281	-33.5736354287597	4.06983461120571e-247	9.56716371229182e-244	ENSG00000158715	SLC45A3	protein_coding	chr1	205657851	205680459	chr1:205657851	SLC45A3	protein_coding	chr1	205657851	205680509	chr1:205657851	ENSG00000158715
2262.15721567985	-1.68307398535351	0.0526419177997084	-31.9721251751741	2.66188641385892e-224	5.00594358990309e-221	ENSG00000085998	POMGNT1	protein_coding	chr1	46188682	46220305	chr1:46188682	POMGNT1	protein_coding	chr1	46188683	46220305	chr1:46188683	ENSG00000085998
5465.93313744584	-1.19916891456413	0.0379269213496881	-31.6178817549607	2.09677409516515e-219	3.58472123942508e-216	ENSG00000150768	DLAT	protein_coding	chr11	112024814	112064390	chr11:112024814	DLAT	protein_coding	chr11	112025408	112064404	chr11:112025408	ENSG00000150768
2666.37168593101	-1.40963496183118	0.0475338688716182	-29.6553803696979	2.89088220562601e-193	4.5304942299169e-190	ENSG00000153395	LPCAT1	protein_coding	chr5	1456480	1523977	chr5:1456480	LPCAT1	protein_coding	chr5	1456480	1523962	chr5:1456480	ENSG00000153395
4748.92702609233	1.26448694926739	0.0431017278837562	29.337268164229	3.47335981489995e-189	5.02461574453911e-186	ENSG00000164938	TP53INP1	protein_coding	chr8	94925972	94949411	chr8:94925972	TP53INP1	protein_coding	chr8	94925972	94949378	chr8:94925972	ENSG00000164938
5982.07011115186	-1.02942957892457	0.0355031170366779	-28.9954703937988	7.50428080767695e-185	1.00803932049409e-181	ENSG00000127418	FGFRL1	protein_coding	chr4	1009936	1026897	chr4:1009936	FGFRL1	protein_coding	chr4	1009936	1026898	chr4:1009936	ENSG00000127418
1519.1975616444	-1.65680251196974	0.058555869861527	-28.2943881781237	4.05145108816844e-176	5.07943927760637e-173	ENSG00000005889	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ENSG00000005889
5162.51137438828	-1.06856139776339	0.0393237653687112	-27.173425223761	1.33894943283844e-162	1.39890461299776e-159	ENSG00000147955	SIGMAR1	protein_coding	chr9	34634722	34637809	chr9:34634722	SIGMAR1	protein_coding	chr9	34634722	34637844	chr9:34634722	ENSG00000147955
10149.4066337408	-0.930316412641772	0.034748853748335	-26.7725784389751	6.74233780993852e-158	6.6734949923002e-155	ENSG00000148773	MKI67	protein_coding	chr10	128096659	128126385	chr10:128096659	MKI67	protein_coding	chr10	128096659	128126423	chr10:128096659	ENSG00000148773
7101.82629786528	-0.858699576568505	0.0326859428956377	-26.27121938352	4.09080233765195e-152	3.84658143809413e-149	ENSG00000101057	MYBL2	protein_coding	chr20	43667019	43716496	chr20:43667019	MYBL2	protein_coding	chr20	43667019	43716495	chr20:43667019	ENSG00000101057
3210.99926855191	-1.12206058283815	0.0428984028770978	-26.1562321108505	8.3710114494725e-151	7.49644006279904e-148	ENSG00000171241	SHCBP1	protein_coding	chr16	46580554	46621626	chr16:46580554	SHCBP1	protein_coding	chr16	46578591	46621379	chr16:46578591	ENSG00000171241
5563.00360259218	-0.954084417939188	0.0367757784341521	-25.9432827410438	2.16506354283418e-148	1.85073568120635e-145	ENSG00000133026	MYH10	protein_coding	chr17	8474205	8630761	chr17:8474205	MYH10	protein_coding	chr17	8474207	8631376	chr17:8474207	ENSG00000133026
871.808199882246	-1.95921901871962	0.0759744345347302	-25.7878723378191	1.21294336183764e-146	9.91765776639943e-144	ENSG00000128791	TWSG1	protein_coding	chr18	9334767	9402420	chr18:9334767	TWSG1	protein_coding	chr18	9334767	9402420	chr18:9334767	ENSG00000128791
1792.18714002097	-1.414877488455	0.0549262101543341	-25.7596051953961	2.51605788523038e-146	1.97154102456844e-143	ENSG00000123684	LPGAT1	protein_coding	chr1	211743457	211830772	chr1:211743457	LPGAT1	protein_coding	chr1	211743457	211830763	chr1:211743457	ENSG00000123684
2344.97683455785	-1.3526391269159	0.0532557596215487	-25.3989265485679	2.59167882111384e-142	1.94956447639468e-139	ENSG00000132128	LRRC41	protein_coding	chr1	46261196	46303608	chr1:46261196	LRRC41	protein_coding	chr1	46261196	46303616	chr1:46261196	ENSG00000132128
3174.88416868559	-1.27992749365309	0.0516285293705468	-24.7910895246856	1.11854807452067e-135	7.79089447756879e-133	ENSG00000015171	ZMYND11	protein_coding	chr10	134465	254637	chr10:134465	ZMYND11	protein_coding	chr10	134465	254637	chr10:134465	ENSG00000015171
7532.84304060587	-1.05668179885724	0.0427252690372314	-24.7320104160476	4.8418650402467e-135	3.25200406953141e-132	ENSG00000108106	UBE2S	protein_coding	chr19	55399745	55407777	chr19:55399745	UBE2S	protein_coding	chr19	55399745	55407788	chr19:55399745	ENSG00000108106
1790.65166173072	-1.32053040946314	0.0549524140723651	-24.0304349090865	1.3371882213295e-127	8.11198764203954e-125	ENSG00000132688	NES	protein_coding	chr1	156668763	156677397	chr1:156668763	NES	protein_coding	chr1	156668763	156677407	chr1:156668763	ENSG00000132688
3732.83110159625	-0.965466065026497	0.0404864253741455	-23.8466610994766	1.09672385034786e-125	6.44530897801307e-123	ENSG00000103855	CD276	protein_coding	chr15	73683966	73714518	chr15:73683966	CD276	protein_coding	chr15	73683966	73714514	chr15:73683966	ENSG00000103855
1570.50249542992	-1.34256762630218	0.0568108444954287	-23.6322420169306	1.79741428821479e-123	1.02430827588386e-120	ENSG00000039523	FAM65A	protein_coding	chr16	67518418	67546788	chr16:67518418	RIPOR1	protein_coding	chr16	67518418	67546788	chr16:67518418	ENSG00000039523
21371.7179194447	-0.665480018266125	0.0281899666599077	-23.6069813879058	3.26761725593182e-123	1.80737676808982e-120	ENSG00000155660	PDIA4	protein_coding	chr7	149003062	149028641	chr7:149003062	PDIA4	protein_coding	chr7	149003062	149028662	chr7:149003062	ENSG00000155660
1531.72516449444	-1.45006304827868	0.0617561602939767	-23.4804599472502	6.45991464285143e-122	3.47100442209897e-119	ENSG00000154359	LONRF1	protein_coding	chr8	12721894	12756073	chr8:12721894	LONRF1	protein_coding	chr8	12721906	12756073	chr8:12721906	ENSG00000154359
15176.8187843905	-0.776053027688826	0.0333254991665967	-23.2870638729004	5.99553048592061e-120	3.13199850883953e-117	ENSG00000147649	MTDH	protein_coding	chr8	97644179	97728770	chr8:97644179	MTDH	protein_coding	chr8	97644184	97730260	chr8:97644184	ENSG00000147649
7180.03188177361	-0.756645740112925	0.0325391751268473	-23.2533780331952	1.31488394798726e-119	6.68316419617525e-117	ENSG00000142208	AKT1	protein_coding	chr14	104769349	104795751	chr14:104769349	AKT1	protein_coding	chr14	104769349	104795751	chr14:104769349	ENSG00000142208
21937.8425834095	0.584821481067107	0.0255479898789092	22.8910956924208	5.69905895684813e-116	2.820434282697e-113	ENSG00000110092	CCND1	protein_coding	chr11	69641087	69654474	chr11:69641087	CCND1	protein_coding	chr11	69641156	69654474	chr11:69641156	ENSG00000110092
6122.20045834148	-0.819382759989896	0.0360861963541303	-22.7062656299079	3.88486660631786e-114	1.87330259995932e-111	ENSG00000085719	CPNE3	protein_coding	chr8	86484830	86561498	chr8:86484830	CPNE3	protein_coding	chr8	86514435	86561498	chr8:86514435	ENSG00000085719
5130.99119476891	-0.955949209105245	0.0421449387994801	-22.6824201514094	6.68116781910776e-114	3.14115105015351e-111	ENSG00000109685	WHSC1	protein_coding	chr4	1871424	1982207	chr4:1871424	NSD2	protein_coding	chr4	1871393	1982207	chr4:1871393	ENSG00000109685
1358.82058186788	-1.40598441174365	0.0621945432737154	-22.6062342086183	3.76308306102501e-113	1.72606195233259e-110	ENSG00000166938	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	ENSG00000166938
3470.79336414234	-0.954747613978761	0.042453301637968	-22.4893607126397	5.27541100490892e-112	2.36212807995993e-109	ENSG00000128829	EIF2AK4	protein_coding	chr15	39934146	40035591	chr15:39934146	EIF2AK4	protein_coding	chr15	39934115	40035591	chr15:39934115	ENSG00000128829
18628.0518203071	-0.592358097655597	0.0265848329463134	-22.2818062784833	5.54750754512641e-110	2.3710551566738e-107	ENSG00000106682	EIF4H	protein_coding	chr7	74174245	74197101	chr7:74174245	EIF4H	protein_coding	chr7	74174231	74197122	chr7:74174231	ENSG00000106682
1070.87450416306	-1.46839514936353	0.0667671969374502	-21.9927631639108	3.37780961560138e-107	1.38093668763042e-104	ENSG00000143126	CELSR2	protein_coding	chr1	109250019	109275750	chr1:109250019	CELSR2	protein_coding	chr1	109249539	109275751	chr1:109249539	ENSG00000143126
2066.72279024754	-1.18366222103421	0.0540585915449534	-21.8959130677668	2.84154786891858e-106	1.13698189835921e-103	ENSG00000145604	SKP2	protein_coding	chr5	36151989	36184319	chr5:36151989	SKP2	protein_coding	chr5	36151989	36196849	chr5:36151989	ENSG00000145604
27410.4606724316	-0.647445154085322	0.0295710509170022	-21.8945601866678	2.92715837183004e-106	1.14683625709658e-103	ENSG00000100345	MYH9	protein_coding	chr22	36281281	36388018	chr22:36281281	MYH9	protein_coding	chr22	36281280	36388010	chr22:36281280	ENSG00000100345
761.239058727341	-1.74785903991481	0.0803100080257839	-21.7639007003169	5.10185266461598e-105	1.95807022879119e-102	ENSG00000107140	TESK1	protein_coding	chr9	35605305	35610041	chr9:35605305	TESK1	protein_coding	chr9	35605262	35610041	chr9:35605262	ENSG00000107140
1907.89324436014	-1.21875849302083	0.0560299523840167	-21.7519102045231	6.62626036834305e-105	2.49226904974119e-102	ENSG00000166402	TUB	protein_coding	chr11	8019244	8106112	chr11:8019244	TUB	protein_coding	chr11	8019244	8106243	chr11:8019244	ENSG00000166402
22480.6342598898	0.609052209181488	0.0280399963460773	21.7208376800196	1.30379995947843e-104	4.80769843881399e-102	ENSG00000008513	ST3GAL1	protein_coding	chr8	133454848	133571940	chr8:133454848	ST3GAL1	protein_coding	chr8	133454848	133571940	chr8:133454848	ENSG00000008513
21522.8639696248	0.580851529306138	0.0267798522531832	21.6898705718996	2.55705397548334e-104	9.24768405056532e-102	ENSG00000198431	TXNRD1	protein_coding	chr12	104215779	104350305	chr12:104215779	TXNRD1	protein_coding	chr12	104215779	104350307	chr12:104215779	ENSG00000198431
3691.61610722726	-1.07252147996449	0.0500311634189837	-21.4370685523082	6.02940381996188e-102	2.09979570811487e-99	ENSG00000004897	CDC27	protein_coding	chr17	47117703	47189422	chr17:47117703	CDC27	protein_coding	chr17	47117703	47189422	chr17:47117703	ENSG00000004897
6766.11903701401	-0.712032232460986	0.0337252292422228	-21.1127469986044	6.07378509365295e-99	2.03970718698638e-96	ENSG00000111206	FOXM1	protein_coding	chr12	2857681	2877155	chr12:2857681	FOXM1	protein_coding	chr12	2857680	2877174	chr12:2857680	ENSG00000111206
2204.36314224782	-1.15396491523156	0.0548430670724578	-21.0412177296167	2.75218912670109e-98	8.92373598564493e-96	ENSG00000119900	OGFRL1	protein_coding	chr6	71288803	71308950	chr6:71288803	OGFRL1	protein_coding	chr6	71288811	71309059	chr6:71288811	ENSG00000119900
5642.84047771441	-0.747726327869097	0.0355349842034099	-21.0419772129052	2.70845934620223e-98	8.92373598564493e-96	ENSG00000186193	SAPCD2	protein_coding	chr9	137062124	137070588	chr9:137062124	SAPCD2	protein_coding	chr9	137062127	137070557	chr9:137062127	ENSG00000186193
1483.15272713659	-1.23639556932071	0.0595469561103935	-20.7633714648414	9.28206070484944e-96	2.86161366582621e-93	ENSG00000153933	DGKE	protein_coding	chr17	56834099	56869567	chr17:56834099	DGKE	protein_coding	chr17	56834107	56869567	chr17:56834107	ENSG00000153933
1778.63745736192	-1.096870436242	0.0529397911087259	-20.7192059747513	2.32487723418592e-95	7.05187762356459e-93	ENSG00000164930	FZD6	protein_coding	chr8	103298433	103332866	chr8:103298433	FZD6	protein_coding	chr8	103298433	103332866	chr8:103298433	ENSG00000164930
2179.0816052272	-1.06106496358829	0.0512908025881365	-20.6872365033671	4.51351094343099e-95	1.34731883812957e-92	ENSG00000148019	CEP78	protein_coding	chr9	78236062	78279690	chr9:78236062	CEP78	protein_coding	chr9	78236062	78279690	chr9:78236062	ENSG00000148019
15050.9981601294	0.570172238573186	0.027609948925167	20.6509704207914	9.56785677162774e-95	2.81145491323799e-92	ENSG00000079459	FDFT1	protein_coding	chr8	11795573	11839309	chr8:11795573	FDFT1	protein_coding	chr8	11795573	11839304	chr8:11795573	ENSG00000079459
1910.45006858854	-1.17201669239509	0.0568393878326843	-20.6197979444309	1.82318282640068e-94	5.27488865127556e-92	ENSG00000114978	MOB1A	protein_coding	chr2	74152528	74178898	chr2:74152528	MOB1A	protein_coding	chr2	74152528	74178898	chr2:74152528	ENSG00000114978
2984.2299055217	-0.906870130249791	0.0445175121480725	-20.3710873876643	3.01899656845609e-92	8.47391783080376e-90	ENSG00000103326	CAPN15	protein_coding	chr16	527717	554636	chr16:527717	CAPN15	protein_coding	chr16	527712	554636	chr16:527712	ENSG00000103326
1645.42334277024	-1.46205067955668	0.0723638974325192	-20.2041450423544	9.00149766069384e-91	2.48944360304424e-88	ENSG00000055332	EIF2AK2	protein_coding	chr2	37099210	37157065	chr2:37099210	EIF2AK2	protein_coding	chr2	37099210	37157522	chr2:37099210	ENSG00000055332
9749.54547924164	-0.649857765277766	0.032279165658418	-20.1324213938687	3.83775562003841e-90	1.03104045986346e-87	ENSG00000175216	CKAP5	protein_coding	chr11	46743048	46846308	chr11:46743048	CKAP5	protein_coding	chr11	46743048	46846308	chr11:46743048	ENSG00000175216
3774.20402519067	-0.82137201202039	0.0409613334010104	-20.0523748575072	1.92436094458088e-89	5.02632387830389e-87	ENSG00000120733	KDM3B	protein_coding	chr5	138352596	138437028	chr5:138352596	KDM3B	protein_coding	chr5	138352685	138437028	chr5:138352685	ENSG00000120733
881.804734256464	-1.45871090901634	0.0728965213310059	-20.0107067166165	4.44304914824605e-89	1.14460249701254e-86	ENSG00000180628	PCGF5	protein_coding	chr10	91163012	91284331	chr10:91163012	PCGF5	protein_coding	chr10	91163012	91284337	chr10:91163012	ENSG00000180628
4043.1813955311	0.756580319009976	0.038144561601282	19.8345527448544	1.49843167609272e-87	3.8080413649459e-85	ENSG00000170385	SLC30A1	protein_coding	chr1	211571568	211578742	chr1:211571568	SLC30A1	protein_coding	chr1	211571568	211579161	chr1:211571568	ENSG00000170385
3362.56775488061	-0.819289513294521	0.0413354318992966	-19.8205141605999	1.9807468857457e-87	4.96665679111115e-85	ENSG00000162337	LRP5	protein_coding	chr11	68312609	68449275	chr11:68312609	LRP5	protein_coding	chr11	68312591	68449275	chr11:68312591	ENSG00000162337
1391.32471481881	-1.19808964265278	0.0605049718646208	-19.801507309738	2.88918222719416e-87	7.14920539008072e-85	ENSG00000107263	RAPGEF1	protein_coding	chr9	131576770	131740074	chr9:131576770	RAPGEF1	protein_coding	chr9	131576770	131740076	chr9:131576770	ENSG00000107263
1358.42525733399	-1.20491238852683	0.0610007084760348	-19.7524326951087	7.6445238218595e-87	1.86705084407649e-84	ENSG00000133597	ADCK2	protein_coding	chr7	140673153	140696261	chr7:140673153	ADCK2	protein_coding	chr7	140672945	140696261	chr7:140672945	ENSG00000133597
1320.30790751349	-1.24594081211417	0.0630846190622705	-19.7503104660791	7.97262173080278e-87	1.92221954191637e-84	ENSG00000084112	SSH1	protein_coding	chr12	108778192	108857590	chr12:108778192	SSH1	protein_coding	chr12	108778191	108857590	chr12:108778191	ENSG00000084112
4752.46841847766	-0.768145358639052	0.0389323328370681	-19.7302679460217	1.18540395054447e-86	2.82186160682775e-84	ENSG00000204580	DDR1	protein_coding	chr6	30876421	30900156	chr6:30876421	DDR1	protein_coding	chr6	30876421	30900156	chr6:30876421	ENSG00000204580
1977.66942020281	-1.03424609783225	0.0525111103932755	-19.6957575280048	2.34463481071528e-86	5.51165028128893e-84	ENSG00000075218	GTSE1	protein_coding	chr22	46296741	46330810	chr22:46296741	GTSE1	protein_coding	chr22	46296870	46330810	chr22:46296870	ENSG00000075218
5948.86569576186	0.656627847793985	0.0335100017745518	19.5949809913959	1.70649300703637e-85	3.9620132704106e-83	ENSG00000112972	HMGCS1	protein_coding	chr5	43289395	43313512	chr5:43289395	HMGCS1	protein_coding	chr5	43287470	43313512	chr5:43287470	ENSG00000112972
2217.32165510465	-0.955585392669949	0.0488716501305386	-19.5529594379877	3.89270688159673e-85	8.92759092869611e-83	ENSG00000146729	GBAS	protein_coding	chr7	55951793	56000181	chr7:55951793	NIPSNAP2	protein_coding	chr7	55951793	56000181	chr7:55951793	ENSG00000146729
7039.34822932973	-0.730864636866266	0.0376361845636911	-19.4192011049748	5.31096702304001e-84	1.20334994982278e-81	ENSG00000077097	TOP2B	protein_coding	chr3	25597905	25664907	chr3:25597905	TOP2B	protein_coding	chr3	25597978	25664909	chr3:25597978	ENSG00000077097
4123.04263224749	-0.732322527743015	0.0378656495140786	-19.3400228740493	2.473654003076e-83	5.53804014069609e-81	ENSG00000101447	FAM83D	protein_coding	chr20	38926312	38953106	chr20:38926312	FAM83D	protein_coding	chr20	38926312	38953106	chr20:38926312	ENSG00000101447
2193.5677491882	-0.939779517508553	0.0487174815028022	-19.2903961477257	6.46758478400307e-83	1.43093411115249e-80	ENSG00000148337	CIZ1	protein_coding	chr9	128166064	128204383	chr9:128166064	CIZ1	protein_coding	chr9	128161251	128204383	chr9:128161251	ENSG00000148337
8649.09891637973	-0.711222070815756	0.0371453218206223	-19.1470159889933	1.02494023743604e-81	2.19034387559342e-79	ENSG00000113368	LMNB1	protein_coding	chr5	126776623	126837020	chr5:126776623	LMNB1	protein_coding	chr5	126776623	126837020	chr5:126776623	ENSG00000113368
4525.95983243497	-0.731150860567657	0.0383122762515571	-19.083983832413	3.43083997941459e-81	7.24948052279446e-79	ENSG00000013810	TACC3	protein_coding	chr4	1721490	1745176	chr4:1721490	TACC3	protein_coding	chr4	1712858	1745171	chr4:1712858	ENSG00000013810
1627.96607192732	-1.05974791397125	0.0556066350339157	-19.0579399980755	5.64541841074936e-81	1.17964154036169e-78	ENSG00000162430	SEPN1	protein_coding	chr1	25800176	25818224	chr1:25800176	SELENON	protein_coding	chr1	25800193	25818221	chr1:25800193	ENSG00000162430
3534.86325138836	-0.839058204249634	0.0441142048338354	-19.0201366523574	1.16180326160534e-80	2.37487740627717e-78	ENSG00000055130	CUL1	protein_coding	chr7	148697914	148801036	chr7:148697914	CUL1	protein_coding	chr7	148697914	148801110	chr7:148697914	ENSG00000055130
2630.68629822381	-1.03187188795619	0.0542833468308769	-19.0089953585775	1.436777756743e-80	2.90538091325901e-78	ENSG00000159593	NAE1	protein_coding	chr16	66802875	66873256	chr16:66802875	NAE1	protein_coding	chr16	66802875	66873256	chr16:66802875	ENSG00000159593
806.403032381903	-1.52317312481947	0.0803194059374197	-18.9639490860557	3.38729714808589e-80	6.77675640073438e-78	ENSG00000107829	FBXW4	protein_coding	chr10	101610664	101695295	chr10:101610664	FBXW4	protein_coding	chr10	101610664	101695295	chr10:101610664	ENSG00000107829
15348.3345841579	-0.520968276681712	0.0274778268115604	-18.9595880436415	3.68015219374721e-80	7.28515180585369e-78	ENSG00000188229	TUBB4B	protein_coding	chr9	137241213	137243707	chr9:137241213	TUBB4B	protein_coding	chr9	137241287	137243707	chr9:137241287	ENSG00000188229
1761.11708685704	-1.0375919640279	0.0554344377435151	-18.7174616765961	3.56751391308263e-78	6.98861110931582e-76	ENSG00000162378	ZYG11B	protein_coding	chr1	52726467	52827342	chr1:52726467	ZYG11B	protein_coding	chr1	52726453	52827336	chr1:52726453	ENSG00000162378
1713.42473364223	-1.04797543382902	0.0560435556770566	-18.6993030896868	5.01559421269911e-78	9.72404791381644e-76	ENSG00000147853	AK3	protein_coding	chr9	4709559	4742043	chr9:4709559	AK3	protein_coding	chr9	4709556	4742043	chr9:4709556	ENSG00000147853
2615.82111373912	-0.958494856682164	0.0513175813381489	-18.6777091142764	7.51769809849482e-78	1.44263092286014e-75	ENSG00000050748	MAPK9	protein_coding	chr5	180233143	180292099	chr5:180233143	MAPK9	protein_coding	chr5	180233143	180292099	chr5:180233143	ENSG00000050748
1563.41199148706	-1.09927118649249	0.0590983428899773	-18.600710827696	3.17075480865584e-77	6.02315302339209e-75	ENSG00000140534	TICRR	protein_coding	chr15	89575482	89631056	chr15:89575482	TICRR	protein_coding	chr15	89575469	89631056	chr15:89575469	ENSG00000140534
4716.57882379608	-0.740216405715745	0.0400194544275001	-18.4964142141601	2.20676473235147e-76	4.15004175566018e-74	ENSG00000058063	ATP11B	protein_coding	chr3	182793500	182921635	chr3:182793500	ATP11B	protein_coding	chr3	182793503	182921629	chr3:182793503	ENSG00000058063
