Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84.x	gene_type.84.x	chr.x	start.x	stop.x	loc.84.x	gene_name.107.x	gene_type.107.x	chr.107.x	start.107.x	stop.107.x	loc.107.x	gene_id.107.x	gene_id.84.y	gene_type.84.y	chr.y	start.y	stop.y	loc.84.y	gene_name.107.y	gene_type.107.y	chr.107.y	start.107.y	stop.107.y	loc.107.y	gene_id.107.y
AASS	188.135831490105	1.35837429645864	0.330491934125555	4.11015869434981	3.95387293869568e-05	0.00126070809967654	ENSG00000008311	protein_coding	chr7	122075647	122144280	chr7:122075647	AASS	protein_coding	chr7	122064583	122144308	chr7:122064583	ENSG00000008311	ENSG00000008311	protein_coding	chr7	122075647	122144280	chr7:122075647	AASS	protein_coding	chr7	122064583	122144308	chr7:122064583	ENSG00000008311
ABCC1	3722.5737778929	1.62351764443176	0.214165999584514	7.58065074559647	3.43826012870189e-14	4.56230670923905e-12	ENSG00000103222	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222	ENSG00000103222	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222
ABCC4	5424.68943399213	1.91355755804535	0.205590962506485	9.30759569737892	1.30758674583079e-20	2.96787781126067e-18	ENSG00000125257	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257	ENSG00000125257	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257
ABCC5	629.502742191971	-0.683546912156994	0.223638886766907	-3.05647609876291	0.0022395533494995	0.0348352527311689	ENSG00000114770	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770	ENSG00000114770	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770
ABHD2	33985.7054265972	0.860132138314236	0.226182495786537	3.80282362400845	0.000143056206844456	0.00360652775472782	ENSG00000140526	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526	ENSG00000140526	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526
ABHD3	400.534850798703	0.893604301974849	0.250685083920667	3.56464887339546	0.000364343607567279	0.00802672698663546	ENSG00000158201	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201	ENSG00000158201	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201
ABTB2	453.260178130491	-0.765622978374157	0.248778427416493	-3.07752961671546	0.00208724096381279	0.0330017475946568	ENSG00000166016	protein_coding	chr11	34150988	34358008	chr11:34150988	ABTB2	protein_coding	chr11	34150987	34358010	chr11:34150987	ENSG00000166016	ENSG00000166016	protein_coding	chr11	34150988	34358008	chr11:34150988	ABTB2	protein_coding	chr11	34150987	34358010	chr11:34150987	ENSG00000166016
AC004381.6	937.029052336985	1.17539805789316	0.209866410702077	5.60069643332175	2.13492325735075e-08	1.3247275607662e-06	ENSG00000005189	protein_coding	chr16	20806429	20849668	chr16:20806429	REXO5	protein_coding	chr16	20806429	20849665	chr16:20806429	ENSG00000005189	ENSG00000005189	protein_coding	chr16	20806429	20849668	chr16:20806429	REXO5	protein_coding	chr16	20806429	20849665	chr16:20806429	ENSG00000005189
AC013461.1	683.642795313831	-0.831435666638745	0.250202908985615	-3.32304556333734	0.000890403695340301	0.0167314419876037	ENSG00000091436	protein_coding	chr2	173075435	173268010	chr2:173075435	MAP3K20	protein_coding	chr2	173075435	173268015	chr2:173075435	ENSG00000091436	ENSG00000091436	protein_coding	chr2	173075435	173268010	chr2:173075435	MAP3K20	protein_coding	chr2	173075435	173268015	chr2:173075435	ENSG00000091436
ACAA1	3480.89389809308	0.757066776959798	0.198315456464619	3.81748750428268	0.000134817613115813	0.00345045078078305	ENSG00000060971	protein_coding	chr3	38103129	38137242	chr3:38103129	ACAA1	protein_coding	chr3	38103129	38137242	chr3:38103129	ENSG00000060971	ENSG00000060971	protein_coding	chr3	38103129	38137242	chr3:38103129	ACAA1	protein_coding	chr3	38103129	38137242	chr3:38103129	ENSG00000060971
ACACA	9678.64032581815	0.594326294391119	0.197554612974005	3.00841516907186	0.00262614107135422	0.0386856818794707	ENSG00000278540	protein_coding	chr17	37084988	37406818	chr17:37084988	ACACA	protein_coding	chr17	37084992	37406836	chr17:37084992	ENSG00000278540	ENSG00000278540	protein_coding	chr17	37084988	37406818	chr17:37084988	ACACA	protein_coding	chr17	37084992	37406836	chr17:37084992	ENSG00000278540
ACAD8	2076.786015656	0.831846712341978	0.211038217434145	3.94168754103297	8.09103353327632e-05	0.00224029419661343	ENSG00000151498	protein_coding	chr11	134253495	134265855	chr11:134253495	ACAD8	protein_coding	chr11	134253548	134265855	chr11:134253548	ENSG00000151498	ENSG00000151498	protein_coding	chr11	134253495	134265855	chr11:134253495	ACAD8	protein_coding	chr11	134253548	134265855	chr11:134253548	ENSG00000151498
ACKR3	3248.216582971	-2.15264367830379	0.188886799176771	-11.3964749664121	4.35393459418519e-30	2.20898152204984e-27	ENSG00000144476	protein_coding	chr2	236567787	236582358	chr2:236567787	ACKR3	protein_coding	chr2	236567787	236582354	chr2:236567787	ENSG00000144476	ENSG00000144476	protein_coding	chr2	236567787	236582358	chr2:236567787	ACKR3	protein_coding	chr2	236567787	236582354	chr2:236567787	ENSG00000144476
ACOT9	793.249744558062	0.70639619218711	0.222596195515019	3.17344234277108	0.00150642819037941	0.0258052495372838	ENSG00000123130	protein_coding	chrX	23702253	23766475	chrX:23702253	ACOT9	protein_coding	chrX	23701055	23766475	chrX:23701055	ENSG00000123130	ENSG00000123130	protein_coding	chrX	23702253	23766475	chrX:23702253	ACOT9	protein_coding	chrX	23701055	23766475	chrX:23701055	ENSG00000123130
ACOX3	644.03684115141	0.753504286494064	0.220868826036565	3.41154657275772	0.000645954654662846	0.0128817546739123	ENSG00000087008	protein_coding	chr4	8366282	8440723	chr4:8366282	ACOX3	protein_coding	chr4	8366282	8440723	chr4:8366282	ENSG00000087008	ENSG00000087008	protein_coding	chr4	8366282	8440723	chr4:8366282	ACOX3	protein_coding	chr4	8366282	8440723	chr4:8366282	ENSG00000087008
ACPP	549.710391682549	-1.93856827381064	0.2420911078965	-8.00759800991709	1.16970517335194e-15	1.81778506669558e-13	ENSG00000014257	protein_coding	chr3	132317367	132368298	chr3:132317367	ACP3	protein_coding	chr3	132317369	132368298	chr3:132317369	ENSG00000014257	ENSG00000014257	protein_coding	chr3	132317367	132368298	chr3:132317367	ACP3	protein_coding	chr3	132317369	132368298	chr3:132317369	ENSG00000014257
ACSL3	32199.4579136756	2.70751021256713	0.182058327892016	14.8716636251489	5.03465345751715e-50	9.6497524602412e-47	ENSG00000123983	protein_coding	chr2	222860934	222944639	chr2:222860934	ACSL3	protein_coding	chr2	222860942	222944639	chr2:222860942	ENSG00000123983	ENSG00000123983	protein_coding	chr2	222860934	222944639	chr2:222860934	ACSL3	protein_coding	chr2	222860942	222944639	chr2:222860942	ENSG00000123983
ACTA2	1325.86107702522	0.932101180721414	0.203644158822312	4.57710737254542	4.71449510683325e-06	0.000196912931217612	ENSG00000107796	protein_coding	chr10	88935074	88991390	chr10:88935074	ACTA2	protein_coding	chr10	88935074	88991339	chr10:88935074	ENSG00000107796	ENSG00000107796	protein_coding	chr10	88935074	88991390	chr10:88935074	ACTA2	protein_coding	chr10	88935074	88991339	chr10:88935074	ENSG00000107796
ACVR2A	997.158195522024	1.06004142742775	0.208810573060038	5.07656969612821	3.84309868770678e-07	1.98483390308209e-05	ENSG00000121989	protein_coding	chr2	147844517	147930826	chr2:147844517	ACVR2A	protein_coding	chr2	147844517	147930826	chr2:147844517	ENSG00000121989	ENSG00000121989	protein_coding	chr2	147844517	147930826	chr2:147844517	ACVR2A	protein_coding	chr2	147844517	147930826	chr2:147844517	ENSG00000121989
ADAM23	162.48247427724	-1.10275872941265	0.344032186304838	-3.20539406866871	0.00134877683192714	0.0235967549196178	ENSG00000114948	protein_coding	chr2	206443539	206621130	chr2:206443539	ADAM23	protein_coding	chr2	206443532	206621127	chr2:206443532	ENSG00000114948	ENSG00000114948	protein_coding	chr2	206443539	206621130	chr2:206443539	ADAM23	protein_coding	chr2	206443532	206621127	chr2:206443532	ENSG00000114948
