baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
FTH1	100937.93385618	1.3244345307381	0.028726359072948	46.1052000142037	0	0	ENSG00000167996	FTH1	protein_coding	chr11	61959718	61967660	chr11:61959718	FTH1	protein_coding	chr11	61959718	61967634	chr11:61959718	ENSG00000167996
SOGA1	6003.39507507324	-1.34077109241008	0.0358071291697632	-37.4442498881557	7.45095515686613e-307	7.00613313400123e-303	ENSG00000149639	SOGA1	protein_coding	chr20	36777442	36863686	chr20:36777442	SOGA1	protein_coding	chr20	36777447	36863538	chr20:36777447	ENSG00000149639
CTSZ	1588.53231828508	-2.25200416046196	0.0605645861877086	-37.1835143640262	1.26042508893658e-302	7.90118474084714e-299	ENSG00000101160	CTSZ	protein_coding	chr20	58995185	59007247	chr20:58995185	CTSZ	protein_coding	chr20	58985686	59008238	chr20:58985686	ENSG00000101160
MALAT1	135102.535668831	1.27165089425538	0.034628916287914	36.7222261211567	3.22761367176052e-295	1.51746256777821e-291	ENSG00000251562	MALAT1	lincRNA	chr11	65497762	65506516	chr11:65497762	MALAT1	lncRNA	chr11	65497688	65506516	chr11:65497688	ENSG00000251562
ANKRD52	2604.1248984688	-1.77953634405167	0.048485873459752	-36.7021612084364	6.74577081624576e-295	2.53721931940635e-291	ENSG00000139645	ANKRD52	protein_coding	chr12	56237807	56258391	chr12:56237807	ANKRD52	protein_coding	chr12	56237807	56258384	chr12:56237807	ENSG00000139645
PTGR1	4370.01373197523	1.57563091030268	0.0453297402174667	34.7593192183251	1.0022658203124e-264	3.14143516946583e-261	ENSG00000106853	PTGR1	protein_coding	chr9	111549722	111599855	chr9:111549722	PTGR1	protein_coding	chr9	111549722	111599893	chr9:111549722	ENSG00000106853
ZDHHC20	8792.03020086523	-1.20314031049086	0.0351500574158097	-34.2286869195758	9.05355608945026e-257	2.43230251168859e-253	ENSG00000180776	ZDHHC20	protein_coding	chr13	21372573	21459370	chr13:21372573	ZDHHC20	protein_coding	chr13	21348784	21459370	chr13:21348784	ENSG00000180776
SLC45A3	6303.43182228024	-1.19073342137444	0.035466323684281	-33.5736354287597	4.06983461120571e-247	9.56716371229182e-244	ENSG00000158715	SLC45A3	protein_coding	chr1	205657851	205680459	chr1:205657851	SLC45A3	protein_coding	chr1	205657851	205680509	chr1:205657851	ENSG00000158715
POMGNT1	2262.15721567985	-1.68307398535351	0.0526419177997084	-31.9721251751741	2.66188641385892e-224	5.00594358990309e-221	ENSG00000085998	POMGNT1	protein_coding	chr1	46188682	46220305	chr1:46188682	POMGNT1	protein_coding	chr1	46188683	46220305	chr1:46188683	ENSG00000085998
DLAT	5465.93313744584	-1.19916891456413	0.0379269213496881	-31.6178817549607	2.09677409516515e-219	3.58472123942508e-216	ENSG00000150768	DLAT	protein_coding	chr11	112024814	112064390	chr11:112024814	DLAT	protein_coding	chr11	112025408	112064404	chr11:112025408	ENSG00000150768
LPCAT1	2666.37168593101	-1.40963496183118	0.0475338688716182	-29.6553803696979	2.89088220562601e-193	4.5304942299169e-190	ENSG00000153395	LPCAT1	protein_coding	chr5	1456480	1523977	chr5:1456480	LPCAT1	protein_coding	chr5	1456480	1523962	chr5:1456480	ENSG00000153395
TP53INP1	4748.92702609233	1.26448694926739	0.0431017278837562	29.337268164229	3.47335981489995e-189	5.02461574453911e-186	ENSG00000164938	TP53INP1	protein_coding	chr8	94925972	94949411	chr8:94925972	TP53INP1	protein_coding	chr8	94925972	94949378	chr8:94925972	ENSG00000164938
FGFRL1	5982.07011115186	-1.02942957892457	0.0355031170366779	-28.9954703937988	7.50428080767695e-185	1.00803932049409e-181	ENSG00000127418	FGFRL1	protein_coding	chr4	1009936	1026897	chr4:1009936	FGFRL1	protein_coding	chr4	1009936	1026898	chr4:1009936	ENSG00000127418
ZFX	1519.1975616444	-1.65680251196974	0.058555869861527	-28.2943881781237	4.05145108816844e-176	5.07943927760637e-173	ENSG00000005889	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ENSG00000005889
TMPO	8061.91776923439	-0.973291385502923	0.0344084011511101	-28.2864461277511	5.07354134603032e-176	5.96331365959038e-173	ENSG00000120802	TMPO	protein_coding	chr12	98515512	98550379	chr12:98515512	TMPO	protein_coding	chr12	98515579	98550351	chr12:98515579	ENSG00000120802
NQO1	14292.6910092625	0.962859407945397	0.0345914205814937	27.8352086083601	1.62688490554353e-170	1.7997175019795e-167	ENSG00000181019	NQO1	protein_coding	chr16	69706996	69726951	chr16:69706996	NQO1	protein_coding	chr16	69706996	69726668	chr16:69706996	ENSG00000181019
SIGMAR1	5162.51137438828	-1.06856139776339	0.0393237653687112	-27.173425223761	1.33894943283844e-162	1.39890461299776e-159	ENSG00000147955	SIGMAR1	protein_coding	chr9	34634722	34637809	chr9:34634722	SIGMAR1	protein_coding	chr9	34634722	34637844	chr9:34634722	ENSG00000147955
MKI67	10149.4066337408	-0.930316412641772	0.034748853748335	-26.7725784389751	6.74233780993852e-158	6.6734949923002e-155	ENSG00000148773	MKI67	protein_coding	chr10	128096659	128126385	chr10:128096659	MKI67	protein_coding	chr10	128096659	128126423	chr10:128096659	ENSG00000148773
MYBL2	7101.82629786528	-0.858699576568505	0.0326859428956377	-26.27121938352	4.09080233765195e-152	3.84658143809413e-149	ENSG00000101057	MYBL2	protein_coding	chr20	43667019	43716496	chr20:43667019	MYBL2	protein_coding	chr20	43667019	43716495	chr20:43667019	ENSG00000101057
SHCBP1	3210.99926855191	-1.12206058283815	0.0428984028770978	-26.1562321108505	8.3710114494725e-151	7.49644006279904e-148	ENSG00000171241	SHCBP1	protein_coding	chr16	46580554	46621626	chr16:46580554	SHCBP1	protein_coding	chr16	46578591	46621379	chr16:46578591	ENSG00000171241
MYH10	5563.00360259218	-0.954084417939188	0.0367757784341521	-25.9432827410438	2.16506354283418e-148	1.85073568120635e-145	ENSG00000133026	MYH10	protein_coding	chr17	8474205	8630761	chr17:8474205	MYH10	protein_coding	chr17	8474207	8631376	chr17:8474207	ENSG00000133026
TWSG1	871.808199882246	-1.95921901871962	0.0759744345347302	-25.7878723378191	1.21294336183764e-146	9.91765776639943e-144	ENSG00000128791	TWSG1	protein_coding	chr18	9334767	9402420	chr18:9334767	TWSG1	protein_coding	chr18	9334767	9402420	chr18:9334767	ENSG00000128791
LPGAT1	1792.18714002097	-1.414877488455	0.0549262101543341	-25.7596051953961	2.51605788523038e-146	1.97154102456844e-143	ENSG00000123684	LPGAT1	protein_coding	chr1	211743457	211830772	chr1:211743457	LPGAT1	protein_coding	chr1	211743457	211830763	chr1:211743457	ENSG00000123684
LRRC41	2344.97683455785	-1.3526391269159	0.0532557596215487	-25.3989265485679	2.59167882111384e-142	1.94956447639468e-139	ENSG00000132128	LRRC41	protein_coding	chr1	46261196	46303608	chr1:46261196	LRRC41	protein_coding	chr1	46261196	46303616	chr1:46261196	ENSG00000132128
H2AFX	6641.48143067939	-0.921440339338462	0.0371463189710917	-24.8056971689591	7.78176604861203e-136	5.62861124269992e-133	ENSG00000188486	H2AFX	protein_coding	chr11	119093854	119095467	chr11:119093854	H2AX	protein_coding	chr11	119093874	119095465	chr11:119093874	ENSG00000188486
ZMYND11	3174.88416868559	-1.27992749365309	0.0516285293705468	-24.7910895246856	1.11854807452067e-135	7.79089447756879e-133	ENSG00000015171	ZMYND11	protein_coding	chr10	134465	254637	chr10:134465	ZMYND11	protein_coding	chr10	134465	254637	chr10:134465	ENSG00000015171
UBE2S	7532.84304060587	-1.05668179885724	0.0427252690372314	-24.7320104160476	4.8418650402467e-135	3.25200406953141e-132	ENSG00000108106	UBE2S	protein_coding	chr19	55399745	55407777	chr19:55399745	UBE2S	protein_coding	chr19	55399745	55407788	chr19:55399745	ENSG00000108106
DEPDC1	5840.39244140487	-0.965222844160027	0.0397381888613651	-24.2895529921458	2.52778714719849e-130	1.6392263824212e-127	ENSG00000024526	DEPDC1	protein_coding	chr1	68474152	68497221	chr1:68474152	DEPDC1	protein_coding	chr1	68474152	68497221	chr1:68474152	ENSG00000024526
HMOX1	5348.84862447844	3.16208547632291	0.131017441387302	24.1348437493558	1.07723017448372e-128	6.75279688711363e-126	ENSG00000100292	HMOX1	protein_coding	chr22	35380361	35394214	chr22:35380361	HMOX1	protein_coding	chr22	35380361	35394214	chr22:35380361	ENSG00000100292
NES	1790.65166173072	-1.32053040946314	0.0549524140723651	-24.0304349090865	1.3371882213295e-127	8.11198764203954e-125	ENSG00000132688	NES	protein_coding	chr1	156668763	156677397	chr1:156668763	NES	protein_coding	chr1	156668763	156677407	chr1:156668763	ENSG00000132688
