Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	355.594045072295	0.133279872072009	0.0850053367403326	1.5679000540771	0.116904459180122	0.44857442001443	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	258.856850005347	0.0549859696849378	0.0455116571488768	1.20817331491729	0.226980603869428	0.592720340292646	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A4GALT	1658.8827475611	-0.00449580335665713	0.1174107624155	-0.0382912372270196	0.969455477343991	0.99204183706766	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	2324.58110836349	0.039268919862631	0.0278705162704489	1.40897712412553	0.158841932490085	0.508762581302158	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	2815.16068985997	-0.0481916091214513	0.0363469145832507	-1.32587895489921	0.184879794886016	0.541722991033344	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AAED1	417.668601926471	-0.514434850144727	0.106341040160186	-4.83759468000136	1.31419788786731e-06	0.000240239075868026	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	3307.89109038879	-0.0221194200442755	0.036893257477515	-0.599551830243139	0.548804958030385	0.829019966279838	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	752.125306996441	-0.00604023113096937	0.0466716778812359	-0.129419626745363	0.897025618383906	0.972030515633874	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	209.059179132761	-0.00161888307117722	0.047447314971475	-0.0341195929032125	0.97278178470297	0.992669769741402	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	5265.54637460866	0.056682341774566	0.0202066090845211	2.80513873146516	0.00502949271351498	0.0886324316750997	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
AAR2	2357.83775104957	0.00573885342589668	0.0270686134006193	0.212011355770643	0.832098175077986	0.951190758968626	ENSG00000131043	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARS	18657.056690886	-0.0468187811556411	0.0313468282778733	-1.49357315325866	0.135287220779636	0.476214457260194	ENSG00000090861	protein_coding	chr16	70252295	70289543	chr16:70252295	AARS1	protein_coding	chr16	70251983	70289707	chr16:70251983	ENSG00000090861
AARS2	1712.80538028196	0.0357166840643709	0.027966444411694	1.27712638541338	0.201557630949738	0.560655056171592	ENSG00000124608	protein_coding	chr6	44299654	44313326	chr6:44299654	AARS2	protein_coding	chr6	44298731	44313347	chr6:44298731	ENSG00000124608
