Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	265.12569198663	-0.189258976049549	0.159714740202876	-1.184981272293	0.236024851580832	0.732973098412581	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	391.450461460325	-0.0798122432748664	0.0718281103862534	-1.11115610372706	0.266501162145528	0.758274256366798	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A2M	1023.0237686846	0.260695825983934	0.339599597548512	0.767656463275678	0.442691307856326	0.858079116939025	ENSG00000175899	protein_coding	chr12	9067664	9116229	chr12:9067664	A2M	protein_coding	chr12	9067664	9116229	chr12:9067664	ENSG00000175899
A4GALT	1540.85217209607	0.129679414154343	0.101804286330662	1.27381094478814	0.202730425388209	0.702213111140898	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	1942.86410729078	0.129892427401059	0.0753153241817447	1.72464805552206	0.0845909174991153	0.531116295024934	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	2035.63986713468	-0.0120635028720864	0.052425867088849	-0.230105929419187	0.818009457504104	0.967538853670613	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AADAT	712.123226166334	-0.0402995648215892	0.0661277964193803	-0.609419442408313	0.542246454043889	0.892978781574764	ENSG00000109576	protein_coding	chr4	170060222	170091699	chr4:170060222	AADAT	protein_coding	chr4	170060222	170091699	chr4:170060222	ENSG00000109576
AAED1	1393.45438045264	0.0222071345818882	0.0731334859079762	0.303652072729466	0.761392975215375	0.954529876476871	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	2750.57234365087	-0.0362988978437427	0.0352236498511006	-1.03052630823857	0.302763008966973	0.784682291378511	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	1242.97573567483	0.00200099172754146	0.0919381409920268	0.0217645441375087	0.982635777162618	0.997212094435732	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	484.12947260347	-0.0369945282524043	0.0589529318281559	-0.627526521670561	0.530314156794765	0.888593472112088	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	4420.89110827933	0.105757732399849	0.0400810333281722	2.63859795065498	0.00832496467245051	0.187313144479803	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
AAR2	2349.32383611826	0.0296331874847774	0.0358441464545874	0.826723200741327	0.408393968146174	0.84432614020267	ENSG00000131043	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARS	12284.4109022379	-0.0234920080785493	0.0915701670721358	-0.25654652415391	0.797528861016525	0.963477742568889	ENSG00000090861	protein_coding	chr16	70252295	70289543	chr16:70252295	AARS1	protein_coding	chr16	70251983	70289707	chr16:70251983	ENSG00000090861
AARS2	884.936197628771	-0.0558623881717899	0.0671313452178772	-0.832135688484812	0.405332359456175	0.841848445267567	ENSG00000124608	protein_coding	chr6	44299654	44313326	chr6:44299654	AARS2	protein_coding	chr6	44298731	44313347	chr6:44298731	ENSG00000124608
AARSD1	1207.39438904957	-0.0945682847946419	0.0621471871237805	-1.52168246337984	0.128088663766758	0.605639475562436	ENSG00000266967	protein_coding	chr17	42950526	42964498	chr17:42950526	AARSD1	protein_coding	chr17	42950526	42964498	chr17:42950526	ENSG00000266967
AASDH	775.105121271628	0.00537288825895021	0.0508323726536219	0.105698160020225	0.915821840265551	0.984605833150975	ENSG00000157426	protein_coding	chr4	56338287	56387508	chr4:56338287	AASDH	protein_coding	chr4	56338287	56387508	chr4:56338287	ENSG00000157426
AASDHPPT	2699.07170407052	0.0792253092070198	0.0276053811317114	2.86992267301141	0.00410572191019214	0.124697177832028	ENSG00000149313	protein_coding	chr11	106075501	106098710	chr11:106075501	AASDHPPT	protein_coding	chr11	106075501	106098699	chr11:106075501	ENSG00000149313
AASS	517.124959331201	-0.23103670655393	0.0768218667552602	-3.0074341631136	0.0026346318618482	0.094291338147551	ENSG00000008311	protein_coding	chr7	122075647	122144280	chr7:122075647	AASS	protein_coding	chr7	122064583	122144308	chr7:122064583	ENSG00000008311
AATF	2657.49770971153	0.0311377847443741	0.0646507179516988	0.481630919669561	0.630068157366698	0.920410202717166	ENSG00000275700	protein_coding	chr17	36948875	37056871	chr17:36948875	AATF	protein_coding	chr17	36948925	37056871	chr17:36948925	ENSG00000275700
ABALON	106.925127057612	-0.214278318077861	0.0917041765881843	-2.33662550660173	0.0194586650093505	0.288777052462622	ENSG00000281376	antisense	chr20	31721507	31723409	chr20:31721507	ABALON	lncRNA	chr20	31721507	31723409	chr20:31721507	ENSG00000281376
ABAT	562.171434380995	-0.215164628455809	0.172599202791986	-1.24661426573981	0.212538968369199	0.709604169791412	ENSG00000183044	protein_coding	chr16	8674565	8784575	chr16:8674565	ABAT	protein_coding	chr16	8674596	8784575	chr16:8674596	ENSG00000183044
ABC7-42404400C24.1	296.721750854082	0.0442499868146798	0.328165032148629	0.134840651744512	0.892737863884421	0.982761226499086	ENSG00000277758	protein_coding	chr10	47750864	47763592	chr10:47750864	SYT15B	protein_coding	chr10	47744717	47763592	chr10:47744717	ENSG00000277758
ABCA1	1585.56193012743	0.106318255898565	0.228737210627531	0.464805247938827	0.642070929267246	0.923739681173844	ENSG00000165029	protein_coding	chr9	104781002	104928237	chr9:104781002	ABCA1	protein_coding	chr9	104781006	104928155	chr9:104781006	ENSG00000165029
ABCA2	2042.44510793732	0.0957143778964803	0.114263713730239	0.837662060612251	0.402220527015439	0.84089109863253	ENSG00000107331	protein_coding	chr9	137007227	137028922	chr9:137007227	ABCA2	protein_coding	chr9	137007234	137028915	chr9:137007234	ENSG00000107331
ABCA5	407.604573390256	0.0538230809883008	0.149485169321735	0.360056326875198	0.718805011559101	0.944772511433135	ENSG00000154265	protein_coding	chr17	69244311	69327244	chr17:69244311	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ENSG00000154265
ABCA8	400.647806576701	-0.416702468307708	0.328885071446004	-1.26701545459512	0.205149763910568	0.703962988780445	ENSG00000141338	protein_coding	chr17	68867292	68955392	chr17:68867292	ABCA8	protein_coding	chr17	68867289	68955392	chr17:68867289	ENSG00000141338
ABCB10	1794.60004848284	0.23628569344749	0.0585443734082572	4.03601028914871	5.43678327602641e-05	0.00617973254430401	ENSG00000135776	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
ABCB4	263.195766254494	-0.245785598306404	0.275148586930108	-0.893283156743367	0.371705555558562	0.82433846369226	ENSG00000005471	protein_coding	chr7	87401697	87480435	chr7:87401697	ABCB4	protein_coding	chr7	87401696	87480435	chr7:87401696	ENSG00000005471
ABCB6	834.092023055379	-0.120928330105226	0.0817773161517311	-1.47875151442796	0.139206738695141	0.623710246591457	ENSG00000115657	protein_coding	chr2	219209768	219218990	chr2:219209768	ABCB6	protein_coding	chr2	219209772	219218994	chr2:219209772	ENSG00000115657
ABCB8	1555.68552564313	0.0637539024491508	0.0894192118502032	0.712977682647803	0.475859567186546	0.870046773142259	ENSG00000197150	protein_coding	chr7	151028422	151047782	chr7:151028422	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ENSG00000197150
ABCB9	254.500349772849	-0.189205026368196	0.0983749400895594	-1.92330512421097	0.0544417414381609	0.456011606980157	ENSG00000150967	protein_coding	chr12	122920951	122981649	chr12:122920951	ABCB9	protein_coding	chr12	122920951	122981649	chr12:122920951	ENSG00000150967
ABCC1	5789.0094029667	0.0876390063426824	0.0891420938837489	0.983138296672427	0.325539378133561	0.799067847415985	ENSG00000103222	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222
ABCC10	1179.88580248739	-0.0547055877265682	0.0438910646453381	-1.2463946401988	0.212619548006828	0.709628319989247	ENSG00000124574	protein_coding	chr6	43427366	43450430	chr6:43427366	ABCC10	protein_coding	chr6	43427366	43450427	chr6:43427366	ENSG00000124574
ABCC3	1998.26195939795	0.0781017201984911	0.135254189691331	0.577443999159878	0.56363955863863	0.897512630530632	ENSG00000108846	protein_coding	chr17	50634777	50692252	chr17:50634777	ABCC3	protein_coding	chr17	50634777	50692253	chr17:50634777	ENSG00000108846
ABCC4	2924.84112772673	-0.1376671865413	0.0515161851021355	-2.67230941631959	0.00753311519666378	0.176242953063996	ENSG00000125257	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257
ABCC5	1334.60029511338	0.001077378997067	0.0620611645384398	0.0173599545719076	0.986149455959508	0.997744358840088	ENSG00000114770	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770
