Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	A1BG	314.364022485766	0.14917466007032	0.10767396469161	1.38542924928577	0.165921252428843	0.512448717686564	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	A1BG-AS1	262.070484506598	0.0864468223716973	0.0688746109917084	1.25513336666401	0.209430349565912	0.566504404054497	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A4GALT	A4GALT	1714.96214193384	0.124014012007147	0.136183287531294	0.910640462976415	0.36248484335924	0.70716556785417	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	AAAS	2292.48678914063	0.0637051910487166	0.0307985891115985	2.06844511019259	0.0385981870531993	0.266429579287869	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	AACS	3058.25220816906	-0.0597239094855863	0.0469144095232114	-1.27303977802464	0.203003926922713	0.559372384057957	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AAED1	AAED1	560.158418149913	-0.40648649615025	0.0888537262761397	-4.57478277148412	4.7671434874987e-06	0.000885966394206956	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	AAGAB	3465.65536242067	0.0478189735863058	0.0507542468649933	0.942166942472907	0.346107175734601	0.693498589104975	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	AAK1	713.091583984532	0.023170938188086	0.0705308907013657	0.328521842807769	0.742517131737383	0.910043479005869	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	AAMDC	221.310441570442	-0.0180309669684421	0.0544018777709169	-0.331440158083686	0.740312035638337	0.909303986197833	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	AAMP	5205.2627283835	0.0654123945057223	0.0330244138397258	1.98072840363441	0.0476217396745753	0.294271163147779	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
AAR2	AAR2	2330.34232440988	0.0543505802543315	0.0343137217349848	1.583931369325	0.113209337886214	0.43264119390927	ENSG00000131043	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARS	AARS	19636.1698830002	-0.0602170393850614	0.0449697724636438	-1.33905590546949	0.180552473791739	0.533017935864727	ENSG00000090861	protein_coding	chr16	70252295	70289543	chr16:70252295	AARS1	protein_coding	chr16	70251983	70289707	chr16:70251983	ENSG00000090861
