Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	A1BG	320.536305174196	0.103742012953319	0.0561956672145701	1.84608561648008	0.0648797749779206	0.239728257238803	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	A1BG-AS1	269.102811400134	0.0135583113539945	0.0389182309312216	0.348379436309822	0.727555243857199	0.885632862623152	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A4GALT	A4GALT	1617.00784086775	-0.0394906014224016	0.0841188033371962	-0.469462235026106	0.638739272640082	0.839859873928088	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	AAAS	2374.40832788032	0.0287321614084932	0.0186001537212092	1.54472709414927	0.12241228839153	0.353803114626576	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	AACS	2973.2664061977	-0.0587459384251237	0.0251797882998611	-2.33305926664395	0.019645034946474	0.109476202530474	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AAED1	AAED1	460.693257551482	-0.422743078172804	0.0671194457240988	-6.29836962466186	3.00792564914854e-10	4.75776890760088e-08	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	AAGAB	3485.78070859038	-0.0197767069263752	0.0271906530568688	-0.727334753049606	0.467020913600585	0.727493148526673	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	AAK1	766.558172972404	0.0790265529820744	0.0399391986630659	1.9786714713221	0.0478530069836966	0.197435381862064	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	AAMDC	214.332482160964	-0.0283868987501984	0.0340391946295132	-0.833947426170474	0.404310610400299	0.678040977894999	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	AAMP	5290.19516635703	0.0388900739397348	0.015352997341085	2.53306068357506	0.0113071376073063	0.0755864639240774	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
