baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
AMOT	11290.0234292508	-2.26388502970248	0.0285224665862513	-79.3719934023429	0	0	ENSG00000126016	AMOT	protein_coding	chrX	112774503	112840815	chrX:112774503	AMOT	protein_coding	chrX	112774503	112840831	chrX:112774503	ENSG00000126016
CAPN2	3099.583943613	-1.6731159129031	0.0305299444258968	-54.8024552407601	0	0	ENSG00000162909	CAPN2	protein_coding	chr1	223701593	223776018	chr1:223701593	CAPN2	protein_coding	chr1	223701593	223776018	chr1:223701593	ENSG00000162909
CPNE3	5922.62079820894	-1.0458681467718	0.0273565615514122	-38.2309796063465	0	0	ENSG00000085719	CPNE3	protein_coding	chr8	86484830	86561498	chr8:86484830	CPNE3	protein_coding	chr8	86514435	86561498	chr8:86514435	ENSG00000085719
GSTP1	5166.04835809983	-1.23404656231166	0.0323208878283112	-38.1810849029558	0	0	ENSG00000084207	GSTP1	protein_coding	chr11	67583595	67586660	chr11:67583595	GSTP1	protein_coding	chr11	67583742	67586656	chr11:67583742	ENSG00000084207
LONRF2	1002.20359029219	-2.41290226511097	0.0559941844394994	-43.0920155238275	0	0	ENSG00000170500	LONRF2	protein_coding	chr2	100273291	100322733	chr2:100273291	LONRF2	protein_coding	chr2	100271875	100322501	chr2:100271875	ENSG00000170500
NEFM	1940.8238554709	-2.0793169910592	0.047105878117162	-44.1413486844999	0	0	ENSG00000104722	NEFM	protein_coding	chr8	24913012	24919098	chr8:24913012	NEFM	protein_coding	chr8	24913758	24919098	chr8:24913758	ENSG00000104722
PRDX4	3668.67044516527	-1.11153572811168	0.028341612221797	-39.2192130572171	0	0	ENSG00000123131	PRDX4	protein_coding	chrX	23664262	23686399	chrX:23664262	PRDX4	protein_coding	chrX	23664262	23686397	chrX:23664262	ENSG00000123131
RBBP7	10569.7745740454	-0.870437262531904	0.0195960340771236	-44.4190522993656	0	0	ENSG00000102054	RBBP7	protein_coding	chrX	16839283	16870414	chrX:16839283	RBBP7	protein_coding	chrX	16839283	16870362	chrX:16839283	ENSG00000102054
EIF1AX	13982.6288192411	-0.916431949536265	0.0260255229088936	-35.2128160015988	1.27296457444058e-271	3.37816509954876e-268	ENSG00000173674	EIF1AX	protein_coding	chrX	20124518	20141844	chrX:20124518	EIF1AX	protein_coding	chrX	20124525	20141838	chrX:20124525	ENSG00000173674
POLA1	8435.62387879924	0.916193087825278	0.0261453351521704	35.0423156747801	5.10533301152765e-269	1.21935773647326e-265	ENSG00000101868	POLA1	protein_coding	chrX	24693919	24996986	chrX:24693919	POLA1	protein_coding	chrX	24693873	24996986	chrX:24693873	ENSG00000101868
SMS	3195.05418753393	-1.27262930135025	0.0384095009946993	-33.1331901845295	9.89100552629469e-241	2.14760705445475e-237	ENSG00000102172	SMS	protein_coding	chrX	21940573	21994835	chrX:21940573	SMS	protein_coding	chrX	21940709	21994837	chrX:21940709	ENSG00000102172
PDHA1	4672.55382785902	-0.967804699997687	0.0292348429496386	-33.1044945808286	2.56067466634207e-240	5.09659614424284e-237	ENSG00000131828	PDHA1	protein_coding	chrX	19343893	19361705	chrX:19343893	PDHA1	protein_coding	chrX	19343893	19361718	chrX:19343893	ENSG00000131828
MBTPS2	1525.1637268939	-1.41513398395187	0.0435213405357783	-32.5158638619715	6.36349141826002e-232	1.16912022333633e-228	ENSG00000012174	MBTPS2	protein_coding	chrX	21839636	21885424	chrX:21839636	MBTPS2	protein_coding	chrX	21839617	21885423	chrX:21839617	ENSG00000012174
COL4A2	1580.40272512987	-1.27613594755326	0.0393026079080217	-32.4694979666426	2.87475834031232e-231	4.90433772857282e-228	ENSG00000134871	COL4A2	protein_coding	chr13	110305812	110513027	chr13:110305812	COL4A2	protein_coding	chr13	110305812	110513209	chr13:110305812	ENSG00000134871
SCML1	3082.98486401743	-1.12894100509434	0.0353169460689242	-31.9659860422561	3.23972675337464e-224	5.15850891850666e-221	ENSG00000047634	SCML1	protein_coding	chrX	17737449	17754988	chrX:17737449	SCML1	protein_coding	chrX	17737449	17754988	chrX:17737449	ENSG00000047634
KLHL15	1974.17599494865	-1.28589001031242	0.0418927252285502	-30.6948283573607	6.67204356862298e-207	9.95969303706195e-204	ENSG00000174010	KLHL15	protein_coding	chrX	23983720	24027186	chrX:23983720	KLHL15	protein_coding	chrX	23983716	24027186	chrX:23983716	ENSG00000174010
SCML2	1627.3526075649	-1.2548349797468	0.0409570403987382	-30.6378333866491	3.83827233575478e-206	5.39254685100983e-203	ENSG00000102098	SCML2	protein_coding	chrX	18239314	18354727	chrX:18239314	SCML2	protein_coding	chrX	18239313	18354688	chrX:18239313	ENSG00000102098
LPGAT1	3683.65080043513	-0.806791450323221	0.0265939799027703	-30.3373715883412	3.68723202962e-202	4.892547210858e-199	ENSG00000123684	LPGAT1	protein_coding	chr1	211743457	211830772	chr1:211743457	LPGAT1	protein_coding	chr1	211743457	211830763	chr1:211743457	ENSG00000123684
ARL2BP	2229.76581385685	-1.24522029982522	0.0419206206677538	-29.7042429236518	6.7684547118776e-194	8.50830380728867e-191	ENSG00000102931	ARL2BP	protein_coding	chr16	57245098	57253635	chr16:57245098	ARL2BP	protein_coding	chr16	57245259	57253635	chr16:57245259	ENSG00000102931
MSN	4964.09554172	-0.720648483079101	0.0244484689247553	-29.476221406626	5.80904195833248e-191	6.93715790664064e-188	ENSG00000147065	MSN	protein_coding	chrX	65588377	65741931	chrX:65588377	MSN	protein_coding	chrX	65588377	65741931	chrX:65588377	ENSG00000147065
TENM1	437.069742231673	-2.31952093887656	0.0792579891753042	-29.2654527702716	2.85556942832945e-188	3.24773429648669e-185	ENSG00000009694	TENM1	protein_coding	chrX	124375903	124963817	chrX:124375903	TENM1	protein_coding	chrX	124375903	125204312	chrX:124375903	ENSG00000009694
EIF1	11780.3531409313	-0.57108854872877	0.0195799894883403	-29.16694868855	5.09349843659142e-187	5.52968712088861e-184	ENSG00000173812	EIF1	protein_coding	chr17	41688885	41692668	chr17:41688885	EIF1	protein_coding	chr17	41688885	41692668	chr17:41688885	ENSG00000173812
HSPA1B	34822.6221854752	-0.931402852264295	0.0320103302112968	-29.0969460832239	3.92391293423645e-186	4.07472767483928e-183	ENSG00000204388	HSPA1B	protein_coding	chr6	31827735	31830255	chr6:31827735	HSPA1B	protein_coding	chr6	31827738	31830254	chr6:31827738	ENSG00000204388
SNAI2	315.437966472458	-2.72098453426026	0.0941418544590974	-28.903026713187	1.09380698938164e-183	1.08852025559963e-180	ENSG00000019549	SNAI2	protein_coding	chr8	48917690	48921740	chr8:48917690	SNAI2	protein_coding	chr8	48917598	48921740	chr8:48917598	ENSG00000019549
SYTL5	229.309835864424	-3.39096549577608	0.120132544297957	-28.2268682112126	2.73745851762651e-175	2.61525836939966e-172	ENSG00000147041	SYTL5	protein_coding	chrX	38006582	38128819	chrX:38006582	SYTL5	protein_coding	chrX	38006553	38128819	chrX:38006553	ENSG00000147041
PLS3	30414.8043951926	-0.830675177972536	0.0302256426987764	-27.4824653441088	2.84486485552129e-166	2.61333662343348e-163	ENSG00000102024	PLS3	protein_coding	chrX	115561174	115650861	chrX:115561174	PLS3	protein_coding	chrX	115561174	115650861	chrX:115561174	ENSG00000102024
PRPS2	1991.3657523963	-1.17678851042648	0.0434563913684151	-27.0797568175851	1.70514209265098e-161	1.50835606447689e-158	ENSG00000101911	PRPS2	protein_coding	chrX	12791355	12824222	chrX:12791355	PRPS2	protein_coding	chrX	12791355	12824222	chrX:12791355	ENSG00000101911
CELF2	2056.284215689	1.07423248441082	0.0402712391843026	26.6749299542177	9.19812418071569e-157	7.84599992615049e-154	ENSG00000048740	CELF2	protein_coding	chr10	11005321	11336675	chr10:11005321	CELF2	protein_coding	chr10	10798397	11336675	chr10:10798397	ENSG00000048740
MTPN	12830.4675433533	-0.513883820091107	0.0194033409591874	-26.4842957288645	1.47017326417736e-154	1.21081442212455e-151	ENSG00000105887	MTPN	protein_coding	chr7	135926761	135977353	chr7:135926761	MTPN	protein_coding	chr7	135926760	135977359	chr7:135926760	ENSG00000105887
LRP11	1962.36637108276	-0.930169597136662	0.0352332677216873	-26.400321550763	1.35857048951135e-153	1.08160325238297e-150	ENSG00000120256	LRP11	protein_coding	chr6	149818798	149864026	chr6:149818798	LRP11	protein_coding	chr6	149818757	149864359	chr6:149818757	ENSG00000120256
CD99	3058.9440609511	-0.806634296327297	0.0306993638079952	-26.2752772784568	3.6765434637125e-152	2.83259884152611e-149	ENSG00000002586	CD99	protein_coding	chrX	2691179	2741309	chrX:2691179	CD99	protein_coding	chrX	2691187	2741309	chrX:2691187	ENSG00000002586
C5orf42	719.821897775225	-1.48964856063929	0.0578117156587522	-25.7672436056439	2.06598300460226e-146	1.54199806506001e-143	ENSG00000197603	C5orf42	protein_coding	chr5	37106228	37249428	chr5:37106228	CPLANE1	protein_coding	chr5	37106228	37249376	chr5:37106228	ENSG00000197603
ZCCHC12	916.479821138771	-1.44079043041606	0.0559802362928411	-25.7374839019804	4.45105439149609e-146	3.22148433595432e-143	ENSG00000174460	ZCCHC12	protein_coding	chrX	118823790	118826968	chrX:118823790	ZCCHC12	protein_coding	chrX	118823824	118826968	chrX:118823824	ENSG00000174460
DOCK7	3227.21613227694	-0.943705667544364	0.0368371764636167	-25.618295378215	9.54190728033213e-145	6.70290922010154e-142	ENSG00000116641	DOCK7	protein_coding	chr1	62454726	62688368	chr1:62454726	DOCK7	protein_coding	chr1	62454298	62688386	chr1:62454298	ENSG00000116641
COL6A1	1692.5504606559	-1.23725223695883	0.0483736625323513	-25.576980782288	2.75185019162165e-144	1.87786257076262e-141	ENSG00000142156	COL6A1	protein_coding	chr21	45981737	46005050	chr21:45981737	COL6A1	protein_coding	chr21	45981770	46005050	chr21:45981770	ENSG00000142156
CTPS2	1081.12025445807	-1.25338527954988	0.0496889632396701	-25.2246212806713	2.15109331982334e-140	1.42713091251835e-137	ENSG00000047230	CTPS2	protein_coding	chrX	16588003	16712936	chrX:16588003	CTPS2	protein_coding	chrX	16587999	16712936	chrX:16587999	ENSG00000047230
