Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	235.377465932603	0.245681789765089	0.272739502807663	0.900792834319803	0.367698478197452	0.844433919908622	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	368.690624526143	0.0775256048770842	0.0928895509291941	0.834599845747761	0.40394304904036	0.867469163779238	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A2M	1616.74420899974	1.03518421814829	0.47089948117639	2.19831250517036	0.027926843870737	0.333257800359381	ENSG00000175899	protein_coding	chr12	9067664	9116229	chr12:9067664	A2M	protein_coding	chr12	9067664	9116229	chr12:9067664	ENSG00000175899
A4GALT	1514.46490095653	-0.0747955209310585	0.171094209245608	-0.437159862165111	0.661995416342644	0.957073105074231	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	2199.09039305189	0.0117536120671946	0.112523826902372	0.104454428815262	0.916808730919043	0.989364796043411	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	2383.37618026586	-0.0386084188062241	0.0637370779677008	-0.605745039422567	0.544684070913738	0.922246814742778	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AADAT	748.315619053892	-0.0911395272680081	0.0855662614870827	-1.06513391708444	0.286815332736348	0.78669674476645	ENSG00000109576	protein_coding	chr4	170060222	170091699	chr4:170060222	AADAT	protein_coding	chr4	170060222	170091699	chr4:170060222	ENSG00000109576
AAED1	1696.80960972846	-0.0659682679049475	0.113458217751387	-0.581432259490442	0.560949160841367	0.928975931141904	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	3113.40945148185	-0.0255693588802885	0.052841321328933	-0.483889468265211	0.628464315088083	0.950400368759758	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	1397.79622183621	0.0691149178844279	0.115307979962038	0.599394056744225	0.548910139295379	0.923641668629549	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
