baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
ZFY	578.928315100444	-3.70655850495461	0.13625083521899	-27.2039323575318	5.83516589112938e-163	8.16573114804646e-159	ENSG00000067646	ZFY	protein_coding	chrY	2935281	2982506	chrY:2935281	ZFY	protein_coding	chrY	2935281	2982506	chrY:2935281	ENSG00000067646
ADCY3	1447.85202499762	-0.389159357191315	0.0601405419228512	-6.47083223311376	9.74646012979102e-11	6.81959815281478e-07	ENSG00000138031	ADCY3	protein_coding	chr2	24819169	24919839	chr2:24819169	ADCY3	protein_coding	chr2	24819169	24920237	chr2:24819169	ENSG00000138031
FURIN	5636.09761291797	-0.281132878263331	0.0491471403687312	-5.72022860646834	1.06380823065508e-08	4.9623107932624e-05	ENSG00000140564	FURIN	protein_coding	chr15	90868592	90883458	chr15:90868592	FURIN	protein_coding	chr15	90868588	90883564	chr15:90868588	ENSG00000140564
DIS3L	588.07105787229	-0.396522256403395	0.0703000881697172	-5.64042331563109	1.69632604066084e-08	5.38379598785749e-05	ENSG00000166938	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	ENSG00000166938
LRBA	2292.10709553499	0.264297836962174	0.0473046321608664	5.58714495577072	2.30833042211983e-08	5.38379598785749e-05	ENSG00000198589	LRBA	protein_coding	chr4	150264531	151015727	chr4:150264531	LRBA	protein_coding	chr4	150264435	151015727	chr4:150264435	ENSG00000198589
MAP6	126.51863269639	-1.08675443249586	0.194162849465733	-5.59712857267095	2.17931089673133e-08	5.38379598785749e-05	ENSG00000171533	MAP6	protein_coding	chr11	75586918	75669120	chr11:75586918	MAP6	protein_coding	chr11	75586918	75669038	chr11:75586918	ENSG00000171533
FBXO6	92.3612674816384	-0.810022475584078	0.150126871822284	-5.3955861848834	6.83001978081988e-08	0.000136541852589705	ENSG00000116663	FBXO6	protein_coding	chr1	11664124	11674354	chr1:11664124	FBXO6	protein_coding	chr1	11664200	11674354	chr1:11664200	ENSG00000116663
LRP3	701.190129099888	-0.415675166043714	0.0775121000235851	-5.36271325273388	8.1981093418064e-08	0.000143405427661548	ENSG00000130881	LRP3	protein_coding	chr19	33177603	33208867	chr19:33177603	LRP3	protein_coding	chr19	33177603	33208864	chr19:33177603	ENSG00000130881
ULK2	444.691915401963	-0.374554385309898	0.070162531261533	-5.33838187669905	9.37797738908605e-08	0.000145817128425411	ENSG00000083290	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ENSG00000083290
MTHFD2	3367.47166582611	0.367289297903384	0.0709952205545593	5.17343695863477	2.29826688272649e-07	0.000321619467568745	ENSG00000065911	MTHFD2	protein_coding	chr2	74198562	74217565	chr2:74198562	MTHFD2	protein_coding	chr2	74186172	74217565	chr2:74186172	ENSG00000065911
INSR	443.80639215048	-0.466267758277207	0.0920486767489891	-5.06544770381316	4.07441625093731e-07	0.000518339827414698	ENSG00000171105	INSR	protein_coding	chr19	7112255	7294034	chr19:7112255	INSR	protein_coding	chr19	7112255	7294414	chr19:7112255	ENSG00000171105
ADAM15	1790.8262644371	-0.320405925582956	0.06368397502762	-5.03118603139949	4.87454868591747e-07	0.000568453619256075	ENSG00000143537	ADAM15	protein_coding	chr1	155050566	155062775	chr1:155050566	ADAM15	protein_coding	chr1	155050566	155062775	chr1:155050566	ENSG00000143537
ALDOC	303.525760550294	0.460668033706523	0.0928563578197839	4.96108230521587	7.01014783563714e-07	0.000754615452399278	ENSG00000109107	ALDOC	protein_coding	chr17	28573115	28577264	chr17:28573115	ALDOC	protein_coding	chr17	28573115	28576948	chr17:28573115	ENSG00000109107
EHBP1L1	3807.94961974953	-0.262147205447498	0.0536953356517121	-4.88212248355951	1.04950030806026e-06	0.00104905052221395	ENSG00000173442	EHBP1L1	protein_coding	chr11	65576038	65592650	chr11:65576038	EHBP1L1	protein_coding	chr11	65576046	65592650	chr11:65576046	ENSG00000173442
TM4SF1	862.207863760704	-0.41943033789486	0.0861548987609005	-4.8683283704955	1.12546207408165e-06	0.00104998108431324	ENSG00000169908	TM4SF1	protein_coding	chr3	149369022	149377865	chr3:149369022	TM4SF1	protein_coding	chr3	149369022	149377692	chr3:149369022	ENSG00000169908
PAPSS2	6963.69752994473	0.169185795843424	0.0351624926663936	4.81154158917528	1.49770559934457e-06	0.00116993280638693	ENSG00000198682	PAPSS2	protein_coding	chr10	87659613	87747705	chr10:87659613	PAPSS2	protein_coding	chr10	87659613	87747705	chr10:87659613	ENSG00000198682
PTPRU	160.459373824414	-0.577123814072805	0.119969412299927	-4.81059132497857	1.50484425574995e-06	0.00116993280638693	ENSG00000060656	PTPRU	protein_coding	chr1	29236516	29326813	chr1:29236516	PTPRU	protein_coding	chr1	29236516	29326813	chr1:29236516	ENSG00000060656
SEPN1	5961.82525819684	-0.231769034131874	0.0479786945275162	-4.83066570306435	1.36077311402516e-06	0.00116993280638693	ENSG00000162430	SEPN1	protein_coding	chr1	25800176	25818224	chr1:25800176	SELENON	protein_coding	chr1	25800193	25818221	chr1:25800193	ENSG00000162430
SEPT5	510.894393454868	-0.344107157949568	0.0721610211441594	-4.76860155931177	1.85509147187655e-06	0.0013663236872337	ENSG00000184702	SEPT5	protein_coding	chr22	19714464	19724772	chr22:19714464	SEPTIN5	protein_coding	chr22	19714503	19724224	chr22:19714503	ENSG00000184702
FBXO17	529.842134771403	-0.27123488723268	0.0578602934924411	-4.68775512291715	2.76218249695223e-06	0.00193269909311747	ENSG00000269190	FBXO17	protein_coding	chr19	38941401	38975910	chr19:38941401	FBXO17	protein_coding	chr19	38941401	38975742	chr19:38941401	ENSG00000269190
SLC4A3	155.230477690761	-0.541489217713621	0.115819578079877	-4.67528225098672	2.93549601860793e-06	0.00195615863259045	ENSG00000114923	SLC4A3	protein_coding	chr2	219627327	219641980	chr2:219627327	SLC4A3	protein_coding	chr2	219627394	219641980	chr2:219627394	ENSG00000114923
FAM20C	2774.04920544443	-0.202889925000289	0.0435923811673594	-4.65425194878335	3.25159014787515e-06	0.00206830693315295	ENSG00000177706	FAM20C	protein_coding	chr7	192969	260745	chr7:192969	FAM20C	protein_coding	chr7	192571	260772	chr7:192571	ENSG00000177706
CLDN11	2967.59232972278	0.640069911102967	0.137917972793789	4.64094634032927	3.46817185788373e-06	0.00211015639040108	ENSG00000013297	CLDN11	protein_coding	chr3	170418865	170860380	chr3:170418865	CLDN11	protein_coding	chr3	170418868	170454733	chr3:170418868	ENSG00000013297
PSD3	3425.59693868739	0.255390708274123	0.0551666472901351	4.62944044670614	3.66655152278046e-06	0.00213790508374124	ENSG00000156011	PSD3	protein_coding	chr8	18527301	19084730	chr8:18527301	PSD3	protein_coding	chr8	18527303	19084730	chr8:18527303	ENSG00000156011
B3GALNT1	130.458283471708	-0.736945878381973	0.160689310248482	-4.58615372262409	4.51486234168242e-06	0.00225646370033942	ENSG00000169255	B3GALNT1	protein_coding	chr3	161083883	161105384	chr3:161083883	B3GALNT1	protein_coding	chr3	161083883	161105411	chr3:161083883	ENSG00000169255
EXT2	5955.73586527524	-0.205254434686662	0.0446227654363658	-4.59976948267279	4.2295871688564e-06	0.00225646370033942	ENSG00000151348	EXT2	protein_coding	chr11	44095549	44245429	chr11:44095549	EXT2	protein_coding	chr11	44095648	44251962	chr11:44095648	ENSG00000151348
IQCE	904.735608896255	-0.392362751507513	0.0853980812225005	-4.59451484027178	4.33757259714221e-06	0.00225646370033942	ENSG00000106012	IQCE	protein_coding	chr7	2558972	2614734	chr7:2558972	IQCE	protein_coding	chr7	2558972	2614733	chr7:2558972	ENSG00000106012
KIAA0368	5216.66297213047	-0.13538203054561	0.0294922636023946	-4.59042521695819	4.42343925394007e-06	0.00225646370033942	ENSG00000136813	KIAA0368	protein_coding	chr9	111360692	111484745	chr9:111360692	ECPAS	protein_coding	chr9	111360685	111484745	chr9:111360685	ENSG00000136813
BEND7	138.14991544015	-0.519294532049357	0.114184331980357	-4.54786154144765	5.41937689961347e-06	0.00252795867777303	ENSG00000165626	BEND7	protein_coding	chr10	13438484	13528974	chr10:13438484	BEND7	protein_coding	chr10	13438484	13529014	chr10:13438484	ENSG00000165626
FAM65A	5140.01646837682	-0.217447480253234	0.0478068574658882	-4.54845793636174	5.40404418481213e-06	0.00252795867777303	ENSG00000039523	FAM65A	protein_coding	chr16	67518418	67546788	chr16:67518418	RIPOR1	protein_coding	chr16	67518418	67546788	chr16:67518418	ENSG00000039523
CA12	3428.141087158	0.358846532187035	0.0805200485446275	4.456610976683	8.32655052078396e-06	0.00373147379569783	ENSG00000074410	CA12	protein_coding	chr15	63321378	63382161	chr15:63321378	CA12	protein_coding	chr15	63321378	63381846	chr15:63321378	ENSG00000074410
IQSEC1	1706.6906370477	-0.263956949665861	0.0592980205630017	-4.45136190314174	8.53273985010222e-06	0.00373147379569783	ENSG00000144711	IQSEC1	protein_coding	chr3	12897220	13073117	chr3:12897220	IQSEC1	protein_coding	chr3	12897043	13283281	chr3:12897043	ENSG00000144711
MARK4	1648.41910769327	-0.213218569605374	0.0491766979323073	-4.33576426580885	1.45254547590901e-05	0.00597850629113845	ENSG00000007047	MARK4	protein_coding	chr19	45079288	45305283	chr19:45079288	MARK4	protein_coding	chr19	45079288	45305284	chr19:45079288	ENSG00000007047
