baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
1061.78399209699	-2.3144899705459	0.0954881301717173	-24.2385097119792	8.74040563282027e-130	1.2991738932624e-125	ENSG00000005889	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ENSG00000005889
7662.65461618974	-1.08567125453746	0.0661750089027796	-16.4060613294735	1.73075513548192e-60	1.28629721669016e-56	ENSG00000139645	ANKRD52	protein_coding	chr12	56237807	56258391	chr12:56237807	ANKRD52	protein_coding	chr12	56237807	56258384	chr12:56237807	ENSG00000139645
730.7467503352	-1.23561189037691	0.0952869301656836	-12.9672756612942	1.87579596299203e-38	6.97045779847838e-35	ENSG00000166938	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	ENSG00000166938
280.062052334895	-1.84206782313776	0.145192431129242	-12.6870788567351	6.97386143171479e-37	2.07318952642017e-33	ENSG00000196814	MVB12B	protein_coding	chr9	126326849	126507041	chr9:126326849	MVB12B	protein_coding	chr9	126326829	126507041	chr9:126326829	ENSG00000196814
1011.82806170089	-1.04183904038256	0.0863076660844587	-12.0712224956129	1.49890873717939e-33	2.80190732674977e-30	ENSG00000150768	DLAT	protein_coding	chr11	112024814	112064390	chr11:112024814	DLAT	protein_coding	chr11	112025408	112064404	chr11:112025408	ENSG00000150768
670.745656619159	-1.15175399036533	0.0954171451772406	-12.0707236443294	1.50802331902571e-33	2.80190732674977e-30	ENSG00000146729	GBAS	protein_coding	chr7	55951793	56000181	chr7:55951793	NIPSNAP2	protein_coding	chr7	55951793	56000181	chr7:55951793	ENSG00000146729
1439.90283230891	-0.897344744610868	0.0744055567459445	-12.0601845326529	1.71398451866499e-33	2.83074065393738e-30	ENSG00000066629	EML1	protein_coding	chr14	99737693	99942060	chr14:99737693	EML1	protein_coding	chr14	99737693	99942060	chr14:99737693	ENSG00000066629
5016.77758061413	0.812664539941482	0.0678661457959683	11.974520291526	4.83224471132016e-33	7.18264853890628e-30	ENSG00000051108	HERPUD1	protein_coding	chr16	56932048	56944863	chr16:56932048	HERPUD1	protein_coding	chr16	56932142	56944864	chr16:56932142	ENSG00000051108
11513.9839131549	-0.646671084395605	0.0551783930774971	-11.7196432938409	1.01096774951878e-31	1.36609314807701e-28	ENSG00000115524	SF3B1	protein_coding	chr2	197389784	197435091	chr2:197389784	SF3B1	protein_coding	chr2	197388515	197435079	chr2:197388515	ENSG00000115524
770.708575013298	-1.09855774914531	0.0946125223558683	-11.6111242126416	3.61826826915412e-31	4.4818282960589e-28	ENSG00000165533	TTC8	protein_coding	chr14	88824153	88881078	chr14:88824153	TTC8	protein_coding	chr14	88824153	88881078	chr14:88824153	ENSG00000165533
1603.69790612567	-0.883095127456196	0.0768903433848176	-11.4851239906228	1.56710474815147e-30	1.79180345973257e-27	ENSG00000035681	NSMAF	protein_coding	chr8	58583504	58659844	chr8:58583504	NSMAF	protein_coding	chr8	58583508	58659853	chr8:58583508	ENSG00000035681
72663.8773307274	0.789423730382865	0.0721021439082848	10.9486859556773	6.74185312014707e-28	6.68072698519107e-25	ENSG00000044574	HSPA5	protein_coding	chr9	125234853	125241330	chr9:125234853	HSPA5	protein_coding	chr9	125234853	125241382	chr9:125234853	ENSG00000044574
1021.07894360444	-0.936915258474165	0.0864174566021812	-10.8417360949098	2.18288744043617e-27	2.0279024321652e-24	ENSG00000063587	ZNF275	protein_coding	chrX	153334155	153360110	chrX:153334155	ZNF275	protein_coding	chrX	153334147	153360110	chrX:153334147	ENSG00000063587
2693.21515929909	-0.768324579625546	0.071313875186127	-10.7738441869866	4.57491701720639e-27	4.0000921496327e-24	ENSG00000196547	MAN2A2	protein_coding	chr15	90902218	90922584	chr15:90902218	MAN2A2	protein_coding	chr15	90902218	90922584	chr15:90902218	ENSG00000196547
27772.6514472063	0.641953318305943	0.0600801734487705	10.6849444909364	1.19720653990281e-26	9.88626556061963e-24	ENSG00000161011	SQSTM1	protein_coding	chr5	179806398	179838078	chr5:179806398	SQSTM1	protein_coding	chr5	179806398	179838078	chr5:179806398	ENSG00000161011
3485.69425849786	-0.704248683277949	0.0663053216051576	-10.6212995613186	2.37235124691379e-26	1.85592783863824e-23	ENSG00000130508	PXDN	protein_coding	chr2	1631887	1744852	chr2:1631887	PXDN	protein_coding	chr2	1631887	1744852	chr2:1631887	ENSG00000130508
3751.51178636721	-0.76443002060937	0.0737202764428013	-10.3693319870074	3.41906471130451e-25	2.54104889344151e-22	ENSG00000070367	EXOC5	protein_coding	chr14	57200507	57269008	chr14:57200507	EXOC5	protein_coding	chr14	57200507	57268905	chr14:57200507	ENSG00000070367
570.605782422915	-1.21831423638905	0.119432639338289	-10.2008483036049	1.96548194546838e-24	1.39118683987819e-21	ENSG00000154359	LONRF1	protein_coding	chr8	12721894	12756073	chr8:12721894	LONRF1	protein_coding	chr8	12721906	12756073	chr8:12721906	ENSG00000154359
4364.64532379756	0.758827491666165	0.0758558547434832	10.0035454643843	1.47036477048289e-23	9.93431906748075e-21	ENSG00000101255	TRIB3	protein_coding	chr20	362835	397559	chr20:362835	TRIB3	protein_coding	chr20	362835	397559	chr20:362835	ENSG00000101255
2046.3566875818	0.705349234686892	0.0705544058525215	9.99723867225626	1.56705731265244e-23	1.0127278215333e-20	ENSG00000175197	DDIT3	protein_coding	chr12	57516588	57520517	chr12:57516588	DDIT3	protein_coding	chr12	57516588	57521737	chr12:57516588	ENSG00000175197
