Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	253.501343425238	0.000625545035956837	0.125807701006646	0.0049722316754186	0.996032749460569	0.999772458164099	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	383.347667787126	-0.0337139119127025	0.0498250124783675	-0.676646331545629	0.498630375366111	0.898966847073563	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A2M	1603.52698473005	0.595113414517601	0.250058652658647	2.37989530932163	0.017317557238226	0.2704840001318	ENSG00000175899	protein_coding	chr12	9067664	9116229	chr12:9067664	A2M	protein_coding	chr12	9067664	9116229	chr12:9067664	ENSG00000175899
A4GALT	1536.475319553	-0.0207134057518627	0.0808522132710672	-0.256188481599364	0.797805302272024	0.969788615864292	ENSG00000128274	protein_coding	chr22	42692121	42721298	chr22:42692121	A4GALT	protein_coding	chr22	42692121	42721298	chr22:42692121	ENSG00000128274
AAAS	2047.04072531847	0.0223368179530419	0.0538627649300193	0.414698688083741	0.678362492875512	0.945053374928671	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	2198.94609566295	-0.0369397653897632	0.0325710545316521	-1.13412862803891	0.256740596667395	0.772781781985224	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AADAT	730.783456513231	-0.0433973384476602	0.0430914411916891	-1.00709879380943	0.313887300798211	0.818909597073247	ENSG00000109576	protein_coding	chr4	170060222	170091699	chr4:170060222	AADAT	protein_coding	chr4	170060222	170091699	chr4:170060222	ENSG00000109576
AAED1	1538.54410835367	0.091147195693163	0.0583678859328368	1.56159837274293	0.118382633072994	0.611837424319358	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	2941.41262585659	-0.00831873786027594	0.0245587027122234	-0.338728716974757	0.73481410520935	0.957273662741431	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	1317.22063036215	-0.00380780551482422	0.0604781271208925	-0.06296169699853	0.949797005144046	0.996961099672373	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
