Row.names	SRR5931679	SRR5931680	SRR5931681	median_TPM	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
A1BG	2.01922	2.08883	2.14906	2.08883	ENSG00000121410	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	3.97709	4.13771	4.53472	4.13771	ENSG00000268895	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
AAAS	23.449955	24.3974	25.325277	24.3974	ENSG00000094914	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	19.7079	20.8963	22.3039	20.8963	ENSG00000081760	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AADAT	183.71904	209.54374	214.71596	209.54374	ENSG00000109576	protein_coding	chr4	170060222	170091699	chr4:170060222	AADAT	protein_coding	chr4	170060222	170091699	chr4:170060222	ENSG00000109576
AAED1	5.72723	6.20042	6.41465	6.20042	ENSG00000158122	protein_coding	chr9	96639577	96655303	chr9:96639577	PRXL2C	protein_coding	chr9	96639577	96655317	chr9:96639577	ENSG00000158122
AAGAB	47.07426	49.79467	50.20383	49.79467	ENSG00000103591	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	6.419717	6.870482	6.776739	6.776739	ENSG00000115977	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	11.1533821	11.0271093	12.084759	11.1533821	ENSG00000087884	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	50.83159	48.98841	51.43693	50.83159	ENSG00000127837	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
