baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
HINT1	2495.39425860675	-1.05268875811247	0.0369512300601624	-28.4885985229322	1.6217405455556e-178	2.37682294356629e-174	ENSG00000169567	HINT1	protein_coding	chr5	131159027	131171735	chr5:131159027	HINT1	protein_coding	chr5	131155383	131224468	chr5:131155383	ENSG00000169567
ZFX	1015.71706981901	-2.39299023229464	0.0840926653152741	-28.4565868298147	4.03932429473738e-178	2.96001684318355e-174	ENSG00000005889	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ENSG00000005889
CPNE3	2780.5839722541	-1.1340212584513	0.0471380013577796	-24.0574743473748	6.9719740542551e-128	3.40604172463876e-124	ENSG00000085719	CPNE3	protein_coding	chr8	86484830	86561498	chr8:86484830	CPNE3	protein_coding	chr8	86514435	86561498	chr8:86514435	ENSG00000085719
GSTP1	2903.1359112426	-1.07089754572981	0.0459699832637145	-23.2955826759045	4.91472432752858e-120	1.80075499360647e-116	ENSG00000084207	GSTP1	protein_coding	chr11	67583595	67586660	chr11:67583595	GSTP1	protein_coding	chr11	67583742	67586656	chr11:67583742	ENSG00000084207
AGPAT3	1744.85238053551	-1.02135155398803	0.046297778316099	-22.0604873740319	7.57622188281264e-108	2.22074215829004e-104	ENSG00000160216	AGPAT3	protein_coding	chr21	43865186	43986536	chr21:43865186	AGPAT3	protein_coding	chr21	43865223	43987592	chr21:43865223	ENSG00000160216
HSPB8	1350.21077920758	-1.35497111062298	0.0616496955394866	-21.9785531585493	4.61950455758389e-107	1.12839097993249e-103	ENSG00000152137	HSPB8	protein_coding	chr12	119178642	119221131	chr12:119178642	HSPB8	protein_coding	chr12	119171555	119224855	chr12:119171555	ENSG00000152137
LRRC41	2083.37421921567	-0.937513663012069	0.0439889916187286	-21.3124608797106	8.70003598494688e-101	1.82153896279116e-97	ENSG00000132128	LRRC41	protein_coding	chr1	46261196	46303608	chr1:46261196	LRRC41	protein_coding	chr1	46261196	46303616	chr1:46261196	ENSG00000132128
ACSL1	917.718359136202	-1.1170746702115	0.0530542497582894	-21.0553287493611	2.0436074877034e-98	3.37530116067721e-95	ENSG00000151726	ACSL1	protein_coding	chr4	184755595	184826818	chr4:184755595	ACSL1	protein_coding	chr4	184755595	184826818	chr4:184755595	ENSG00000151726
MAN2A2	636.841790487067	-1.38957948490904	0.0659986711021109	-21.0546585515204	2.072714959477e-98	3.37530116067721e-95	ENSG00000196547	MAN2A2	protein_coding	chr15	90902218	90922584	chr15:90902218	MAN2A2	protein_coding	chr15	90902218	90922584	chr15:90902218	ENSG00000196547
SEPN1	3859.74044947982	-0.898040426534427	0.0435932797640243	-20.6004327133822	2.72001841466774e-94	3.98645898853704e-91	ENSG00000162430	SEPN1	protein_coding	chr1	25800176	25818224	chr1:25800176	SELENON	protein_coding	chr1	25800193	25818221	chr1:25800193	ENSG00000162430
LRP3	430.043510870561	-1.83977659579198	0.0915677672158226	-20.0919674218514	8.67553905577294e-90	1.15589727637644e-86	ENSG00000130881	LRP3	protein_coding	chr19	33177603	33208867	chr19:33177603	LRP3	protein_coding	chr19	33177603	33208864	chr19:33177603	ENSG00000130881
CEP112	183.669860458644	-2.0756529766553	0.107163473583774	-19.3690341236716	1.40875496764788e-83	1.72055940048728e-80	ENSG00000154240	CEP112	protein_coding	chr17	65635538	66192084	chr17:65635538	CEP112	protein_coding	chr17	65635537	66192133	chr17:65635537	ENSG00000154240
ULK2	317.274797388347	-1.67958119767149	0.0884884057452199	-18.9808052651261	2.45799733068528e-80	2.77110837527104e-77	ENSG00000083290	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ENSG00000083290
ALDOC	428.265376850659	1.36949654358592	0.0733184370920126	18.6787470915023	7.37294452117628e-78	7.71841963588282e-75	ENSG00000109107	ALDOC	protein_coding	chr17	28573115	28577264	chr17:28573115	ALDOC	protein_coding	chr17	28573115	28576948	chr17:28573115	ENSG00000109107
BLVRA	447.030157310705	-1.45313341997005	0.0779100979007214	-18.6514130918143	1.22983438261991e-77	1.20163018077849e-74	ENSG00000106605	BLVRA	protein_coding	chr7	43758680	43807342	chr7:43758680	BLVRA	protein_coding	chr7	43758680	43807342	chr7:43758680	ENSG00000106605
ACADSB	343.626300382344	-1.7154103190264	0.0922959567935674	-18.5859747124477	4.17348467084339e-77	3.82291195849254e-74	ENSG00000196177	ACADSB	protein_coding	chr10	123008979	123058311	chr10:123008979	ACADSB	protein_coding	chr10	123008979	123058290	chr10:123008979	ENSG00000196177
