baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
ZFX	897.070282633012	-2.277976677389	0.0823925678239643	-27.6478417599025	2.96262485822409e-168	4.36424267864991e-164	ENSG00000005889	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ZFX	protein_coding	chrX	24149173	24216255	chrX:24149173	ENSG00000005889
LRP3	701.190129099888	-0.978945305056261	0.0786481131082128	-12.4471556451624	1.44918229193498e-35	1.06739521712471e-31	ENSG00000130881	LRP3	protein_coding	chr19	33177603	33208867	chr19:33177603	LRP3	protein_coding	chr19	33177603	33208864	chr19:33177603	ENSG00000130881
ADCY3	1447.85202499762	-0.71828282110822	0.0604389594571693	-11.8844339406147	1.42597829491401e-32	7.00202875412607e-29	ENSG00000138031	ADCY3	protein_coding	chr2	24819169	24919839	chr2:24819169	ADCY3	protein_coding	chr2	24819169	24920237	chr2:24819169	ENSG00000138031
DIS3L	588.07105787229	-0.800077834586599	0.0712227269517311	-11.2334625312623	2.79313812571539e-29	1.02864294324784e-25	ENSG00000166938	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	ENSG00000166938
ULK2	444.691915401963	-0.780159617307646	0.0713402256389574	-10.9357604397822	7.77513644677521e-28	2.29071069994891e-24	ENSG00000083290	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ULK2	protein_coding	chr17	19770829	19867936	chr17:19770829	ENSG00000083290
AGPAT3	2920.6868228968	-0.389351337476636	0.038302857425757	-10.1650728860457	2.83909603558176e-24	6.1599174374491e-21	ENSG00000160216	AGPAT3	protein_coding	chr21	43865186	43986536	chr21:43865186	AGPAT3	protein_coding	chr21	43865223	43987592	chr21:43865223	ENSG00000160216
BLVRA	895.013746469764	-0.678695037286101	0.0667869083998497	-10.1620969370642	2.92712117725502e-24	6.1599174374491e-21	ENSG00000106605	BLVRA	protein_coding	chr7	43758680	43807342	chr7:43758680	BLVRA	protein_coding	chr7	43758680	43807342	chr7:43758680	ENSG00000106605
FBXO6	92.3612674816384	-1.57602027297218	0.157509329345689	-10.0058852356184	1.43601563212463e-23	2.64424328460349e-20	ENSG00000116663	FBXO6	protein_coding	chr1	11664124	11674354	chr1:11664124	FBXO6	protein_coding	chr1	11664200	11674354	chr1:11664200	ENSG00000116663
FBXO17	529.842134771403	-0.53240076562716	0.0582789228319237	-9.1353913174168	6.51706511386773e-20	1.06669873547095e-16	ENSG00000269190	FBXO17	protein_coding	chr19	38941401	38975910	chr19:38941401	FBXO17	protein_coding	chr19	38941401	38975742	chr19:38941401	ENSG00000269190
ACSL1	1309.87068854416	-0.584416452153145	0.0642621320224335	-9.09425868331181	9.52339120170949e-20	1.40289075792382e-16	ENSG00000151726	ACSL1	protein_coding	chr4	184755595	184826818	chr4:184755595	ACSL1	protein_coding	chr4	184755595	184826818	chr4:184755595	ENSG00000151726
